industry_description,number_of_establishments_all_employment_sizes_2015,number_of_establishments_total_employment_of_20_and_over_2015,number_of_establishments_total_employment_of_less_than_20_2015,employment_all_employment_sizes_2015,employment_total_employment_of_20_and_over_2015,employment_total_employment_of_less_than_20_2015,paid_employees_all_employment_sizes_2015,paid_employees_total_employment_of_20_and_over_2015,paid_employees_total_employment_of_less_than_20_2015,income_all_employment_sizes_2015,income_total_employment_of_20_and_over_2015,income_total_employment_of_less_than_20_2015,expense_all_employment_sizes_2015,expense_total_employment_of_20_and_over_2015,expense_total_employment_of_less_than_20_2015,compensation_all_employment_sizes_2015,compensation_total_employment_of_20_and_over_2015,compensation_total_employment_of_less_than_20_2015,other_expense_all_employment_sizes_2015,other_expense_total_employment_of_20_and_over_2015,other_expense_total_employment_of_less_than_20_2015,gross_margin_all_employment_sizes_2015,gross_margin_total_employment_of_20_and_over_2015,gross_margin_total_employment_of_less_than_20_2015,value_added_all_employment_sizes_2015,value_added_total_employment_of_20_and_over_2015,value_added_total_employment_of_less_than_20_2015,gross_additions_to_tangible_fixed_assets_all_employment_sizes_2015,gross_additions_to_tangible_fixed_assets_total_employment_of_20_and_over_2015,gross_additions_to_tangible_fixed_assets_total_employment_of_less_than_20_2015,change_in_inventories_all_employment_sizes_2015,change_in_inventories_total_employment_of_20_and_over_2015,change_in_inventories_total_employment_of_less_than_20_2015,subsidies_all_employment_sizes_2015,subsidies_total_employment_of_20_and_over_2015,subsidies_total_employment_of_less_than_20_2015,sales_from_e-commerce_transactions_all_employment_sizes_2015,sales_from_e-commerce_transactions_total_employment_of_20_and_over_2015,sales_from_e-commerce_transactions_total_employment_of_less_than_20_2015
"Wholesale of palay, corn (unmilled) and other grains",680,53,627,7729,1651,6078,7699,1621,6078,7820352,5984934,1835418,7515479,5788323,1727156,447115,160304,286812,7068364,5628019,1440344,1622749,967333,655416,1030045,530746,499298,9022,9022,0,882517,235401,647115,86617,43886,42731,0,0,0
"Wholesale of abaca and other fibers, except synthetic fibers",19,6,13,415,241,174,415,241,174,1942229,921837,1020392,1893021,910773,982248,44351,25458,18892,1848671,885315,963356,192829,89534,103294,115913,44046,71867,158,81,77,-66684,-31622,-35062,0,0,0,0,0,0
Wholesale of coconut and coconut by-products,541,13,528,5037,754,4283,4722,754,3968,6867706,3199474,3668231,6582877,3052228,3530649,328916,77459,251456,6253962,2974769,3279193,920898,338061,582836,841976,260188,581787,19744,19744,0,591735,35256,556479,0,0,0,0,0,0
"Wholesale of oleaginous fruits (e.g., oil seeds, palm oil, sunflower seeds, etc.)",8,0,8,28,0,28,28,0,28,24714,0,24714,23016,0,23016,3897,0,3897,19118,0,19118,7443,0,7443,5924,0,5924,0,0,0,-2780,0,-2780,0,0,0,0,0,0
Wholesale of tobacco leaf,18,8,10,266,160,106,258,160,98,169900,23901,145998,155484,23008,132476,14579,6093,8486,140905,16914,123991,42578,9127,33450,31883,7096,24787,0,0,0,916,-973,1889,0,0,0,0,0,0
Wholesale of flowers and plants,29,0,27,122,0,82,120,0,82,502001,0,467122,486528,0,452962,20865,0,17263,465663,0,435699,133505,0,121076,45572,0,38486,0,0,0,-38153,0,-36603,0,0,0,0,0,0
Wholesale of livestock and poultry and unprocessed animal products,38,6,32,492,198,294,492,198,294,529232,359313,169919,519050,354009,165041,43590,18380,25210,475460,335629,139831,114109,49257,64852,67759,30571,37188,4119,1196,2923,30270,26260,4010,0,0,0,0,0,0
Wholesale of fish and other seafoods,310,37,273,1880,1204,676,1674,1141,533,4011135,3190560,820574,3834361,3058959,775402,185878,116005,69873,3648483,2942954,705529,822845,623695,199150,433321,300366,132954,50570,49840,730,-9381,-22467,13086,0,0,0,0,0,0
"Wholesale of farm, forest and marine products, including seeds and animal feeds, hides and skins, leather, etc., n.e.c.",296,51,245,4209,3378,832,4123,3352,772,22712322,21326230,1386092,21262459,19920403,1342056,664778,560127,104651,20597681,19360276,1237405,3840799,3644394,196406,2372913,2252014,120899,78878,76942,1936,-287331,-272571,-14761,0,0,0,633,633,0
"Wholesale of fruits, nuts and vegetables",200,32,168,4304,3380,925,4296,3372,925,9236094,7587391,1648703,8778571,7195417,1583154,562760,499312,63448,8215811,6696105,1519706,1704746,1490195,214551,1189376,1058531,130845,39509,39509,0,-10557,-37237,26680,0,0,0,0,0,0
"Wholesale of sugar, confectionery and bakery products and other processed foods",770,256,514,20605,17301,3305,20594,17290,3305,141356979,135140156,6216823,134161361,128033763,6127598,3346138,2925896,420242,130815223,125107867,5707356,19028320,18009694,1018626,11827928,11246566,581362,213071,178820,34251,1905007,1761330,143677,0,0,0,0,0,0
"Wholesale of meat and poultry products, including eggs",227,50,177,5525,3731,1794,5474,3720,1754,26748250,20649607,6098644,25631611,19654885,5976726,807964,574065,233899,24823648,19080821,5742827,3919508,3141259,778249,2370808,1887146,483663,314036,102119,211917,-93664,-224953,131289,0,0,0,0,0,0
"Wholesale of rice, corn and other cereals",321,60,261,5361,3271,2090,4838,3269,1569,23651062,20520455,3130606,23323469,20302346,3021123,1259500,1033353,226147,22063969,19268993,2794976,7911882,6928773,983109,6086740,5217338,869403,4723,4723,0,4303165,3779306,523859,3239470,2879144,360326,0,0,0
Wholesale of fishery products,65,12,53,598,348,250,577,348,230,1305327,1244738,60589,1246427,1185668,60760,47688,35486,12202,1198739,1150181,48558,206635,184371,22264,128842,116041,12802,21709,21709,0,-12933,-13574,641,0,0,0,0,0,0
"Wholesale of drinking water, juices (including powder), coffee, tea, cocoa and other beverages",1086,314,772,19731,13912,5819,17932,13877,4055,111199534,90859644,20339890,107219423,87478259,19741164,3794118,3417239,376878,103425305,84061019,19364286,19712321,16584457,3127864,9939215,8788695,1150520,1537235,1537235,0,1271344,1819621,-548278,0,0,0,0,0,0
Wholesale of tobacco p roducts,23,7,16,505,403,102,505,403,102,4483809,4050738,433071,4372363,3939669,432695,105939,83379,22560,4266425,3856290,410135,673385,587991,85394,253896,223972,29924,18252,-9903,28155,371397,345246,26151,0,0,0,0,0,0
Wholesale of spices,45,11,34,753,443,310,753,443,310,5916292,3370168,2546124,5611000,3248927,2362074,137563,79964,57599,5473437,3168963,2304474,1315336,567563,747773,504102,226874,277228,0,0,0,-1028258,-298850,-729408,0,0,0,0,0,0
"Wholesale of food, beverage and tobacco, n.e.c.",147,60,87,4687,3469,1219,4680,3462,1219,22813766,18188193,4625573,22226082,17699938,4526144,711966,504375,207591,21514116,17195563,4318553,2395224,1829039,566185,1715910,1319819,396091,50683,33737,16946,539166,495076,44090,0,0,0,0,0,0
"Wholesale of textile fabrics, all kinds, including man-made fibers",63,6,57,694,183,511,694,183,511,1701162,202989,1498173,1650569,201001,1449567,142917,33303,109614,1507652,167699,1339953,431573,59074,372499,260735,42736,217999,32198,0,32198,70216,-13586,83802,0,0,0,0,0,0
"Wholesale of wearing apparel, except footwear",304,42,262,3624,2153,1471,3624,2153,1471,8522314,6766096,1756218,8135606,6438168,1697438,659051,503690,155361,7476555,5934478,1542077,2146808,1716599,430209,1227162,992234,234928,31276,21459,9817,112689,97933,14757,0,0,0,0,0,0
"Wholesale of made-up textile goods, except wearing apparel",21,0,19,243,0,112,243,0,112,363171,0,138115,351684,0,133734,41325,0,18172,310359,0,115562,130997,0,45682,55560,0,23999,0,0,0,-4080,0,-1483,0,0,0,0,0,0
"Wholesale of articles of clothing, including accessories",22,0,21,91,0,57,91,0,57,283941,0,242549,271672,0,232757,22678,0,16367,248994,0,216390,63312,0,47231,40892,0,30586,0,0,0,2391,0,2196,0,0,0,0,0,0
"Wholesale of footwear, all kinds of materials",92,20,72,2459,1823,636,2428,1823,605,9362455,4603300,4759156,9076568,4400843,4675725,416026,326053,89973,8660542,4074790,4585752,2303034,1212572,1090462,813227,584636,228591,15657,11707,3950,225556,126503,99053,0,0,0,0,0,0
Wholesale of embroideries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wholesale of cordage, rope and twine",6,0,6,32,0,32,32,0,32,101176,0,101176,97804,0,97804,6213,0,6213,91591,0,91591,17437,0,17437,11106,0,11106,0,0,0,-1090,0,-1090,0,0,0,0,0,0
"Wholesale of leather and leather goods, including man-made leather, except footwear",33,5,28,405,219,186,405,219,186,1551734,1015802,535932,1532991,1011780,521210,122418,87342,35076,1410572,924438,486134,476680,356467,120213,183325,114925,68399,529,529,0,-8296,-19478,11182,0,0,0,0,0,0
"Wholesale of textiles, clothing and footwear, n.e.c.",51,6,45,736,363,374,736,363,374,2060090,484782,1575308,1920987,463730,1457257,115937,55785,60152,1805050,407945,1397106,514948,184104,330844,283509,87681,195828,15526,7864,7662,11121,1025,10096,0,0,0,0,0,0
Wholesale of medicinal and pharmaceutical products,1055,230,825,25840,20893,4947,25719,20892,4827,170626573,164689976,5936597,159455904,153525289,5930615,10051832,9264140,787692,149404073,144261150,5142923,40978417,39161058,1817359,23602697,22659258,943439,1398274,1396601,1673,2568856,2137079,431777,0,0,0,49202,49202,0
Wholesale of surgical and orthopedic instruments and devices,148,41,107,3271,2296,976,3271,2296,976,12388037,9812182,2575854,11602587,9139485,2463102,980438,774092,206346,10622149,8365393,2256756,3239385,2700857,538528,2210629,1857744,352885,314841,219992,94849,20829,17333,3495,0,0,0,0,0,0
Wholesale of photographic and optical goods,52,16,36,1501,1150,351,1501,1150,351,5033333,4451595,581738,4737894,4199679,538215,398121,346133,51988,4339772,3853545,486227,1158806,1007408,151398,834426,731882,102543,42463,42463,0,-232793,-247097,14304,0,0,0,0,0,0
"Wholesale of musical instruments/sporting goods (including bicycles), and games and toys",186,22,164,3218,1406,1812,3218,1406,1812,5981899,3042832,2939067,5679030,2907953,2771077,481690,247248,234442,5197340,2660705,2536635,1466942,715518,751424,908026,444310,463716,121008,5110,115898,6116,85813,-79698,0,0,0,0,0,0
Wholesale of paper and paper products (including stationeries),216,51,165,3783,2653,1130,3769,2639,1130,9197165,8294362,902803,8720164,7823415,896749,672482,536698,135784,8047682,7286717,760965,2466990,2189287,277703,1307970,1135985,171985,14542,14134,408,506323,528109,-21785,0,0,0,0,0,0
"Wholesale of books, magazines and newspapers",104,12,92,1066,578,489,1066,578,489,2815086,1646661,1168425,2697093,1583920,1113173,163268,81863,81405,2533825,1502057,1031768,617434,305478,311956,329224,173757,155467,4641,0,4641,85732,134730,-48998,0,0,0,0,0,0
"Wholesale of perfumeries, cosmetics and soaps",453,133,320,12683,9763,2920,12299,9763,2537,85900418,78078143,7822275,81208593,73763731,7444863,2605952,2213265,392686,78602642,71550465,7052176,14349236,13116526,1232710,8110636,7247094,863543,121414,121414,0,105813,-267373,373186,0,0,0,0,0,0
"Wholesale of watches, clocks and jewelries",24,0,22,209,0,120,206,0,117,395186,0,170228,364883,0,167434,33698,0,18773,331185,0,148661,93920,0,36818,70483,0,23741,21426,0,20000,-2083,0,-1673,0,0,0,0,0,0
"Wholesale of miscellaneous consumer goods, n.e.c.",363,81,282,7001,4590,2411,6864,4580,2284,35454726,25907134,9547591,34045314,24989446,9055869,1031495,636104,395392,33013819,24353342,8660477,5813250,3047166,2766084,2888503,1902438,986065,89910,72463,17447,323053,-64447,387499,0,0,0,96619,96619,0
"Wholesale of household-type appliances, except radio and television equipment, cd and dvd players/recorders",165,37,128,4146,3102,1045,4146,3102,1045,17298735,14217558,3081177,16656868,13616821,3040047,729638,586792,142846,15927230,13030029,2897201,3565807,2877209,688598,1869069,1474906,394163,272677,136010,136667,118198,87180,31018,0,0,0,0,0,0
"Wholesale of household furniture, furnishing and fixtures",143,31,112,2119,1202,917,2119,1202,917,8152105,5401076,2751029,6758152,4056376,2701776,423868,257462,166406,6334284,3798913,2535370,1821865,1431640,390225,1324108,1063078,261030,289100,289100,0,152352,18312,134040,0,0,0,0,0,0
"Wholesale of recorded audio and video tapes, cds, dvds",25,7,18,563,360,203,563,360,203,1380333,1178898,201435,1323061,1128970,194091,97678,74565,23113,1225383,1054404,170979,290754,228861,61893,172727,136894,35834,486,73,413,19984,44053,-24069,0,0,0,0,0,0
"Wholesale of chinaware, glassware, earthenware, woodenware, wickerware, corkware, plasticware, cutlery and utensils",231,38,193,3320,2233,1087,3301,2214,1087,12573852,10238633,2335218,12353002,10150030,2202972,585625,481883,103741,11767377,9668146,2099231,3530498,3175454,355043,1045914,784565,261349,36279,35211,1068,703524,524348,179176,0,0,0,0,0,0
Wholesale of handicraft products,47,13,34,706,454,252,698,454,244,623827,453264,170563,619747,448802,170945,77088,55246,21842,542659,393556,149104,180110,119643,60467,107475,76061,31414,44401,40966,3435,-23180,-7449,-15731,0,0,0,50904,50904,0
Wholesale of lighting equipment,83,19,64,1340,723,617,1329,723,606,5806777,3220345,2586433,5217291,2911702,2305589,238299,129653,108646,4978992,2782049,2196943,1486506,813162,673344,974812,480670,494142,13834,13789,45,489896,132191,357706,0,0,0,0,0,0
"Wholesale of other household goods, n.e.c.",97,15,82,1757,873,884,1669,873,796,3725376,2331547,1393829,3557281,2199063,1358218,232394,123178,109216,3324887,2075885,1249002,763692,445254,318438,459872,295661,164211,57990,48658,9332,17089,3008,14081,0,0,0,0,0,0
"Wholesale of computers, computer peripheral equipment and software",176,84,92,8580,7652,928,8566,7643,923,55025769,49386434,5639335,52639153,47139359,5499794,2697956,2480208,217749,49941196,44659151,5282045,7811313,6933891,877423,5718318,5250717,467601,282576,255826,26751,447600,189026,258574,0,0,0,37526,5170,32357
Wholesale of electronic valves and tubes,49,8,41,702,437,265,687,432,255,8926385,6139934,2786451,8446803,5850380,2596423,171267,112205,59063,8275536,5738175,2537361,1148904,787457,361447,796657,550368,246289,6459,4063,2396,41578,30535,11043,0,0,0,0,0,0
Wholesale of semi-conductor devices,59,13,46,1039,628,411,1037,628,409,6226154,2488728,3737426,5893285,2278097,3615188,281135,179754,101381,5612150,2098343,3513807,1028924,451252,577672,652131,397506,254625,14209,10830,3379,92751,118154,-25403,0,0,0,0,0,0
Wholesale of micro-chips and integrated circuits,4,0,4,37,0,37,37,0,37,75338,0,75338,72160,0,72160,5824,0,5824,66336,0,66336,18098,0,18098,11580,0,11580,0,0,0,3493,0,3493,0,0,0,0,0,0
Wholesale of printed circuits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wholesale of radio and television including parts and accessories,15,4,11,308,266,42,308,266,42,4333751,4235426,98325,4340864,4261822,79042,105618,97299,8319,4235246,4164524,70723,705479,672145,33335,266422,237484,28939,1159,1159,0,-217290,-218539,1250,0,0,0,0,0,0
Wholesale of telephone and communications equipment including parts and accessories,120,34,86,3040,2228,812,3035,2227,808,28217681,22385286,5832396,27568709,21988083,5580626,595541,414220,181321,26973168,21573863,5399305,3654198,2621441,1032756,1821761,1297825,523936,69054,23991,45063,301947,367401,-65455,0,0,0,6340,0,6340
"Wholesale of blank audio and video tapes and diskettes, magnetic and optical disks (cds, dvds)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wholesale of agricultural machinery, equipment and supplies",207,22,185,2037,1121,916,2023,1107,916,8759315,5612726,3146589,8031385,5088029,2943355,322438,197703,124735,7708946,4890326,2818620,1755526,1205802,549724,1161215,790447,370768,20257,3337,16920,499141,459080,40061,0,0,0,0,0,0
Wholesale of commercial machinery and equipment,220,48,172,4782,3340,1441,4782,3340,1441,11442176,8986118,2456058,10621729,8342147,2279582,940657,657479,283179,9681072,7684669,1996404,2285872,1646426,639447,2068349,1618659,449690,84349,30860,53490,285672,299091,-13420,0,0,0,55095,55095,0
Wholesale of industrial machinery and equipment,655,160,495,12240,8572,3667,12182,8514,3667,39205481,28335582,10869900,33915046,23543772,10371274,2636543,2032919,603624,31278503,21510853,9767650,9001868,6645035,2356833,8843466,7468041,1375425,121548,114803,6745,55848,-251487,307335,0,0,0,0,0,0
"Wholesale of office machinery equipment including office furniture, furnishings, appliances and vases",107,33,74,2653,1871,782,2642,1866,776,6533929,4923423,1610505,6256621,4651241,1605380,492909,383318,109592,5763712,4267923,1495788,1486117,1051626,434491,986637,764505,222133,-67508,-153536,86028,-83887,-63355,-20532,0,0,0,0,0,0
Wholesale of professional and scientific and measuring and controlling equipment,235,55,180,4409,2867,1542,4409,2867,1542,10039649,8324701,1714948,9516538,7813481,1703057,1194125,877703,316423,8322413,6935778,1386635,2926552,2336125,590426,2046668,1664325,382343,106353,105805,548,163859,-24535,188395,0,0,0,145697,145697,0
"Wholesale of transport equipment and supplies, except land motor vehicles, motorcycles and bicycles",44,6,38,935,329,606,934,328,606,1858530,697794,1160736,1782041,687363,1094678,262637,69733,192904,1519404,617630,901774,386912,158864,228048,422489,142904,279584,0,0,0,261858,203629,58229,0,0,0,0,0,0
"Wholesale of other machinery and equipment, n.e.c.",95,13,82,1304,791,513,1304,791,513,5910655,3010340,2900316,5478077,2703007,2775070,392907,232652,160255,5085170,2470355,2614815,1227885,728640,499245,937655,607271,330384,53516,20781,32734,204052,92285,111767,0,0,0,0,0,0
"Wholesale of solid, liquid and gaseous fuels and related products",410,85,325,9156,5266,3890,9023,5266,3756,210050831,180234203,29816628,190599307,173492459,17106848,1784258,1397918,386340,188815049,172094541,16720508,22277528,19310212,2967316,24627095,11360503,13266591,1956366,1956366,0,350259,328106,22153,0,0,0,0,0,0
Wholesale of metals and metal ores,85,15,70,1168,518,650,1168,518,650,4700164,2563613,2136551,4342801,2421267,1921533,198384,108662,89721,4144417,2312605,1831812,749572,356790,392782,647427,312270,335157,9270,0,9270,-152829,-159956,7126,0,0,0,0,0,0
"Wholesale of lumber and planing mill products, wood in the rough",71,16,55,1331,718,613,1331,718,613,2959367,1494280,1465087,2799616,1393978,1405638,199630,121530,78100,2599986,1272449,1327538,468501,270357,198145,391893,225274,166619,29748,29257,491,88392,8498,79893,0,0,0,0,0,0
"Wholesale of cement, hydraulic",29,10,19,1130,924,206,1130,924,206,8250742,4718017,3532725,7996160,4508384,3487776,243658,211614,32044,7752502,4296770,3455732,993486,678183,315303,643365,535786,107579,17239,17239,0,112445,72931,39513,0,0,0,0,0,0
"Wholesale of masonry materials, except cement",194,43,151,3636,1557,2079,3635,1556,2079,8322206,3725060,4597146,7505321,3495133,4010188,925786,268542,657244,6579535,3226591,3352944,2540238,877193,1663045,2017018,570678,1446340,134089,78752,55337,287040,-44862,331903,0,0,0,0,0,0
Wholesale of flat glass,7,3,4,217,143,74,217,143,74,655351,172139,483212,626247,165251,460996,33291,24500,8791,592956,140751,452205,123015,48329,74686,80247,34112,46135,13852,107,13745,2421,-8483,10904,0,0,0,0,0,0
"Wholesale of hardware, paints, varnishes and lacquers, and plumbing materials, including fittings and fixtures",320,84,236,6679,4578,2101,6553,4576,1978,23087532,17657712,5429820,22113426,16931411,5182016,1547964,1276637,271327,20565462,15654774,4910689,5160824,4074214,1086610,3571737,2913188,658550,315957,315957,0,778737,130623,648114,0,0,0,0,0,0
Wholesale of electrical materials,206,46,160,4529,2472,2057,4529,2472,2057,18329605,9487981,8841624,17823170,9071346,8751824,911631,499647,411984,16911539,8571699,8339840,3293905,1477152,1816754,1709306,1090302,619004,60108,14650,45458,59965,68260,-8295,0,0,0,1186,1186,0
Wholesale of wallpaper and floor coverings,27,4,23,349,144,205,332,144,188,1415833,523430,892402,1358567,489860,868706,95298,44905,50393,1263269,444955,818314,292425,122956,169469,182360,90439,91921,3248,3248,0,-15018,4956,-19974,0,0,0,0,0,0
"Wholesale of construction materials and supplies, n.e.c.",305,62,243,3943,3017,926,3940,3014,926,16344323,14743018,1601305,15451488,13892464,1559024,793037,643333,149704,14658451,13249131,1409321,2793702,2276984,516718,1760576,1515704,244872,231254,204810,26444,138578,25140,113438,0,0,0,0,0,0
Wholesale of industrial chemical products,390,72,318,6898,3137,3762,6898,3137,3762,45380755,23236067,22144688,41971002,21466315,20504687,2660238,1156647,1503591,39310764,20309668,19001096,11692805,5012849,6679956,7460129,3469198,3990930,48712,42950,5762,1510124,-671969,2182093,0,0,0,0,0,0
Wholesale of fertilizers and agro-chemical products,168,41,127,3438,2658,780,3438,2658,780,34824052,30701231,4122821,33164799,29104276,4060524,910406,760826,149580,32254393,28343449,3910944,6169573,5432305,737268,2757979,2499895,258083,140224,140224,0,1072094,1103309,-31215,0,0,0,0,0,0
"Wholesale of non-metallic products except cement, sand and gravel",29,4,25,304,116,188,304,116,188,532057,343622,188435,518077,329947,188130,42390,18131,24259,475687,311817,163871,114601,52984,61616,86055,39472,46584,0,0,0,203518,-7375,210893,0,0,0,0,0,0
"Wholesale of scrap metals, waste and junk",462,40,422,4253,1448,2805,4161,1442,2719,6974136,3957627,3016509,6740561,3742529,2998031,429198,159133,270065,6311362,3583396,2727966,999583,594060,405523,732098,422476,309623,40012,4752,35260,-64881,-74807,9926,0,0,0,0,0,0
"Wholesale of scraps, except metal",498,39,459,2985,877,2108,2589,869,1720,2071629,623092,1448537,1979107,620823,1358283,206290,67271,139019,1772817,553552,1219264,579401,116980,462420,361566,79138,282428,2600,2600,0,26057,-27380,53437,0,0,0,0,0,0
"Wholesale of other waste and scrap and other products, n.e.c.",46,3,43,330,95,235,295,85,210,435053,96892,338161,411579,90023,321557,57677,16753,40924,353903,73269,280633,166300,39300,127000,97907,28215,69692,-280,-280,0,26423,8986,17437,0,0,0,0,0,0
Non-specialized wholesale trade,72,16,56,1181,630,551,1171,620,551,4171920,2627633,1544287,3972402,2554330,1418072,272194,99449,172745,3700208,2454881,1245327,944078,434647,509431,538080,193798,344282,3178,1803,1375,222692,130277,92415,0,0,0,0,0,0
Retail selling in groceries,3540,414,3126,42130,17029,25101,39404,16862,22542,146184728,91748036,54436692,143546305,90391619,53154687,3579284,1932951,1646333,139967021,88458668,51508353,13235866,8188323,5047544,7815136,4220101,3595035,553338,532704,20634,1846896,498682,1348214,446585,381519,65067,0,0,0
Retail selling in supermarkets,885,610,275,46034,42219,3815,45933,42118,3815,291356266,271908739,19447527,279707239,260503901,19203338,7251550,6712963,538587,272455689,253790938,18664751,41751111,39774598,1976513,23854624,22671359,1183266,1426135,1426135,0,1259353,706978,552376,0,0,0,0,0,0
Retail selling in sari-sari stores,1378,0,1376,6729,0,6675,5756,0,5704,4612480,0,4405940,4215291,0,4010680,337346,0,331443,3877945,0,3679237,911405,0,891831,768365,0,759358,30073,0,30000,-20466,0,-23476,0,0,0,0,0,0
Retail selling in convenience stores,1347,12,1335,10004,320,9684,9621,320,9301,35600950,1551882,34049068,34334815,1513553,32821262,1095024,40296,1054728,33239791,1473257,31766534,9338985,177159,9161826,2542171,98772,2443398,402907,0,402907,217154,-1061,218216,0,0,0,0,0,0
Retail selling in hypermarkets,58,50,8,6194,6123,71,6193,6123,70,40578716,39936925,641792,40227405,39596579,630826,1232692,1217406,15286,38994712,38379173,615540,5750065,5681598,68467,2231838,2206466,25372,268169,267843,325,-577557,-598067,20510,0,0,0,0,0,0
Retail selling in department stores,563,361,202,66484,64885,1599,66345,64827,1518,176384024,175409828,974195,168632796,167731046,901750,10421858,10332679,89178,158210938,157398366,812572,37090126,36856401,233725,22088911,21885810,203101,3047137,3047137,0,2956956,2865960,90997,0,0,0,0,0,0
"Retail selling in non-specialized stores, n.e.c.",60,6,54,913,517,396,879,517,362,1101155,367934,733221,1077911,361451,716460,76608,31830,44778,1001303,329621,671682,169578,69313,100265,110528,43578,66950,3024,770,2255,103331,6443,96888,0,0,0,0,0,0
Retail sale of fruits and vegetables,300,6,294,2646,506,2140,2543,436,2107,6766973,1737877,5029096,6557842,1667260,4890581,558946,105257,453688,5998896,1562003,4436893,1508488,380791,1127698,854032,194643,659389,54294,2691,51604,105724,19619,86105,0,0,0,0,0,0
Retail sale of eggs and dairy products,265,4,261,749,121,628,701,121,580,1249639,121665,1127974,1186413,115327,1071086,59757,9678,50078,1126656,105649,1021007,234861,33401,201460,150895,17266,133630,0,0,0,5091,-5592,10683,0,0,0,0,0,0
Retail sale of meat and poultry products,2343,32,2311,12007,1489,10517,11462,1485,9976,17648881,7086867,10562014,17012214,6710139,10302075,1066497,254370,812127,15945717,6455769,9489948,3665626,1270040,2395586,2052887,732890,1319997,84658,77161,7497,-44953,111839,-156792,0,0,0,0,0,0
Retail sale of bakery products,2859,56,2803,11740,2106,9633,11740,2106,9633,12558789,4216453,8342336,12281531,4189489,8092043,1163095,367353,795742,11118436,3822136,7296300,3529464,1102527,2426937,1741838,516357,1225482,105630,16474,89155,-723610,30640,-754250,0,0,0,0,0,0
Retail sale of fish and other seafoods (fresh and dried),177,0,175,1069,0,910,879,0,720,712538,0,505135,683170,0,477791,89595,0,61627,593575,0,416163,200389,0,157989,163317,0,125784,53983,0,53983,-15858,0,-15200,0,0,0,0,0,0
"Retail sale of rice, corn and other cereals",1526,9,1517,5859,319,5540,5118,319,4799,5610626,1217911,4392715,5277647,1175824,4101823,369261,66542,302719,4908386,1109283,3799103,1383357,255107,1128250,877981,143219,734761,3131,3131,0,-11696,161457,-173153,0,0,0,0,0,0
"Retail sale of food products, n.e.c.",942,22,920,5162,1132,4030,4826,1132,3695,12584420,3972231,8612189,11978761,3821152,8157608,477058,128972,348086,11501702,3692180,7809522,2093414,480969,1612445,1244971,330947,914024,18647,18467,180,14579,18464,-3885,0,0,0,0,0,0
Retail sale of alcoholic beverages (not consumed on the spot),196,14,182,1273,483,790,1240,483,758,3781600,2702031,1079569,3631948,2670952,960996,152587,51159,101428,3479361,2619793,859568,750950,366922,384028,460144,220473,239671,991,768,224,183438,176036,7402,0,0,0,0,0,0
Retail sale of non-alcoholic beverages (not consumed on the spot),156,8,148,768,212,556,768,212,556,2101987,925571,1176416,1912798,901078,1011720,84367,23716,60651,1828431,877361,951070,464793,134274,330519,306416,65944,240472,67978,5085,62894,6731,47028,-40297,0,0,0,0,0,0
Retail sale of tobacco products in specialized stores,41,0,39,200,0,140,200,0,140,367288,0,120901,327391,0,115878,24433,0,16472,302959,0,99407,97704,0,36539,71887,0,25646,0,0,0,16380,0,1259,0,0,0,0,0,0
Retail sale of automotive fuel in specialized stores,3926,457,3469,42550,11762,30788,41408,11694,29714,275611721,85448820,190162901,255774623,83709058,172065565,4195602,1533847,2661755,251579022,82175211,169403810,34378382,6987572,27390810,26376555,4480641,21895914,435419,354470,80948,-1149372,-661985,-487387,0,0,0,0,0,0
Retail sale of computers,1081,73,1008,10758,4232,6526,10753,4227,6526,42935552,18340183,24595369,41620210,17386376,24233834,1738551,1031752,706799,39881659,16354624,23527035,5380897,2149846,3231051,3338743,2083260,1255483,121888,121888,0,-320003,-123106,-196897,0,0,0,767170,767170,0
Retail sale of computer peripheral equipment,629,24,605,4316,1182,3134,4298,1164,3134,26686652,3530621,23156032,26067809,3347489,22720320,738989,236304,502686,25328820,3111186,22217634,6180742,522952,5657790,1618132,476716,1141416,170955,2406,168549,83764,117281,-33517,0,0,0,0,0,0
Retail sale of computer software,52,8,44,803,545,258,803,545,258,1799076,806779,992297,1639206,752068,887138,164382,117462,46921,1474824,634607,840217,507455,263244,244211,350293,180568,169725,15880,349,15530,8665,-24797,33463,0,0,0,0,0,0
"Retail sale of cellular phones, parts and accessories",2819,50,2769,13755,1638,12116,12874,1635,11238,17799406,9417300,8382106,17055661,9158415,7897247,1232982,193462,1039520,15822679,8964953,6857727,3481580,1148178,2333402,2305677,496129,1809548,274,274,0,241627,152414,89213,0,0,0,0,0,0
Retail sale of other telecommunications equipment,73,10,63,674,219,455,668,213,455,1872675,460394,1412280,1600171,452381,1147790,141808,45392,96416,1458363,406989,1051374,409163,116141,293022,398119,59427,338692,825,0,825,13903,964,12939,0,0,0,0,0,0
