Country,IMF_GDP_USD_billions,IMF_Year_Estimate,World_Bank_GDP_USD_billions,World_Bank_Year_Estimate,United_Nations_GDP_USD_billions,UN_Year_Estimate
Afghanistan,14.47,2022,14.50,2022,14.17,2022
Bahamas,14.39,2024,14.34,2023,12.90,2022
Rwanda,13.70,2024,14.10,2023,13.31,2022
Tajikistan,13.00,2024,12.06,2023,10.49,2022
Somalia,12.80,2024,11.68,2023,10.42,2022
Namibia,12.77,2024,12.35,2023,12.61,2022
Kosovo,11.32,2024,10.44,2023,9.40,2022
Malawi,11.24,2024,14.08,2023,12.56,2022
Equatorial Guinea,10.71,2024,12.12,2023,11.77,2022
Mauritania,10.63,2024,10.45,2023,11.00,2022
Togo,9.83,2024,9.17,2023,8.09,2022
Montenegro,8.01,2024,7.41,2023,6.23,2022
Maldives,7.20,2024,6.60,2023,6.17,2022
Barbados,6.86,2024,6.39,2023,5.70,2022
Fiji,5.80,2024,5.50,2023,4.98,2022
Eswatini,5.08,2024,4.60,2023,4.33,2022
Liberia,4.75,2024,4.33,2023,3.27,2022
Sierra Leone,4.56,2024,3.81,2023,3.48,2022
Djibouti,4.36,2024,4.10,2023,4.00,2022
Suriname,4.34,2024,3.78,2023,3.62,2022
Aruba,4.07,2024,3.54,2022,3.54,2022
Andorra,3.90,2024,3.73,2023,3.38,2022
Belize,3.30,2024,3.28,2023,2.83,2022
Bhutan,3.11,2024,2.90,2022,2.90,2022
Burundi,3.08,2024,2.64,2023,4.03,2022
Central African Republic,2.81,2024,2.56,2023,2.40,2022
Cape Verde,2.72,2024,2.59,2023,2.31,2022
Gambia,2.69,2024,2.34,2023,2.23,2022
Saint Lucia,2.58,2024,2.52,2023,2.17,2022
Lesotho,2.40,2024,2.05,2023,2.29,2022
Seychelles,2.20,2024,2.14,2023,1.99,2022
Guinea-Bissau,2.15,2024,1.97,2023,1.57,2022
Antigua and Barbuda,2.13,2024,2.03,2023,1.77,2022
San Marino,2.03,2024,1.85,2021,1.78,2022
Timor-Leste,1.99,2024,2.24,2023,3.20,2022
Solomon Islands,1.71,2024,1.63,2023,1.60,2022
Comoros,1.42,2024,1.35,2023,1.25,2022
Grenada,1.41,2024,1.32,2023,1.19,2022
Vanuatu,1.29,2024,1.13,2023,0.98,2022
Saint Kitts and Nevis,1.13,2024,1.08,2023,0.98,2022
Saint Vincent and the Grenadines,1.13,2024,1.07,2023,0.95,2022
Samoa,1.02,2024,0.93,2023,0.86,2022
São Tomé and Príncipe,0.75,2024,0.60,2023,0.55,2022
Dominica,0.71,2024,0.65,2023,0.61,2022
Tonga,0.58,2024,0.50,2022,0.49,2022
Micronesia,0.48,2024,0.46,2023,0.43,2022
Kiribati,0.31,2024,0.28,2023,0.22,2022
Palau,0.31,2024,0.26,2023,0.23,2022
Marshall Islands,0.30,2024,0.28,2023,0.28,2022
Nauru,0.16,2024,0.15,2023,0.15,2022
Tuvalu,0.07,2024,0.06,2023,0.06,2022
