,,,,,,,,,,,,,,"Summary Statistics for Information and Communication Establishments by Geolocation, Industry Description, Year and Data Items"
Geolocation,Industry Description,2020 Number of Establishments,2020 Total Employment a/,2020 Paid Employees a/,2020 Workers on Sub-Contract Agreement or Under Manpower Agencies/Contractors a/,2020 Total Revenue,2020 Total Expense,2020 Compensation,2020 Other Expense,2020 Value Added,2020 Gross Additions to Tangible Fixed Assets,2020 Change in Inventories,2020 Sales from E-Commerce Transactions,2020 Subsidies
PHILIPPINES,Information and Communication,3369,173622,172883,9672,647170817,543685304,137234982,406450322,403511140,115750266,1457330,275191,173642
PHILIPPINES,"..Publishing of books, periodicals and other publishing activities",170,7283,7266,243,10725199,11106351,2754713,8351639,3946589,-1353581,-136659,2903,-
PHILIPPINES,..Software publishing,7,2550,2550,23,13907999,6509363,3710266,2799097,10841848,37055,-,-,-
PHILIPPINES,"..Motion picture, video and television programme activities",121,3786,3770,519,7463025,4519326,1318517,3200809,4516987,860198,-1364,-,-
PHILIPPINES,..Sound recording and music publishing activities,19,504,500,10,1526201,1108195,227825,880370,598412,84868,72,-,-
PHILIPPINES,..Radio broadcasting,408,5392,5326,109,4923369,4074805,1297541,2777264,2599115,136798,-408,4100,124
PHILIPPINES,..Television programming and broadcasting activities,95,9877,9867,87,46833115,44498022,18569395,25928627,26411808,246776,-5578,-,121
PHILIPPINES,..Wired telecommunications activities,39,16117,16116,227,115875779,88229370,19794429,68434941,73272511,37796511,2351,1388,14683
PHILIPPINES,..Wireless telecommunications activities,55,16740,16740,3735,247547861,213169084,24204046,188965038,178105100,69976419,1797407,5358,-
PHILIPPINES,..Satellite telecommunications activities,314,9091,9074,1328,23274137,21028897,3124806,17904090,10882127,5312118,57051,987,1067
PHILIPPINES,..Other telecommunications activities,1154,8476,8082,1243,15282432,11984219,2183110,9801110,5915049,134226,-39482,-,53
PHILIPPINES,"..Computer programming, consultancy and related activities",887,75885,75676,1976,140821737,127731218,54738100,72993119,74964375,2060618,-208052,259865,152442
PHILIPPINES,"..Data processing, hosting and related activities; web portals",74,16567,16563,93,15435930,7993752,4806708,3187044,9038061,450090,-1,590,5153
PHILIPPINES,..Other information service activities,25,1353,1353,78,3554032,1732702,505528,1227174,2419156,8170,-8008,-,-
..National Capital Region,Information and Communication,1372,136423,136172,6079,597910663,507336891,124049612,383287278,373336924,113808814,1694029,191792,157455
..National Capital Region,"..Publishing of books, periodicals and other publishing activities",c,c,c,c,c,c,c,c,c,c,c,c,c
..National Capital Region,..Software publishing,124,8063,8063,261,23113190,16056423,5667357,10389068,13851395,-1360901,-114217,2903,-
..National Capital Region,"..Motion picture, video and television programme activities",46,2855,2849,5,3947515,2264371,1125879,1138492,2672465,52604,30,-,-
..National Capital Region,..Sound recording and music publishing activities,19,504,500,10,1526201,1108195,227825,880370,598412,84868,72,-,-
..National Capital Region,..Radio broadcasting,47,1720,1720,25,1709998,1513878,277733,1236145,622861,52468,69,-,-
..National Capital Region,..Television programming and broadcasting activities,33,8879,8872,83,43462457,40748141,17071608,23676533,24833713,240362,-412,-,-
..National Capital Region,..Wired telecommunications activities,16,13190,13190,147,105548049,86447265,18407650,68039615,63279575,37732040,110,-,-
..National Capital Region,..Wireless telecommunications activities,38,16322,16322,3730,246528453,212200640,24058973,188141667,177826952,69940392,1796777,5358,-
..National Capital Region,..Satellite telecommunications activities,32,3428,3428,125,14030056,13390451,1939515,11450936,6281194,4752780,-11187,-,-
..National Capital Region,..Other telecommunications activities,248,5444,5403,74,13683908,10663734,1896581,8767153,5289217,79186,-25942,-,-
..National Capital Region,"..Computer programming, consultancy and related activities",701,65284,65090,1535,128594777,115813702,49634587,66179116,68961989,1965718,56757,183531,152302
..National Capital Region,"..Data processing, hosting and related activities; web portals",45,9464,9464,6,12279565,5439847,3266732,2173115,6757097,261128,-,-,5153
..National Capital Region,..Other information service activities,23,1270,1270,78,3486494,1690242,475174,1215068,2362055,8170,-8028,-,-
..Cordillera Administrative Region,Information and Communication,85,1348,1295,-,556080,489402,270472,218929,370527,4355,-629,-,28
..Cordillera Administrative Region,"..Publishing of books, periodicals and other publishing activities",6,191,189,-,69042,67346,46069,21277,56931,830,-472,-,-
..Cordillera Administrative Region,..Software publishing,,,,,,,,,,,,,
..Cordillera Administrative Region,"..Motion picture, video and television programme activities",s,s,s,s,s,s,s,s,s,s,s,s,s
..Cordillera Administrative Region,..Sound recording and music publishing activities,,,,,,,,,,,,,
..Cordillera Administrative Region,..Radio broadcasting,13,115,115,-,88582,80131,25244,54886,40422,3600,-,-,-
..Cordillera Administrative Region,..Television programming and broadcasting activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Cordillera Administrative Region,..Wired telecommunications activities,,,,,,,,,,,,,
..Cordillera Administrative Region,..Wireless telecommunications activities,,,,,,,,,,,,,
..Cordillera Administrative Region,..Satellite telecommunications activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Cordillera Administrative Region,..Other telecommunications activities,53,110,64,-,13348,11429,3599,7830,7372,-74,-89,-,28
..Cordillera Administrative Region,"..Computer programming, consultancy and related activities",3,128,128,-,30533,29286,23031,6254,28554,-,-,-,-
..Cordillera Administrative Region,"..Data processing, hosting and related activities; web portals",s,s,s,s,s,s,s,s,s,s,s,s,s
..Cordillera Administrative Region,..Other information service activities,,,,,,,,,,,,,
..Ilocos Region,Information and Communication,134,1362,1328,2,1293942,1316719,430367,886352,583442,34688,365,-,-
..Ilocos Region,"..Publishing of books, periodicals and other publishing activities",s,s,s,s,s,s,s,s,s,s,s,s,s
..Ilocos Region,..Software publishing,,,,,,,,,,,,,
..Ilocos Region,"..Motion picture, video and television programme activities",5,57,57,-,107976,92957,5860,87097,52957,-,48,-,-
..Ilocos Region,..Sound recording and music publishing activities,,,,,,,,,,,,,
..Ilocos Region,..Radio broadcasting,29,235,235,-,233888,219717,80932,138784,128049,793,-30,-,-
..Ilocos Region,..Television programming and broadcasting activities,5,98,98,-,484385,595524,235254,360269,202492,1113,-,-,-
..Ilocos Region,..Wired telecommunications activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Ilocos Region,..Wireless telecommunications activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Ilocos Region,..Satellite telecommunications activities,6,84,83,-,87812,41214,15670,25544,70512,466,-,-,-
..Ilocos Region,..Other telecommunications activities,81,424,391,-,226189,216722,46836,169886,71508,32228,357,-,-
..Ilocos Region,"..Computer programming, consultancy and related activities",s,s,s,s,s,s,s,s,s,s,s,s,s
..Ilocos Region,"..Data processing, hosting and related activities; web portals",s,s,s,s,s,s,s,s,s,s,s,s,s
..Ilocos Region,..Other information service activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Cagayan Valley,Information and Communication,56,769,766,19,1480418,1323419,212907,1110511,409346,34944,12109,-,4
..Cagayan Valley,"..Publishing of books, periodicals and other publishing activities",,,,,,,,,,,,,
..Cagayan Valley,..Software publishing,,,,,,,,,,,,,
..Cagayan Valley,"..Motion picture, video and television programme activities",s,s,s,s,s,s,s,s,s,s,s,s,s
..Cagayan Valley,..Sound recording and music publishing activities,,,,,,,,,,,,,
..Cagayan Valley,..Radio broadcasting,11,126,126,-,210060,119361,67658,51702,163011,-,-,-,-
..Cagayan Valley,..Television programming and broadcasting activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Cagayan Valley,..Wired telecommunications activities,,,,,,,,,,,,,
..Cagayan Valley,..Wireless telecommunications activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Cagayan Valley,..Satellite telecommunications activities,22,434,434,13,534755,497256,46570,450686,88462,-,14454,-,-
..Cagayan Valley,..Other telecommunications activities,16,99,95,5,67437,58023,25937,32086,5068,-,-115,-,-
..Cagayan Valley,"..Computer programming, consultancy and related activities",s,s,s,s,s,s,s,s,s,s,s,s,s
..Cagayan Valley,"..Data processing, hosting and related activities; web portals",,,,,,,,,,,,,
..Cagayan Valley,..Other information service activities,,,,,,,,,,,,,
..Central Luzon,Information and Communication,165,6015,5991,1344,17047245,8063431,2277046,5786385,11713513,65591,-274652,987,22
..Central Luzon,"..Publishing of books, periodicals and other publishing activities",s,s,s,s,s,s,s,s,s,s,s,s,s
..Central Luzon,..Software publishing,,,,,,,,,,,,,
..Central Luzon,"..Motion picture, video and television programme activities",16,169,169,-,503136,240664,28249,212415,273868,-,-1437,-,-
..Central Luzon,..Sound recording and music publishing activities,,,,,,,,,,,,,
..Central Luzon,..Radio broadcasting,19,175,173,-,78260,76265,24922,51343,38023,1799,-33,-,22
..Central Luzon,..Television programming and broadcasting activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Central Luzon,..Wired telecommunications activities,3,2286,2286,76,9832908,1292022,1277787,14235,9824347,-,-,-,-
..Central Luzon,..Wireless telecommunications activities,3,28,28,4,29704,27949,6957,20992,10722,-,-,-,-
..Central Luzon,..Satellite telecommunications activities,31,781,781,2,1076388,739936,209388,530548,663905,47507,-2323,987,-
..Central Luzon,..Other telecommunications activities,57,208,185,1162,205466,169488,31737,137751,82935,405,-161,-,-
..Central Luzon,"..Computer programming, consultancy and related activities",25,1048,1048,100,4594903,4740113,299339,4440773,420994,13136,-264135,-,-
..Central Luzon,"..Data processing, hosting and related activities; web portals",6,1201,1201,-,471037,421495,283573,137922,338407,2744,-1,-,-
..Central Luzon,..Other information service activities,,,,,,,,,,,,,
..CALABARZON,Information and Communication,338,3890,3768,204,4803868,3334121,792340,2541782,2353823,520441,39140,3996,1191
..CALABARZON,"..Publishing of books, periodicals and other publishing activities",7,47,43,1,53876,83165,37007,46159,21173,-5,-,-,-
..CALABARZON,..Software publishing,,,,,,,,,,,,,
..CALABARZON,"..Motion picture, video and television programme activities",17,236,233,21,869434,340860,61145,279715,456888,-,117,-,-
..CALABARZON,..Sound recording and music publishing activities,,,,,,,,,,,,,
..CALABARZON,..Radio broadcasting,15,120,120,6,22488,23578,9309,14269,10922,-,-,-,3
..CALABARZON,..Television programming and broadcasting activities,3,36,36,-,188945,216138,88697,127442,87085,-,-,-,-
..CALABARZON,..Wired telecommunications activities,5,112,112,4,87010,84744,22536,62210,35681,17290,918,-,-
..CALABARZON,..Wireless telecommunications activities,c,c,c,c,c,c,c,c,c,c,c,c,c
..CALABARZON,..Satellite telecommunications activities,59,1155,1152,124,2097082,1364971,161066,1203905,1021294,400228,49602,-,1067
..CALABARZON,..Other telecommunications activities,220,891,780,-,654840,522469,99980,422489,253942,-1911,-11895,-,-
..CALABARZON,"..Computer programming, consultancy and related activities",9,187,187,-,112632,116403,76971,39432,76790,3297,397,3996,122
..CALABARZON,"..Data processing, hosting and related activities; web portals",3,1106,1106,48,717561,581793,235629,346164,390048,101542,-,-,-
..CALABARZON,..Other information service activities,,,,,,,,,,,,,
..MIMAROPA Region,Information and Communication,52,764,758,5,450786,444925,122218,322707,173340,361,5343,-,8
..MIMAROPA Region,"..Publishing of books, periodicals and other publishing activities",,,,,,,,,,,,,
..MIMAROPA Region,..Software publishing,,,,,,,,,,,,,
..MIMAROPA Region,"..Motion picture, video and television programme activities",s,s,s,s,s,s,s,s,s,s,s,s,s
..MIMAROPA Region,..Sound recording and music publishing activities,,,,,,,,,,,,,
..MIMAROPA Region,..Radio broadcasting,8,63,63,-,22726,16956,8471,8484,14414,-,-33,-,1
..MIMAROPA Region,..Television programming and broadcasting activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..MIMAROPA Region,..Wired telecommunications activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..MIMAROPA Region,..Wireless telecommunications activities,,,,,,,,,,,,,
..MIMAROPA Region,..Satellite telecommunications activities,20,353,351,5,208760,186393,35032,151361,75700,-,6087,-,-
..MIMAROPA Region,..Other telecommunications activities,16,52,49,-,13702,11457,3756,7701,7582,48,-674,-,-
..MIMAROPA Region,"..Computer programming, consultancy and related activities",s,s,s,s,s,s,s,s,s,s,s,s,s
..MIMAROPA Region,"..Data processing, hosting and related activities; web portals",s,s,s,s,s,s,s,s,s,s,s,s,s
..MIMAROPA Region,..Other information service activities,,,,,,,,,,,,,
..Bicol Region,Information and Communication,128,1094,1071,-,874592,720003,273786,446218,480234,16363,5142,590,58
..Bicol Region,"..Publishing of books, periodicals and other publishing activities",,,,,,,,,,,,,
..Bicol Region,..Software publishing,,,,,,,,,,,,,
..Bicol Region,"..Motion picture, video and television programme activities",3,24,24,-,28531,13908,3184,10724,14919,-,-8,-,-
..Bicol Region,..Sound recording and music publishing activities,,,,,,,,,,,,,
..Bicol Region,..Radio broadcasting,33,287,287,-,214793,172497,68397,104099,131443,868,-60,-,58
..Bicol Region,..Television programming and broadcasting activities,6,61,61,-,234225,145603,78859,66744,175009,-,1,-,-
..Bicol Region,..Wired telecommunications activities,3,153,153,-,167315,166603,23317,143286,34604,12517,781,-,-
..Bicol Region,..Wireless telecommunications activities,,,,,,,,,,,,,
..Bicol Region,..Satellite telecommunications activities,15,143,143,-,86100,81327,14317,67010,24863,1271,4570,-,-
..Bicol Region,..Other telecommunications activities,65,118,95,-,19522,12791,3445,9346,12797,1707,-142,-,-
..Bicol Region,"..Computer programming, consultancy and related activities",s,s,s,s,s,s,s,s,s,s,s,s,s
..Bicol Region,"..Data processing, hosting and related activities; web portals",s,s,s,s,s,s,s,s,s,s,s,s,s
..Bicol Region,..Other information service activities,,,,,,,,,,,,,
..Western Visayas,Information and Communication,150,1817,1784,28,3326870,2944197,830872,2113325,1787852,35274,85,1388,21
..Western Visayas,"..Publishing of books, periodicals and other publishing activities",8,194,186,-,62854,82844,12400,70444,31010,6234,-,-,-
..Western Visayas,..Software publishing,,,,,,,,,,,,,
..Western Visayas,"..Motion picture, video and television programme activities",6,69,69,-,274494,155166,12124,143043,131145,-,-,-,-
..Western Visayas,..Sound recording and music publishing activities,,,,,,,,,,,,,
..Western Visayas,..Radio broadcasting,45,629,621,14,1167771,804103,362615,441488,799312,7714,-1,-,-
..Western Visayas,..Television programming and broadcasting activities,9,84,84,4,411602,448027,181528,266500,201350,445,-,-,3
..Western Visayas,..Wired telecommunications activities,5,133,132,-,82520,80798,21633,59166,44210,16238,1048,1388,-
..Western Visayas,..Wireless telecommunications activities,c,c,c,c,c,c,c,c,c,c,c,c,c
..Western Visayas,..Satellite telecommunications activities,22,441,441,3,1207228,1285266,201064,1084202,498892,4530,826,-,-
..Western Visayas,..Other telecommunications activities,47,186,171,2,74857,57896,16845,41051,42534,113,-1789,-,-
..Western Visayas,"..Computer programming, consultancy and related activities",7,73,73,-,40634,28068,21274,6794,35082,-,-,-,18
..Western Visayas,"..Data processing, hosting and related activities; web portals",s,s,s,s,s,s,s,s,s,s,s,s,s
..Western Visayas,..Other information service activities,,,,,,,,,,,,,
..Central Visayas,Information and Communication,269,13369,13342,399,11633833,10481220,6239932,4241289,8252951,142919,-17790,74338,32
..Central Visayas,"..Publishing of books, periodicals and other publishing activities",c,c,c,c,c,c,c,c,c,c,c,c,c
..Central Visayas,..Software publishing,13,1127,1126,2,1064241,1045999,657156,388844,752729,37026,-20419,-,-
..Central Visayas,"..Motion picture, video and television programme activities",11,105,105,3,31956,25071,6345,18726,17205,-,-113,-,-
..Central Visayas,..Sound recording and music publishing activities,,,,,,,,,,,,,
..Central Visayas,..Radio broadcasting,36,641,629,27,121955,113190,37543,75648,61811,6091,-119,2000,9
..Central Visayas,..Television programming and broadcasting activities,7,132,129,-,562618,313446,177451,135995,439031,-,-,-,22
..Central Visayas,..Wired telecommunications activities,,,,,,,,,,,,,
..Central Visayas,..Wireless telecommunications activities,3,209,209,-,360912,385018,90043,294974,104479,1083,-40,-,-
..Central Visayas,..Satellite telecommunications activities,18,681,681,53,1528080,1221288,217965,1003324,939492,2732,631,-,-
..Central Visayas,..Other telecommunications activities,67,255,255,-,93735,39676,14956,24720,73008,3060,969,-,-
..Central Visayas,"..Computer programming, consultancy and related activities",102,7848,7837,280,6625973,6256608,4263755,1992853,4859986,29779,1301,72338,-
..Central Visayas,"..Data processing, hosting and related activities; web portals",12,2372,2372,34,1244365,1080925,774719,306206,1005209,63149,-,-,-
..Central Visayas,..Other information service activities,c,c,c,c,c,c,c,c,c,c,c,c,c
..Eastern Visayas,Information and Communication,134,2058,2010,-,784352,521636,156215,365421,497984,25502,-1761,-,-
..Eastern Visayas,"..Publishing of books, periodicals and other publishing activities",s,s,s,s,s,s,s,s,s,s,s,s,s
..Eastern Visayas,..Software publishing,,,,,,,,,,,,,
..Eastern Visayas,"..Motion picture, video and television programme activities",s,s,s,s,s,s,s,s,s,s,s,s,s
..Eastern Visayas,..Sound recording and music publishing activities,,,,,,,,,,,,,
..Eastern Visayas,..Radio broadcasting,16,132,118,-,45699,43706,18487,25219,26852,117,-,-,-
..Eastern Visayas,..Television programming and broadcasting activities,3,53,53,-,72841,118230,44222,74009,16486,-,-,-,-
..Eastern Visayas,..Wired telecommunications activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Eastern Visayas,..Wireless telecommunications activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Eastern Visayas,..Satellite telecommunications activities,23,278,275,-,123027,98552,29985,68567,63068,3524,-1786,-,-
..Eastern Visayas,..Other telecommunications activities,85,157,126,-,21622,17089,5907,11182,9705,721,103,-,-
..Eastern Visayas,"..Computer programming, consultancy and related activities",s,s,s,s,s,s,s,s,s,s,s,s,s
..Eastern Visayas,"..Data processing, hosting and related activities; web portals",s,s,s,s,s,s,s,s,s,s,s,s,s
..Eastern Visayas,..Other information service activities,,,,,,,,,,,,,
..Zamboanga Peninsula,Information and Communication,85,498,461,12,442058,415459,130463,284996,221661,4942,-438,-,23
..Zamboanga Peninsula,"..Publishing of books, periodicals and other publishing activities",s,s,s,s,s,s,s,s,s,s,s,s,s
..Zamboanga Peninsula,..Software publishing,,,,,,,,,,,,,
..Zamboanga Peninsula,"..Motion picture, video and television programme activities",s,s,s,s,s,s,s,s,s,s,s,s,s
..Zamboanga Peninsula,..Sound recording and music publishing activities,,,,,,,,,,,,,
..Zamboanga Peninsula,..Radio broadcasting,25,182,174,11,186972,164682,59119,105563,104769,-,118,-,-
..Zamboanga Peninsula,..Television programming and broadcasting activities,7,76,76,-,110085,158469,52990,105480,30534,890,-,-,23
..Zamboanga Peninsula,..Wired telecommunications activities,,,,,,,,,,,,,
..Zamboanga Peninsula,..Wireless telecommunications activities,3,26,26,-,29447,4692,3046,1646,28492,-,-79,-,-
..Zamboanga Peninsula,..Satellite telecommunications activities,10,97,92,1,30925,21601,7860,13741,24860,2736,-133,-,-
..Zamboanga Peninsula,..Other telecommunications activities,37,88,67,-,21071,15983,5508,10475,12773,1316,-228,-,-
..Zamboanga Peninsula,"..Computer programming, consultancy and related activities",s,s,s,s,s,s,s,s,s,s,s,s,s
..Zamboanga Peninsula,"..Data processing, hosting and related activities; web portals",,,,,,,,,,,,,
..Zamboanga Peninsula,..Other information service activities,,,,,,,,,,,,,
..Northern Mindanao,Information and Communication,98,1070,1037,515,2249747,2178772,399833,1778938,1144127,945635,-1819,-,14700
..Northern Mindanao,"..Publishing of books, periodicals and other publishing activities",s,s,s,s,s,s,s,s,s,s,s,s,s
..Northern Mindanao,..Software publishing,,,,,,,,,,,,,
..Northern Mindanao,"..Motion picture, video and television programme activities",5,96,89,490,1267044,1166947,51016,1115932,666714,807594,-,-,-
..Northern Mindanao,..Sound recording and music publishing activities,,,,,,,,,,,,,
..Northern Mindanao,..Radio broadcasting,31,290,275,-,365196,315694,116505,199189,205010,19159,-2,-,17
..Northern Mindanao,..Television programming and broadcasting activities,3,52,52,-,190508,300919,109920,190999,34136,349,-,-,-
..Northern Mindanao,..Wired telecommunications activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Northern Mindanao,..Wireless telecommunications activities,,,,,,,,,,,,,
..Northern Mindanao,..Satellite telecommunications activities,12,251,250,24,263803,195862,57738,138124,186892,87005,-1897,-,-
..Northern Mindanao,..Other telecommunications activities,36,92,82,-,14399,11649,5216,6433,9230,14576,153,-,-
