,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Summary Statistics for Administrative and Support Service Activities Establishments
Industry Description,2015 Number of establishments All employment sizes,2015 Number of establishments TE 20 and over,2015 Number of establishments TE less than 20,2015 Employment All employment sizes,2015 Employment TE 20 and over,2015 Employment TE less than 20,2015 Paid employees All employment sizes,2015 Paid employees TE 20 and over,2015 Paid employees TE less than 20,2015 Income All employment sizes,2015 Income TE 20 and over,2015 Income TE less than 20,2015 Expense All employment sizes,2015 Expense TE 20 and over,2015 Expense TE less than 20,2015 Compensation All employment sizes,2015 Compensation TE 20 and over,2015 Compensation TE less than 20,2015 Other expense All employment sizes,2015 Other expense TE 20 and over,2015 Other expense TE less than 20,2015 Value added All employment sizes,2015 Value added TE 20 and over,2015 Value added TE less than 20,2015 Gross additions to tangible fixed assets All employment sizes,2015 Gross additions to tangible fixed assets TE 20 and over,2015 Gross additions to tangible fixed assets TE less than 20,2015 Change in inventories All employment sizes,2015 Change in inventories TE 20 and over,2015 Change in inventories TE less than 20,2015 Subsidies All employment sizes,2015 Subsidies TE 20 and over,2015 Subsidies TE less than 20,2015 Sales from e-commerce transactions All employment sizes,2015 Sales from e-commerce transactions TE 20 and over,2015 Sales from e-commerce transactions TE less than 20
..Casting agencies activities,5,..,5,70,..,70,70,..,70,345814,..,345814,255944,..,255944,26081,..,26081,229863,..,229863,122569,..,122569,0,..,0,0,..,0,0,..,0,0,..,0
"..Other activities of employment placement agencies, n.e.c.",31,4,27,1022,855,166,1022,855,166,210670,144887,65782,219191,154389,64802,113308,89471,23837,105883,64917,40965,111374,84505,26869,758,758,0,0,0,0,0,0,0,0,0,0
"..Temporary labor recruitment and provision of personnel, local",61,35,26,9391,9261,130,9385,9255,130,2155585,959714,1195871,2012224,832235,1179989,1866425,732888,1133537,145799,99347,46452,2024523,871285,1153238,112,112,0,1252,1252,0,0,0,0,0,0,0
"..Temporary labor recruitment and provision of personnel, overseas",31,3,28,6889,6745,144,6883,6745,138,152654,81332,71321,140078,71686,68392,25081,10110,14970,114997,61576,53422,67862,29089,38773,405,205,200,0,0,0,0,0,0,0,0,0
..Other human resources provision,11,6,5,1608,1579,29,1600,1575,25,476616,376260,100356,457641,363823,93818,295823,284397,11426,161818,79426,82392,322909,303076,19834,14806,14806,0,54,54,0,0,0,0,0,0,0
..Travel agency activities,845,78,767,10370,3707,6663,10370,3707,6663,10139597,3236165,6903432,9292792,2785038,6507754,2397939,1071850,1326090,6894853,1713188,5181665,3974818,1810659,2164159,453286,453286,0,0,0,0,0,0,0,117249,117249,0
..Tour operator activities,10,..,10,57,..,57,53,..,53,84831,..,84831,81086,..,81086,7161,..,7161,73924,..,73924,13283,..,13283,0,..,0,0,..,0,0,..,0,0,..,0
..Activities of booking offices,192,19,173,2100,697,1403,2100,697,1403,1065741,605033,460707,943027,547588,395439,440356,236869,203487,502671,310719,191952,652164,355365,296799,8917,8917,0,0,0,0,0,0,0,17140,0,17140
..Accommodation reservation activities,4,s,s,101,s,s,101,s,s,93505,s,s,76832,s,s,45459,s,s,31373,s,s,63521,s,s,0,s,s,0,s,s,0,s,s,0,s,s
..Package tour reservation activities,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s
"..Tourist assistance activities (e.g. tourist guides), n.e.c.",4,s,s,30,s,s,28,s,s,21337,s,s,20738,s,s,2512,s,s,18226,s,s,18218,s,s,0,s,s,0,s,s,0,s,s,0,s,s
"..Event tickets, entertainment and recreational reservation activities",4,s,s,101,s,s,101,s,s,235776,s,s,200167,s,s,59161,s,s,141005,s,s,117846,s,s,0,s,s,1425,s,s,0,s,s,0,s,s
"..Other reservation service and related activities, n.e.c.",s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s
..Private security activites,609,339,270,106896,100271,6626,106659,100207,6452,13607533,10072117,3535416,12694421,9322132,3372289,7518996,6894196,624800,5175424,2427936,2747489,11510920,8180921,3329999,121438,121438,0,-19547,-19130,-416,2242,2242,0,0,0,0
..Security systems service activities,42,13,29,2379,2189,190,2379,2189,190,898271,708762,189509,786001,630292,155709,333128,301608,31520,452873,328683,124189,494907,424590,70317,5696,5389,307,-18120,-18120,0,0,0,0,0,0,0
..Investigation activities,6,s,s,369,s,s,369,s,s,104444,s,s,72349,s,s,28012,s,s,44337,s,s,65136,s,s,51990,s,s,3203,s,s,0,s,s,0,s,s
..Combined facilities support activities,11,5,6,1499,1471,28,1499,1471,28,1063787,1005538,58250,886628,830602,56026,433663,426864,6799,452965,403738,49227,668214,651789,16425,14837,12601,2236,255,0,255,0,0,0,0,0,0
..General cleaning of buildings,92,51,41,35764,35354,410,35758,35348,410,10206601,8203290,2003311,9707771,7810097,1897675,5674471,4511264,1163206,4033301,3298832,734468,7213420,5911297,1302123,96607,76387,20220,123,123,0,0,0,0,0,0,0
..Industrial cleaning activities,12,3,9,253,155,98,253,155,98,152177,82942,69236,140855,75765,65090,44553,41946,2607,96302,33818,62483,64252,56071,8181,1221,1221,0,407,425,-18,0,0,0,0,0,0
