fund_code_id,fund_code
224,INVEST_TRST_FUND~30900
225,SP_REV~10565
226,AGNCY_FUNDS~29370
227,SP_REV~11440
228,SP_REV~13690
229,DEBT_SRVC~17620
230,SP_REV~12250
231,SP_REV~11820
232,SP_REV~14560
233,DEBT_SRVC~17380
234,CPTL_PRJ~15670
235,SP_REV~11830
236,AGNCY_FUNDS~29440
237,SP_REV~10540
238,AGNCY_FUNDS~29570
239,INVEST_TRST_FUND~30570
240,AGNCY_FUNDS~29580
241,CPTL_PRJ~16780
242,SP_REV~10690
243,SP_REV~14510
244,SP_REV~10610
245,INVEST_TRST_FUND~30770
246,INVEST_TRST_FUND~30450
247,INVEST_TRST_FUND~30460
248,PSN_OTHR_EMP_BEN~31430
249,SP_REV~12350
250,DEBT_SRVC~17755
251,CPTL_PRJ~17080
252,CPTL_PRJ~15760
253,SP_REV~11621
254,SP_REV~13840
255,AGNCY_FUNDS~29090
256,CPTL_PRJ~15381
257,SP_REV~12961
258,AGNCY_FUNDS~29120
259,SP_REV~11800
260,INVEST_TRST_FUND~30850
261,SP_REV~12530
262,INVEST_TRST_FUND~28831
263,AGNCY_FUNDS~29601
264,SP_REV~11870
265,CPTL_PRJ~17103
266,SP_REV~13831
267,CPTL_PRJ~15517
268,CPTL_PRJ~15513
269,SP_REV~12620
270,CPTL_PRJ~15384
271,ENT_FUND~CWP_DEBT_SRVC
272,ENT_FUND~HH_OP_GRNT
273,INVEST_TRST_FUND~30501
274,SP_REV~13651
275,INVEST_TRST_FUND~30890
276,GEN_FUND~10126
277,AGNCY_FUNDS~29590
278,CPTL_PRJ~15382
279,SP_REV~10491
280,CPTL_PRJ~15512
281,SP_REV~10855
282,ENT_FUND~LHH_OP_GRNTS
283,CPTL_PRJ~16900
284,DEBT_SRVC~17756
285,INVEST_TRST_FUND~30880
286,PSN_OTHR_EMP_BEN~31220
287,CPTL_PRJ~15383
288,AGNCY_FUNDS~28450
289,CPTL_PRJ~15514
290,CPTL_PRJ~17105
291,SP_REV~10800
292,ENT_FUND~CLN_PWR_CPTL
293,CPTL_PRJ~15400
294,SP_REV~10482
295,INVEST_TRST_FUND~30810
296,SP_REV~11650
297,SP_REV~12910
298,CPTL_PRJ~16781
299,SP_REV~10210
300,SP_REV~14660
301,SP_REV~13570
302,AGNCY_FUNDS~28930
303,SP_REV~10567
304,INVEST_TRST_FUND~30502
305,CPTL_PRJ~17104
306,SP_REV~10568
307,AGNCY_FUNDS~29605
308,SP_REV~12510
309,SP_REV~10566
310,CPTL_PRJ~15410
311,CPTL_PRJ~15783
312,SP_REV~14452
313,SP_REV~13090
314,SP_REV~14459
315,SP_REV~10861
316,AGNCY_FUNDS~29050
317,SP_REV~13850
318,SP_REV~11895
319,SP_REV~10493
320,CPTL_PRJ~15788
321,PSN_OTHR_EMP_BEN~31230
322,ENT_FUND~SFWD_TRST_AGNCY
323,SP_REV~10569
324,SP_REV~14451
325,DEBT_SRVC~17757
326,SP_REV~13510
327,CPTL_PRJ~15784
328,INVEST_TRST_FUND~30990
329,SP_REV~11450
330,SP_REV~14965
331,DEBT_SRVC~17650
332,SP_REV~14460
333,SP_REV~14466
334,SP_REV~14463
335,INVEST_TRST_FUND~28830
336,SP_REV~14960
337,DEBT_SRVC~17630
338,SP_REV~10802
339,SP_REV~13870
340,INVEST_TRST_FUND~30503
341,ENT_FUND~SFWD_OP_GRNT
342,SP_REV~10572
343,SP_REV~12891
344,AGNCY_FUNDS~29390
345,SP_REV~10574
346,INVEST_TRST_FUND~28833
347,CPTL_PRJ~15791
348,SP_REV~14468
349,INVEST_TRST_FUND~30500
350,CPTL_PRJ~17102
351,ENT_FUND~CWP_OP_GRNTS
352,SP_REV~14453
353,SP_REV~10492
354,SP_REV~11950
355,SP_REV~10631
356,SP_REV~10571
357,SP_REV~10584
358,CPTL_PRJ~16862
359,SP_REV~12490
360,DEBT_SRVC~17750
361,ENT_FUND~CWP_TRST_AGNCY
362,CPTL_PRJ~15730
363,SP_REV~13950
364,AGNCY_FUNDS~28700
365,CPTL_PRJ~16050
366,SP_REV~10890
367,INVEST_TRST_FUND~31060
368,CPTL_PRJ~15480
369,INVEST_TRST_FUND~30470
370,INVEST_TRST_FUND~30730
371,CPTL_PRJ~17101
372,AGNCY_FUNDS~28660
373,SP_REV~14020
374,ENT_FUND~PRT_TRST_AGNCY
375,SP_REV~14950
376,INVEST_TRST_FUND~28832
377,SP_REV~12080
378,CPTL_PRJ~15782
379,INVEST_TRST_FUND~31070
380,SP_REV~14450
381,INVEST_TRST_FUND~30720
382,SP_REV~14458
383,CPTL_PRJ~15781
384,SP_REV~10583
385,SP_REV~14457
386,CPTL_PRJ~15792
387,CPTL_PRJ~15793
388,SP_REV~10240
389,SP_REV~14464
390,CPTL_PRJ~15600
391,SP_REV~10620
392,CPTL_PRJ~15660
393,CPTL_PRJ~17190
394,INVEST_TRST_FUND~30560
395,AGNCY_FUNDS~29260
396,CPTL_PRJ~16960
397,DEBT_SRVC~17460
398,INVEST_TRST_FUND~30660
399,CPTL_PRJ~17060
400,AGNCY_FUNDS~28970
401,INVEST_TRST_FUND~30750
402,INVEST_TRST_FUND~30710
403,AGNCY_FUNDS~29110
404,SP_REV~14070
405,AGNCY_FUNDS~29565
406,INVEST_TRST_FUND~30970
407,AGNCY_FUNDS~29579
408,AGNCY_FUNDS~29581
409,AGNCY_FUNDS~29598
410,SP_REV~10575
411,CPTL_PRJ~16888
412,SP_REV~11620
413,CPTL_PRJ~16390
414,CPTL_PRJ~16770
415,INVEST_TRST_FUND~30550
416,INVEST_TRST_FUND~30840
417,SP_REV~10530
418,GEN_FUND~10070
419,SP_REV~14340
420,SP_REV~10915
421,INVEST_TRST_FUND~30800
422,AGNCY_FUNDS~29270
423,CPTL_PRJ~16840
424,CPTL_PRJ~17070
425,AGNCY_FUNDS~29578
426,AGNCY_FUNDS~29577
427,AGNCY_FUNDS~29380
428,CPTL_PRJ~17106
429,SP_REV~10573
430,SP_REV~10865
431,DEBT_SRVC~17360
432,CPTL_PRJ~15590
433,SP_REV~14469
434,AGNCY_FUNDS~29576
435,DEBT_SRVC~17370
436,DEBT_SRVC~17500
437,AGNCY_FUNDS~28651
438,AGNCY_FUNDS~29582
439,SP_REV~14456
440,ENT_FUND~CLN_PWR_TRST_AGNCY
441,SP_REV~14467
442,AGNCY_FUNDS~28710
443,SP_REV~14465
444,ENT_FUND~HHWP_TRST_AGNCY
445,AGNCY_FUNDS~28820
446,SP_REV~14455
447,INVEST_TRST_FUND~31090
448,AGNCY_FUNDS~28420
449,INVEST_TRST_FUND~30440
450,INVEST_TRST_FUND~30960
451,DEBT_SRVC~17510
452,AGNCY_FUNDS~29080
453,INVEST_TRST_FUND~30480
454,AGNCY_FUNDS~28410
455,SP_REV~13701
456,SP_REV~14321
457,INVEST_TRST_FUND~31080
458,AGNCY_FUNDS~28940
459,INVEST_TRST_FUND~30870
460,DEBT_SRVC~17400
461,SP_REV~13650
462,DEBT_SRVC~17480
463,CPTL_PRJ~15640
464,INVEST_TRST_FUND~31030
465,INVEST_TRST_FUND~30520
466,INVEST_TRST_FUND~30950
467,DEBT_SRVC~17490
468,ENT_FUND~CLN_PWR_OP_GRNTS
469,CPTL_PRJ~15650
470,INVEST_TRST_FUND~30670
471,AGNCY_FUNDS~29583
472,AGNCY_FUNDS~29410
473,DEBT_SRVC~17525
474,DEBT_SRVC~17530
475,DEBT_SRVC~17470
476,SP_REV~12590
477,AGNCY_FUNDS~28610
478,INVEST_TRST_FUND~30860
479,ENT_FUND~SFGH_TRST_AGNCY
480,SP_REV~14360
481,INVEST_TRST_FUND~30771
482,1GAGF
483,5LAAA
484,5LCPF
485,5LAGT
486,2SCHS
487,5HAAA
488,2SPPF
489,2SCRF
490,7EBEQ
491,2SLIB
492,7EGIF
493,1GOHF
494,3CRPF
495,2SNDF
496,2SGOL
497,2SOSP
498,3CXCF
499,2SWMF
500,2SGSF
501,2SENV
502,2ST&C
503,2SCDB
504,2SRPF
505,6ICSF
506,6ITIF
507,6IOIS
508,2SCFF
509,2SCSS
510,2SCFC
511,2SCHF
512,2SHWF
513,4DGOB
514,6IFCF
515,4DODS
516,2SSCP
517,2SPWF
518,2SCTF
519,5AAAA
520,5ACPF
521,5PAAA
522,5ASRF
523,2SBIF
524,3CSIF
525,2SGTF
526,5XOPF
527,5MAAA
528,5NAAA
529,5NOPF
530,5OAAA
531,5TAAA
532,5TCPF
533,5MSRF
534,5WAAA
535,5WCPF
536,5PCPF
537,8AAAA
538,7PRET
539,7ACRT
540,5WPUC
541,5CAAA
