sub_object_code_id,sub_object_code
1,519130
2,520010
3,514010
4,543210
5,521050
6,523010
7,581790
8,549500
9,529110
10,515710
11,581170
12,519120
13,435499
14,543990
15,516010
16,515030
17,501010
18,548990
19,514020
20,999988
21,999986
22,517010
23,513010
24,527000
25,523020
26,584030
27,499998
28,535990
29,540000
30,486190
31,519110
32,511010
33,515010
34,521060
35,463599
36,535810
37,475999
38,486740
39,567000
40,531000
41,486280
42,581360
43,522000
44,529000
45,435284
46,509010
47,595220
48,595230
49,519010
50,574110
51,581430
52,545310
53,537220
54,581930
55,549990
56,439535
57,515610
58,513030
59,535820
60,527610
61,465372
62,552115
63,487030
64,465670
65,529210
66,538010
67,542980
68,542990
69,520190
70,999989
71,449102
72,581140
73,544410
74,536520
75,444999
76,552210
77,520290
78,520990
79,531990
80,465853
81,515020
82,526610
83,480111
84,505010
85,527040
86,465270
87,527070
88,535210
89,530310
90,581079
91,465567
92,545990
93,522020
94,581830
95,465911
96,549770
97,543410
98,486760
99,535950
100,501050
101,528990
102,544930
103,535610
104,501040
105,541200
106,560990
107,465562
108,535960
109,535930
110,549250
111,501020
112,544210
113,412601
114,535510
115,527090
116,542410
117,544420
118,549510
119,527080
120,543310
121,492001
122,519990
123,527990
124,581250
125,486020
126,493065
127,542210
128,542510
129,410410
130,420350
131,521010
132,552110
133,478901
134,465310
135,542110
136,527510
137,549610
138,530000
139,465228
140,501070
141,510210
142,544990
143,563201
144,436610
145,505070
146,522010
147,581820
148,581085
149,542610
150,520000
151,539200
152,581280
153,460699
154,410940
155,535710
156,546990
157,527010
158,465226
159,486800
160,535520
161,506010
162,499999
163,465642
164,465870
165,542810
166,465842
167,465373
168,505050
169,528010
170,465851
171,460199
172,425990
173,527020
174,549410
175,581710
176,448999
177,479701
178,581040
179,581061
180,560290
181,528040
182,545210
183,495028
184,553110
185,584010
186,560710
187,549110
188,473219
189,486370
190,469999
191,581081
192,526990
193,525010
194,430130
195,536210
196,505040
197,530110
198,479999
199,527030
200,535110
201,470113
202,495025
203,579050
204,527890
205,581067
206,553230
207,506070
208,581073
209,478101
210,533110
211,505020
212,581130
213,549210
214,581880
215,581014
216,525190
217,535310
218,552310
219,521000
220,444936
221,411224
222,552280
223,542310
224,444939
225,581180
226,524010
227,444931
228,529990
229,581855
230,552220
231,547990
232,495001
233,581670
234,528000
235,999987
236,581230
237,527210
238,430150
239,553210
240,523000
241,515510
242,532110
243,486250
244,495024
245,486330
246,486610
247,533210
248,528110
249,513710
250,535000
251,486670
252,486630
253,486030
254,581740
255,579030
256,486130
257,500010
258,526310
259,486310
260,521020
261,486070
262,581950
263,521030
264,581120
265,581245
266,544510
267,529310
268,535910
269,486230
270,460166
271,486420
272,581068
273,493031
274,486220
275,486410
276,571210
277,581210
278,581270
279,581065
280,536230
281,581470
282,486990
283,470199
284,435113
285,591340
286,581460
287,513090
288,530410
289,581580
290,420299
291,581051
292,591120
293,581083
294,581325
295,475415
296,537710
297,552000
298,486750
299,486430
300,486010
301,486690
302,440107
303,495021
304,486510
305,528030
306,420931
307,486110
308,581890
309,440222
310,536250
311,591150
312,579990
313,495026
314,486180
315,581750
316,435293
317,435221
318,531350
319,486380
320,581570
321,460651
322,532210
323,538000
324,581640
325,486320
326,486210
327,581490
328,475301
329,581660
330,460175
331,486710
332,581650
333,486170
334,465302
335,475930
336,530210
337,560000
338,486050
339,527110
340,486195
341,527310
342,466306
343,486390
344,581370
345,581066
346,440220
347,486460
348,581770
349,486500
350,550010
351,560410
352,574990
353,581012
354,581064
355,581330
356,493001
357,410310
358,523050
359,475416
360,581980
361,460688
362,476252
363,486580
364,581390
365,486520
366,466113
367,435351
368,560610
369,486400
370,465952
371,461132
372,465862
373,554210
374,466105
375,486560
376,465810
377,581690
378,439899
379,465101
380,467311
381,486100
382,486650
383,570000
384,460202
385,581840
386,487200
387,435241
388,462851
389,460605
390,420112
391,527830
392,486200
393,486565
394,445715
395,486600
396,581520
397,553000
398,486530
399,465307
400,581550
401,420120
402,445121
403,465998
404,445419
405,486270
406,536510
407,551000
408,581063
409,462849
410,460689
411,465428
412,477933
413,598050
414,486150
415,581260
416,420312
417,487150
418,493037
419,440168
420,486640
421,493036
422,581200
423,460135
424,581400
425,549720
426,466295
427,465999
428,463512
429,478902
430,470201
431,460138
432,420630
433,448923
434,487240
435,462899
436,435511
437,486550
438,440105
439,552410
440,495022
441,460131
442,581730
