incident_datetime,incident_date,incident_time,incident_year,incident_day_of_week,report_datetime,row_id,incident_id,incident_number,cad_number,report_type_code,report_type_description,filed_online,incident_code,incident_category,incident_subcategory,incident_description,resolution,intersection,cnn,police_district,analysis_neighborhood,supervisor_district,supervisor_district_2012,latitude,longitude,point,:@computed_region_jwn9_ihcz,:@computed_region_jg9y_a9du,:@computed_region_h4ep_8xdi,:@computed_region_n4xg_c4py,:@computed_region_nqbw_i6c3,:@computed_region_viu7_rrfi,:@computed_region_26cr_cadq,:@computed_region_qgnn_b9vv
2019-10-12T00:35:00.000,2019-10-12T00:00:00.000,00:35,2019,Saturday,2019-10-12T00:39:00.000,85736304021,857363,190767776,192850108.0,II,Initial,,4021,Assault,Aggravated Assault,"Assault, Att. Homicide, W/ Gun",Open or Active,POWELL ST \ POST ST,24918000.0,Central,Financial District/South Beach,3.0,3.0,37.78829319282882,-122.40840155198468,POINT (-122.40840155198468 37.78829319282882),19.0,,,,,,3.0,6.0
2019-11-23T17:40:00.000,2019-11-23T00:00:00.000,17:40,2019,Saturday,2019-11-25T10:42:00.000,87438506244,874385,196252785,,II,Coplogic Initial,True,6244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,20TH ST \ ILLINOIS ST,23562000.0,Bayview,Potrero Hill,10.0,10.0,37.76055022084461,-122.38756878451498,POINT (-122.38756878451498 37.760550220844614),55.0,,,,,,9.0,2.0
2018-10-11T12:00:00.000,2018-10-11T00:00:00.000,12:00,2018,Thursday,2020-01-13T13:44:00.000,90482727065,904827,209000439,200131003.0,II,Initial,,27065,Other Miscellaneous,Fraud,"Identification To Peace Officer, False",Open or Active,04TH ST \ LONG BRIDGE ST,34168000.0,Out of SF,Mission Bay,6.0,6.0,37.77346692060748,-122.39143433652146,POINT (-122.39143433652146 37.773466920607476),34.0,,,,,,10.0,1.0
2019-11-23T00:10:00.000,2019-11-23T00:00:00.000,00:10,2019,Saturday,2019-11-23T00:25:00.000,87323364020,873233,190886188,193270049.0,II,Initial,,64020,Non-Criminal,Other,Mental Health Detention,Open or Active,FLORIDA ST \ 20TH ST,24029000.0,Mission,Mission,9.0,9.0,37.75913395834225,-122.41075854448174,POINT (-122.41075854448174 37.75913395834225),53.0,,,,3.0,,2.0,3.0
2019-12-29T16:00:00.000,2019-12-29T00:00:00.000,16:00,2019,Sunday,2019-12-30T15:09:00.000,88625507021,886255,190979103,193642158.0,VI,Vehicle Initial,,7021,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",Open or Active,POWELL ST \ GREENWICH ST,25451000.0,Central,North Beach,3.0,3.0,37.80210072466788,-122.41120259347622,POINT (-122.41120259347622 37.80210072466788),106.0,,,,,,3.0,6.0
2019-09-21T12:00:00.000,2019-09-21T00:00:00.000,12:00,2019,Saturday,2019-09-21T12:00:00.000,84927207041,849272,190703247,,VS,Vehicle Supplement,,7041,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Auto",Open or Active,,,Out of SF,,,,,,,,,,,,,,
2019-07-20T07:55:00.000,2019-07-20T00:00:00.000,07:55,2019,Saturday,2019-07-20T08:01:00.000,82469562050,824695,190525251,192010782.0,II,Initial,,62050,Warrant,Warrant,"Warrant Arrest, Enroute To Outside Jurisdiction",Cite or Arrest Adult,NATOMA ST \ 08TH ST,24302000.0,Southern,South of Market,6.0,6.0,37.77666098665174,-122.41215795469684,POINT (-122.41215795469684 37.77666098665174),32.0,,1.0,1.0,1.0,,10.0,1.0
2019-04-22T14:00:00.000,2019-04-22T00:00:00.000,14:00,2019,Monday,2019-04-22T17:35:00.000,79336128150,793361,190286895,191123099.0,II,Initial,,28150,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",Cite or Arrest Adult,19TH ST \ MISSION ST,24145000.0,Mission,Mission,9.0,9.0,37.7602353540718,-122.41920604493744,POINT (-122.41920604493745 37.7602353540718),53.0,,,,3.0,,2.0,3.0
2019-11-12T10:28:00.000,2019-11-12T00:00:00.000,10:28,2019,Tuesday,2019-11-12T10:33:00.000,86931316620,869313,190856028,193161330.0,II,Initial,,16620,Drug Offense,Drug Violation,Cocaine Offense,Cite or Arrest Adult,FILLMORE ST \ CHESTNUT ST,26763000.0,Northern,Marina,2.0,2.0,37.80081414349149,-122.43627391136631,POINT (-122.43627391136633 37.80081414349149),17.0,,,,,,6.0,4.0
2019-07-25T05:00:00.000,2019-07-25T00:00:00.000,05:00,2019,Thursday,2019-07-25T19:30:00.000,82672107021,826721,190541069,192063543.0,VI,Vehicle Initial,,7021,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",Open or Active,SUTTER ST \ PRESIDIO AVE,26839000.0,Richmond,Presidio Heights,2.0,2.0,37.78443831197587,-122.44624722482112,POINT (-122.44624722482111 37.78443831197587),11.0,,,,,,6.0,8.0
2020-02-17T17:18:00.000,2020-02-17T00:00:00.000,17:18,2020,Monday,2020-02-17T17:34:00.000,90384115161,903841,200121123,200482710.0,II,Initial,,15161,Offences Against The Family And Children,Other,Violation of Restraining Order,Open or Active,SHARON ST \ 15TH ST,25730000.0,Mission,Castro/Upper Market,8.0,8.0,37.76606305964936,-122.42992612183986,POINT (-122.42992612183986 37.76606305964936),37.0,,,,5.0,,5.0,3.0
2020-04-17T07:00:00.000,2020-04-17T00:00:00.000,07:00,2020,Friday,2020-04-17T14:45:00.000,92165606372,921656,206068300,,II,Coplogic Initial,True,6372,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $50-$200",Open or Active,VALLEJO ST \ LEAVENWORTH ST,25287000.0,Central,Russian Hill,3.0,3.0,37.79754141761171,-122.41703009398732,POINT (-122.41703009398731 37.79754141761171),107.0,,,,,,3.0,6.0
2019-09-16T15:15:00.000,2019-09-16T00:00:00.000,15:15,2019,Monday,2019-09-16T15:31:00.000,84731426080,847314,190692004,192592505.0,II,Initial,,26080,Other Miscellaneous,Other,Conspiracy,Open or Active,MARKET ST \ POWELL ST,34016000.0,Tenderloin,Financial District/South Beach,6.0,3.0,37.784560141211806,-122.40733704162238,POINT (-122.40733704162238 37.784560141211806),19.0,,,,,,3.0,5.0
2018-09-16T11:52:00.000,2018-09-16T00:00:00.000,11:52,2018,Sunday,2018-09-16T23:54:00.000,71543062050,715430,180703473,182593804.0,II,Initial,,62050,Warrant,Warrant,"Warrant Arrest, Enroute To Outside Jurisdiction",Cite or Arrest Adult,SOUTH VAN NESS AVE \ 19TH ST,24129000.0,Mission,Mission,9.0,9.0,37.76036702181753,-122.41702581621055,POINT (-122.41702581621057 37.76036702181753),53.0,,,,3.0,,2.0,3.0
2020-02-19T16:43:00.000,2020-02-19T00:00:00.000,16:43,2020,Wednesday,2020-02-21T10:29:00.000,90516805153,905168,200130867,200521200.0,II,Initial,,5153,Burglary,Burglary - Other,"Burglary, Non-residential, Unlawful Entry",Open or Active,OWENS ST \ 16TH ST,23784000.0,Southern,Mission Bay,6.0,6.0,37.76669145946492,-122.3926618696727,POINT (-122.3926618696727 37.766691459464916),34.0,,,,,,10.0,1.0
2019-01-10T09:15:00.000,2019-01-10T00:00:00.000,09:15,2019,Thursday,2019-01-10T16:37:00.000,75786219057,757862,190024582,190102885.0,II,Initial,,19057,Disorderly Conduct,Intimidation,Terrorist Threats,Open or Active,FRONT ST \ PACIFIC AVE,24799000.0,Central,Financial District/South Beach,3.0,3.0,37.79780663039136,-122.399685665145,POINT (-122.399685665145 37.797806630391364),77.0,,,,,,3.0,6.0
2020-03-28T16:53:00.000,2020-03-28T00:00:00.000,16:53,2020,Saturday,2020-03-28T16:53:00.000,91606060190,916060,200212471,200882218.0,II,Initial,,60190,Suicide,Suicide,Suicide By Strangulation/Hanging,Open or Active,MANGELS AVE \ HAMERTON AVE,21979000.0,Ingleside,West of Twin Peaks,8.0,8.0,37.733092254976135,-122.437884329865,POINT (-122.43788432986501 37.733092254976135),95.0,,,,,,5.0,9.0
2020-01-05T11:09:00.000,2020-01-05T00:00:00.000,11:09,2020,Sunday,2020-01-05T11:09:00.000,88836916030,888369,200011091,200051240.0,II,Initial,,16030,Drug Offense,Drug Violation,"Marijuana, Possession For Sale",Cite or Arrest Adult,GOLDEN GATE AVE \ HYDE ST,24431000.0,Tenderloin,Tenderloin,5.0,6.0,37.7816542606277,-122.41550518013352,POINT (-122.41550518013352 37.7816542606277),21.0,,1.0,1.0,1.0,,10.0,5.0
2019-09-06T17:40:00.000,2019-09-06T00:00:00.000,17:40,2019,Friday,2019-09-06T18:00:00.000,84372606363,843726,190665653,192493218.0,II,Initial,,6363,Larceny Theft,Larceny Theft - Shoplifting,"Theft, Shoplifting, $200-$950",Cite or Arrest Adult,EDDY ST \ CYRIL MAGNIN ST,24893000.0,Tenderloin,Tenderloin,3.0,6.0,37.78445272883687,-122.40849315881204,POINT (-122.40849315881205 37.78445272883687),19.0,,1.0,1.0,,,10.0,5.0
2020-01-07T22:00:00.000,2020-01-07T00:00:00.000,22:00,2020,Tuesday,2020-01-08T03:28:00.000,88919405071,889194,200017851,200080237.0,II,Initial,,5071,Burglary,Burglary - Other,"Burglary, Other Bldg., Forcible Entry",Open or Active,NATOMA ST \ 11TH ST,24355000.0,Southern,South of Market,6.0,6.0,37.773532375271806,-122.41610416294884,POINT (-122.41610416294883 37.773532375271806),32.0,,1.0,1.0,1.0,,10.0,1.0
2020-02-03T07:00:00.000,2020-02-03T00:00:00.000,07:00,2020,Monday,2020-02-03T07:15:00.000,89867404013,898674,200083799,200340583.0,II,Initial,,4013,Assault,Aggravated Assault,"Assault, Aggravated, W/ Other Weapon",Open or Active,JERROLD AVE \ PHELPS ST,20672000.0,Bayview,Bayview Hunters Point,10.0,10.0,37.73985319897475,-122.39126842523832,POINT (-122.39126842523832 37.73985319897475),86.0,,,,,,9.0,2.0
2020-01-17T14:00:00.000,2020-01-17T00:00:00.000,14:00,2020,Friday,2020-01-17T14:15:00.000,89255604013,892556,200042002,200172035.0,II,Initial,,4013,Assault,Aggravated Assault,"Assault, Aggravated, W/ Other Weapon",Open or Active,SOUTH VAN NESS AVE \ 23RD ST,24075000.0,Mission,Mission,9.0,9.0,37.75396776877417,-122.41641349023185,POINT (-122.41641349023185 37.75396776877417),53.0,,,,3.0,,2.0,3.0
2019-10-01T19:00:00.000,2019-10-01T00:00:00.000,19:00,2019,Tuesday,2019-10-01T21:54:00.000,87520075030,875200,190738222,,IS,Initial Supplement,,75030,Case Closure,Case Closure,Case Closure,Cite or Arrest Adult,GEARY BLVD \ 15TH AVE,27486000.0,Richmond,Outer Richmond,1.0,1.0,37.78057538107447,-122.47398247146393,POINT (-122.47398247146391 37.78057538107447),5.0,,,,,,4.0,8.0
2019-09-23T14:25:00.000,2019-09-23T00:00:00.000,14:25,2019,Monday,2019-09-23T14:25:00.000,85010204134,850102,190703742,192631328.0,IS,Initial Supplement,,4134,Assault,Simple Assault,Battery,Open or Active,SOUTH VAN NESS AVE \ 16TH ST,24142000.0,Mission,Mission,9.0,9.0,37.765183133520345,-122.41748659732669,POINT (-122.41748659732667 37.765183133520345),53.0,,,,3.0,,2.0,3.0
