incident_datetime,incident_date,incident_time,incident_year,incident_day_of_week,report_datetime,row_id,incident_id,incident_number,cad_number,report_type_code,report_type_description,filed_online,incident_code,incident_category,incident_subcategory,incident_description,resolution,intersection,cnn,police_district,analysis_neighborhood,supervisor_district,supervisor_district_2012,latitude,longitude,point,:@computed_region_jwn9_ihcz,:@computed_region_jg9y_a9du,:@computed_region_h4ep_8xdi,:@computed_region_n4xg_c4py,:@computed_region_nqbw_i6c3,:@computed_region_viu7_rrfi,:@computed_region_26cr_cadq,:@computed_region_qgnn_b9vv
2020-03-21T04:00:00.000,2020-03-21T00:00:00.000,04:00,2020,Saturday,2020-03-21T13:30:00.000,91450074000,914500,200201076,200811564.0,II,Initial,,74000,Missing Person,Missing Adult,Missing Adult,Open or Active,HOLLISTER AVE \ HAWES ST,20436000.0,Bayview,Bayview Hunters Point,10.0,10.0,37.71868763249085,-122.39056415497244,POINT (-122.39056415497244 37.71868763249085),88.0,,,,,,9.0,2.0
2019-09-23T13:44:00.000,2019-09-23T00:00:00.000,13:44,2019,Monday,2019-09-27T12:05:00.000,85155205013,851552,190724516,192701036.0,II,Initial,,5013,Burglary,Burglary - Residential,"Burglary, Apartment House, Unlawful Entry",Open or Active,MOSS ST \ HOWARD ST,24286000.0,Southern,South of Market,6.0,6.0,37.77841553390059,-122.40883267867665,POINT (-122.40883267867663 37.77841553390059),32.0,,,1.0,1.0,,10.0,1.0
2019-11-30T19:50:00.000,2019-11-30T00:00:00.000,19:50,2019,Saturday,2019-11-30T19:56:00.000,87583303072,875833,190904188,193342674.0,II,Initial,,3072,Robbery,Robbery - Other,"Robbery, W/ Knife",Open or Active,23RD ST \ KANSAS ST,23725000.0,Bayview,Potrero Hill,10.0,10.0,37.75451211920657,-122.40255751087844,POINT (-122.40255751087845 37.75451211920657),54.0,,,,,,9.0,2.0
2019-12-26T19:13:00.000,2019-12-26T00:00:00.000,19:13,2019,Thursday,2019-12-26T19:18:00.000,88513464020,885134,190970139,193603054.0,II,Initial,,64020,Non-Criminal,Other,Mental Health Detention,Open or Active,16TH ST \ CAPP ST,24168000.0,Mission,Mission,9.0,9.0,37.76510995411557,-122.41869842699698,POINT (-122.41869842699698 37.76510995411557),53.0,,,,3.0,,2.0,3.0
2019-07-26T00:00:00.000,2019-07-26T00:00:00.000,00:00,2019,Friday,2019-09-28T19:10:00.000,85211609320,852116,190728693,192713529.0,II,Initial,,9320,Fraud,Fraud,"Access Card, incl. Credit, Phone, ATM, Fraudulent Use of",Open or Active,SAN JOSE AVE \ SERGEANT JOHN V YOUNG ST,22101000.0,Out of SF,Outer Mission,11.0,11.0,37.72498829635846,-122.44306587712263,POINT (-122.44306587712263 37.72498829635846),94.0,,,,,,1.0,9.0
2019-09-21T12:00:00.000,2019-09-21T00:00:00.000,12:00,2019,Saturday,2019-09-26T12:46:00.000,85119574000,851195,190721534,192692058.0,II,Initial,,74000,Missing Person,Missing Adult,Missing Adult,Open or Active,FRANKLIN ST \ WASHINGTON ST,26539000.0,Northern,Pacific Heights,2.0,2.0,37.79284141338079,-122.42451795190824,POINT (-122.42451795190823 37.792841413380785),102.0,,,,,,6.0,4.0
2020-02-14T03:08:00.000,2020-02-14T00:00:00.000,03:08,2020,Friday,2020-02-14T03:10:00.000,90254271012,902542,200058388,,VS,Vehicle Supplement,,71012,Other Offenses,Other Offenses,"License Plate, Recovered",Open or Active,,,Out of SF,,,,,,,,,,,,,,
2019-11-09T06:30:00.000,2019-11-09T00:00:00.000,06:30,2019,Saturday,2019-11-09T10:06:00.000,86813406151,868134,190848116,193131194.0,II,Initial,,6151,Larceny Theft,Larceny Theft - Other,"Theft, From Person, <$50 (other than Pickpocket)",Open or Active,POLK ST \ SACRAMENTO ST,25301000.0,Northern,Nob Hill,3.0,3.0,37.79149585408994,-122.42087318515296,POINT (-122.42087318515297 37.79149585408994),105.0,,,,,,3.0,4.0
2019-07-28T12:00:00.000,2019-07-28T00:00:00.000,12:00,2019,Sunday,2019-08-02T11:40:00.000,82993268030,829932,190563110,192141551.0,II,Initial,,68030,Courtesy Report,Courtesy Report,Courtesy Report,Open or Active,VALLEJO ST \ TURK MURPHY LN,25354000.0,Out of SF,Chinatown,3.0,3.0,37.7984422945084,-122.40987875494628,POINT (-122.40987875494628 37.7984422945084),106.0,,,,,,3.0,6.0
2019-11-20T10:53:00.000,2019-11-20T00:00:00.000,10:53,2019,Wednesday,2019-11-20T10:53:00.000,87220764070,872207,190878113,193241570.0,II,Initial,,64070,Suspicious Occ,Suspicious Occ,Suspicious Occurrence,Open or Active,GROVE ST \ BRODERICK ST,26060000.0,Park,Hayes Valley,5.0,5.0,37.77571358981224,-122.43965650508086,POINT (-122.43965650508086 37.77571358981224),24.0,,,,,,11.0,7.0
2020-05-11T10:00:00.000,2020-05-11T00:00:00.000,10:00,2020,Monday,2020-05-11T19:31:00.000,92629506303,926295,200289066,201322917.0,II,Initial,,6303,Larceny Theft,Larceny Theft - From Building,"Theft, From Building, $200-$950",Open or Active,PINE ST \ OCTAVIA ST,26528000.0,Northern,Pacific Heights,5.0,5.0,37.78878689392044,-122.4270596732852,POINT (-122.4270596732852 37.78878689392044),101.0,,,,,,11.0,4.0
2019-12-28T02:37:00.000,2019-12-28T00:00:00.000,02:37,2019,Saturday,2019-12-28T02:57:00.000,88553075000,885530,190973365,193620259.0,II,Initial,,75000,Missing Person,Missing Person,Found Person,Open or Active,03RD ST \ BRANNAN ST,23811000.0,Southern,South of Market,6.0,6.0,37.78008972934234,-122.39430003844754,POINT (-122.39430003844754 37.78008972934234),31.0,,,,,,10.0,1.0
2019-10-29T15:10:00.000,2019-10-29T00:00:00.000,15:10,2019,Tuesday,2019-10-29T15:10:00.000,86410027130,864100,190818391,193022162.0,II,Initial,,27130,Other Miscellaneous,Other,"Burglary Tools, Possession Of",Cite or Arrest Adult,FELTON ST \ SAN BRUNO AVE,28173000.0,Bayview,Portola,9.0,9.0,37.73003719466246,-122.40459261785216,POINT (-122.40459261785215 37.73003719466246),91.0,,,,,,2.0,2.0
2019-09-20T00:00:00.000,2019-09-20T00:00:00.000,00:00,2019,Friday,2019-09-24T16:15:00.000,85065506244,850655,196201152,,II,Coplogic Initial,True,6244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,STEINER ST \ OFARRELL ST,26595000.0,Northern,Western Addition,5.0,5.0,37.7830830171894,-122.43435039627953,POINT (-122.43435039627953 37.7830830171894),97.0,,,,,,11.0,4.0
2019-11-16T00:31:00.000,2019-11-16T00:00:00.000,00:31,2019,Saturday,2019-11-16T17:13:00.000,87296406374,872964,196247930,,II,Coplogic Initial,True,6374,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, >$950",Open or Active,KEARNY ST \ BROADWAY,24795000.0,Central,North Beach,3.0,3.0,37.79801695570216,-122.40547307125944,POINT (-122.40547307125945 37.79801695570216),106.0,,,,,,3.0,6.0
2019-07-29T17:01:00.000,2019-07-29T00:00:00.000,17:01,2019,Monday,2019-07-29T21:04:00.000,82835806244,828358,190552618,192103686.0,II,Initial,,6244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,03RD ST \ LE CONTE AVE,20467000.0,Bayview,Bayview Hunters Point,10.0,10.0,37.718834357405456,-122.39747873558032,POINT (-122.39747873558031 37.718834357405456),88.0,,,,,,9.0,2.0
