incident_datetime,incident_date,incident_time,incident_year,incident_day_of_week,report_datetime,row_id,incident_id,incident_number,cad_number,report_type_code,report_type_description,filed_online,incident_code,incident_category,incident_subcategory,incident_description,resolution,intersection,cnn,police_district,analysis_neighborhood,supervisor_district,supervisor_district_2012,latitude,longitude,point,:@computed_region_jwn9_ihcz,:@computed_region_jg9y_a9du,:@computed_region_h4ep_8xdi,:@computed_region_n4xg_c4py,:@computed_region_nqbw_i6c3,:@computed_region_viu7_rrfi,:@computed_region_26cr_cadq,:@computed_region_qgnn_b9vv
2019-08-02T08:45:00.000,2019-08-02T00:00:00.000,08:45,2019,Friday,2019-08-03T00:30:00.000,83118871000,831188,196158707,,II,Coplogic Initial,True,71000,Lost Property,Lost Property,Lost Property,Open or Active,STRATFORD DR \ WYTON LN,23024000.0,Taraval,West of Twin Peaks,7.0,7.0,37.7230224609375,-122.47342681884766,POINT (-122.47342681884766 37.7230224609375),41.0,,,,,,8.0,10.0
2023-01-11T20:00:00.000,2023-01-11T00:00:00.000,20:00,2023,Wednesday,2023-01-12T01:12:00.000,123475206224,1234752,236008167,,II,Coplogic Initial,True,6224,Larceny Theft,Larceny - From Vehicle,"Theft, From Unlocked Vehicle, >$950",Open or Active,MARY ST \ MISSION ST,24883000.0,Tenderloin,South of Market,6.0,6.0,37.78211941829001,-122.40725467595034,POINT (-122.40725467595034 37.78211941829001),32.0,,1.0,1.0,,,10.0,1.0
2019-06-03T21:55:00.000,2019-06-03T00:00:00.000,21:55,2019,Monday,2019-06-03T21:55:00.000,80782926100,807829,190364407,191544019.0,IS,Initial Supplement,,26100,Other Miscellaneous,Extortion-Blackmail,Extortion or Blackmail,Cite or Arrest Adult,EDDY ST \ WEBSTER ST,25974000.0,Northern,Western Addition,5.0,5.0,37.781646728515625,-122.43061065673828,POINT (-122.43061065673828 37.781646728515625),97.0,,,,,,11.0,4.0
2021-03-23T15:49:00.000,2021-03-23T00:00:00.000,15:49,2021,Tuesday,2021-03-23T15:49:00.000,101558627130,1015586,210182165,210822302.0,IS,Initial Supplement,,27130,Other Miscellaneous,Other,"Burglary Tools, Possession Of",Cite or Arrest Adult,ROUSSEAU ST \ CAYUGA AVE,21706000.0,Ingleside,Outer Mission,11.0,8.0,37.73145972927425,-122.42976635245844,POINT (-122.42976635245844 37.73145972927425),94.0,,,,,,5.0,9.0
2018-02-11T22:47:00.000,2018-02-11T00:00:00.000,22:47,2018,Sunday,2018-02-11T22:51:00.000,63457451040,634574,180113963,180423508.0,II,Initial,,51040,Non-Criminal,Non-Criminal,Aided Case,Open or Active,24TH ST \ CAPP ST,24070000.0,Mission,Mission,9.0,9.0,37.75230597782659,-122.41735781829728,POINT (-122.41735781829728 37.75230597782659),53.0,,,,3.0,,2.0,3.0
2023-03-08T18:00:00.000,2023-03-08T00:00:00.000,18:00,2023,Wednesday,2023-03-09T08:20:00.000,125249971000,1252499,236043624,,II,Coplogic Initial,True,71000,Lost Property,Lost Property,Lost Property,Open or Active,20TH AVE \ WINSTON DR,33719000.0,Taraval,Lakeshore,7.0,7.0,37.72694991292525,-122.47603947349434,POINT (-122.47603947349434 37.72694991292525),41.0,,,,,,8.0,10.0
2023-02-20T13:53:00.000,2023-02-20T00:00:00.000,13:53,2023,Monday,2023-02-20T14:19:00.000,124654263010,1246542,220800664,230511750.0,IS,Initial Supplement,,63010,Warrant,Other,"Warrant Arrest, Local SF Warrant",Cite or Arrest Adult,MISSION ST \ 10TH ST,24414000.0,Southern,South of Market,6.0,6.0,37.77527205930737,-122.4159081801724,POINT (-122.4159081801724 37.77527205930737),32.0,,1.0,1.0,1.0,,10.0,1.0
2019-10-04T22:12:00.000,2019-10-04T00:00:00.000,22:12,2019,Friday,2019-10-04T22:26:00.000,85454205011,854542,190747392,192774215.0,II,Initial,,5011,Burglary,Burglary - Residential,"Burglary, Apartment House, Forcible Entry",Cite or Arrest Adult,19TH ST \ PENNSYLVANIA AVE,23649000.0,Bayview,Potrero Hill,10.0,10.0,37.761474609375,-122.39348602294922,POINT (-122.39348602294922 37.761474609375),54.0,,,,,,9.0,2.0
2018-03-16T09:00:00.000,2018-03-16T00:00:00.000,09:00,2018,Friday,2018-03-16T17:23:00.000,64658005013,646580,180200601,180752907.0,II,Initial,,5013,Burglary,Burglary - Residential,"Burglary, Apartment House, Unlawful Entry",Open or Active,CLEMENTINA ST \ SUMNER ST,24277000.0,Southern,South of Market,6.0,6.0,37.77589416503906,-122.40999603271484,POINT (-122.40999603271484 37.77589416503906),32.0,,,1.0,1.0,,10.0,1.0
2023-02-23T17:15:00.000,2023-02-23T00:00:00.000,17:15,2023,Thursday,2023-02-23T19:09:00.000,124813728150,1248137,236033374,,II,Coplogic Initial,True,28150,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",Open or Active,,,Richmond,,,,,,,,,,,,,,
