incident_number,exposure_number,id,address,incident_date,call_number,alarm_dttm,arrival_dttm,close_dttm,city,zipcode,battalion,station_area,box,suppression_units,suppression_personnel,ems_units,ems_personnel,other_units,other_personnel,first_unit_on_scene,estimated_property_loss,estimated_contents_loss,fire_fatalities,fire_injuries,civilian_fatalities,civilian_injuries,number_of_alarms,primary_situation,mutual_aid,action_taken_primary,action_taken_secondary,action_taken_other,detector_alerted_occupants,property_use,area_of_fire_origin,ignition_cause,ignition_factor_primary,ignition_factor_secondary,heat_source,item_first_ignited,human_factors_associated_with_ignition,structure_type,structure_status,floor_of_fire_origin,fire_spread,no_flame_spread,number_of_floors_with_minimum_damage,number_of_floors_with_significant_damage,number_of_floors_with_heavy_damage,number_of_floors_with_extreme_damage,detectors_present,detector_type,detector_operation,detector_effectiveness,detector_failure_reason,automatic_extinguishing_system_present,automatic_extinguishing_sytem_type,automatic_extinguishing_sytem_perfomance,automatic_extinguishing_sytem_failure_reason,number_of_sprinkler_heads_operating,supervisor_district,neighborhood_district,point,data_as_of,data_loaded_at
14070763,0,140707630,Leavenworth St/ofarrell Street,2014-07-23,142043627,2014-07-23 20:49:18,2014-07-23 20:51:37,2014-07-23 20:52:01,San Francisco,94102,B04,3.0,1544,2,9,0,0,0,0,,5.0,50.0,0,0,0,0,1,"711 Municipal alarm system, malicious false alarm",N None,86 Investigate,86 Investigate,51 Ventilate,1 Detector alerted occupants,"960 Street, other",21 Bedroom  -  < 5 persons; included are jail or prison,2 Unintentional,UU Undetermined,,UU Undetermined,UU Undetermined,N None,1 Enclosed building,2 In normal use,2.0,,NO,,1.0,,,1 Present,1 Smoke,2 Detector operated,"1 Detector alerted occupants, occupants responded",,N None Present,U Undetermined,3 Fire too small to activate system,System shut off,1.0,5.0,Tenderloin,"-122.414619, 37.785583",2014-07-23 20:52:01,2025-06-01 02:18:08
14070766,0,140707660,1379 Hayes Street,2014-07-23,142043666,2014-07-23 21:02:39,2014-07-23 21:11:09,2014-07-23 21:11:15,San Francisco,94117,B05,21.0,4244,1,4,0,0,0,0,,5.0,50.0,0,0,0,0,1,"151 Outside rubbish, trash or waste fire",N None,86 Investigate,86 Investigate,51 Ventilate,1 Detector alerted occupants,"960 Street, other",21 Bedroom  -  < 5 persons; included are jail or prison,2 Unintentional,UU Undetermined,,UU Undetermined,UU Undetermined,N None,1 Enclosed building,2 In normal use,2.0,,NO,,1.0,,,1 Present,1 Smoke,2 Detector operated,"1 Detector alerted occupants, occupants responded",,N None Present,U Undetermined,3 Fire too small to activate system,System shut off,1.0,5.0,Hayes Valley,"-122.439064, 37.774759",2014-07-23 21:11:15,2025-06-01 02:18:08
14070784,0,140707840,1 Sf Intl Airport,2014-07-22,142043897,2014-07-22 23:45:27,2014-07-22 23:51:43,2014-07-23 00:12:37,San Francisco,94128,B99,44.0,6913,2,4,0,0,0,0,,5.0,50.0,0,0,0,0,1,671 HazMat release investigation w/no HazMat,N None,86 Investigate,86 Investigate,51 Ventilate,1 Detector alerted occupants,"579 Motor vehicle or boat sales, services, repair",21 Bedroom  -  < 5 persons; included are jail or prison,2 Unintentional,UU Undetermined,,UU Undetermined,UU Undetermined,N None,1 Enclosed building,2 In normal use,2.0,,NO,,1.0,,,1 Present,1 Smoke,2 Detector operated,"1 Detector alerted occupants, occupants responded",,N None Present,U Undetermined,3 Fire too small to activate system,System shut off,1.0,6.0,Tenderloin,"-122.38416, 37.616901",2014-07-23 00:12:37,2025-06-01 02:18:08
14070785,0,140707850,1 Sf Intl Airport,2014-07-23,142043899,2014-07-23 20:52:48,2014-07-23 20:57:42,2014-07-23 22:10:35,San Francisco,94128,B99,44.0,6913,3,6,0,0,0,0,,5.0,50.0,0,0,0,0,1,411 Gasoline or other flammable liquid spill,N None,86 Investigate,86 Investigate,51 Ventilate,1 Detector alerted occupants,974 Aircraft loading area,21 Bedroom  -  < 5 persons; included are jail or prison,2 Unintentional,UU Undetermined,,UU Undetermined,UU Undetermined,N None,1 Enclosed building,2 In normal use,2.0,,NO,,1.0,,,1 Present,1 Smoke,2 Detector operated,"1 Detector alerted occupants, occupants responded",,N None Present,U Undetermined,3 Fire too small to activate system,System shut off,1.0,6.0,Tenderloin,"-122.38416, 37.616901",2014-07-23 22:10:35,2025-06-01 02:18:08
14070796,0,140707960,11 Funston,2014-07-23,142044074,2014-07-23 22:56:51,2014-07-23 23:02:25,2014-07-23 23:12:31,Presidio,94129,B99,51.0,4626,3,10,0,0,0,0,,5.0,50.0,0,0,0,0,1,"700 False alarm or false call, other",N None,63 Restore fire alarm system,86 Investigate,51 Ventilate,1 Detector alerted occupants,"500 Mercantile, business, other",21 Bedroom  -  < 5 persons; included are jail or prison,2 Unintentional,UU Undetermined,,UU Undetermined,UU Undetermined,N None,1 Enclosed building,2 In normal use,2.0,,NO,,1.0,,,1 Present,1 Smoke,2 Detector operated,"1 Detector alerted occupants, occupants responded",,N None Present,U Undetermined,3 Fire too small to activate system,System shut off,1.0,2.0,Presidio,"-122.456353, 37.798282",2014-07-23 23:12:31,2025-06-01 02:18:08
14070799,0,140707990,1 280nb Ocean On,2014-07-23,142044122,2014-07-23 23:15:43,2014-07-23 23:21:20,2014-07-24 00:21:32,San Francisco,94112,B09,15.0,8313,1,4,1,2,0,0,,5.0,50.0,0,0,0,0,1,322 Motor vehicle accident with injuries,N None,"70 Assistance, other",86 Investigate,51 Ventilate,1 Detector alerted occupants,961 Highway or divided highway,21 Bedroom  -  < 5 persons; included are jail or prison,2 Unintentional,UU Undetermined,,UU Undetermined,UU Undetermined,N None,1 Enclosed building,2 In normal use,2.0,,NO,,1.0,,,1 Present,1 Smoke,2 Detector operated,"1 Detector alerted occupants, occupants responded",,N None Present,U Undetermined,3 Fire too small to activate system,System shut off,1.0,11.0,Outer Mission,"-122.447339, 37.723037",2014-07-24 00:21:32,2025-06-01 02:18:08
14070801,0,140708010,6th St/harrison Street,2014-07-23,142044135,2014-07-23 23:19:44,2014-07-23 23:22:56,2014-07-23 23:23:45,San Francisco,94103,B03,8.0,2254,2,9,0,0,0,0,,5.0,50.0,0,0,0,0,1,"711 Municipal alarm system, malicious false alarm",N None,86 Investigate,86 Investigate,51 Ventilate,1 Detector alerted occupants,"960 Street, other",21 Bedroom  -  < 5 persons; included are jail or prison,2 Unintentional,UU Undetermined,,UU Undetermined,UU Undetermined,N None,1 Enclosed building,2 In normal use,2.0,,NO,,1.0,,,1 Present,1 Smoke,2 Detector operated,"1 Detector alerted occupants, occupants responded",,N None Present,U Undetermined,3 Fire too small to activate system,System shut off,1.0,6.0,South of Market,"-122.404071, 37.777274",2014-07-23 23:23:45,2025-06-01 02:18:08
14070802,0,140708020,2637 24th Street,2014-07-23,142044139,2014-07-23 23:18:42,2014-07-23 23:29:39,2014-07-23 23:38:06,San Francisco,94110,B10,9.0,2562,3,10,0,0,0,0,,5.0,50.0,0,0,0,0,1,"745 Alarm system activation, no fire  -  unintentional",N None,86 Investigate,86 Investigate,51 Ventilate,1 Detector alerted occupants,429 Multifamily dwelling,21 Bedroom  -  < 5 persons; included are jail or prison,2 Unintentional,UU Undetermined,,UU Undetermined,UU Undetermined,N None,1 Enclosed building,2 In normal use,2.0,,NO,,1.0,,,1 Present,1 Smoke,2 Detector operated,"1 Detector alerted occupants, occupants responded",,N None Present,U Undetermined,3 Fire too small to activate system,System shut off,1.0,10.0,Mission,"-122.405718, 37.752973",2014-07-23 23:38:06,2025-06-01 02:18:08
14070804,0,140708040,124 Ellis Street,2014-07-23,142044160,2014-07-23 23:24:55,2014-07-23 23:38:27,2014-07-23 23:48:57,San Francisco,94102,B03,1.0,1366,3,11,0,0,0,0,,5.0,50.0,0,0,0,0,1,552 Police matter,N None,86 Investigate,86 Investigate,51 Ventilate,1 Detector alerted occupants,"140 Clubs, other",21 Bedroom  -  < 5 persons; included are jail or prison,2 Unintentional,UU Undetermined,,UU Undetermined,UU Undetermined,N None,1 Enclosed building,2 In normal use,2.0,,NO,,1.0,,,1 Present,1 Smoke,2 Detector operated,"1 Detector alerted occupants, occupants responded",,N None Present,U Undetermined,3 Fire too small to activate system,System shut off,1.0,3.0,Tenderloin,"-122.408275, 37.785508",2014-07-23 23:48:57,2025-06-01 02:18:08
14070806,0,140708060,333 Arlington Street,2014-07-23,142044173,2014-07-23 23:29:35,2014-07-23 23:36:40,2014-07-23 23:46:13,San Francisco,94131,B06,26.0,8133,3,10,0,0,0,0,,5.0,50.0,0,0,0,0,1,621 Wrong location,N None,86 Investigate,86 Investigate,51 Ventilate,1 Detector alerted occupants,419 1 or 2 family dwelling,21 Bedroom  -  < 5 persons; included are jail or prison,2 Unintentional,UU Undetermined,,UU Undetermined,UU Undetermined,N None,1 Enclosed building,2 In normal use,2.0,,NO,,1.0,,,1 Present,1 Smoke,2 Detector operated,"1 Detector alerted occupants, occupants responded",,N None Present,U Undetermined,3 Fire too small to activate system,System shut off,1.0,8.0,Glen Park,"-122.427541, 37.736346",2014-07-23 23:46:13,2025-06-01 02:18:08
