incident_number,exposure_number,id,address,incident_date,call_number,alarm_dttm,arrival_dttm,close_dttm,city,zipcode,battalion,station_area,box,suppression_units,suppression_personnel,ems_units,ems_personnel,other_units,other_personnel,first_unit_on_scene,estimated_property_loss,estimated_contents_loss,fire_fatalities,fire_injuries,civilian_fatalities,civilian_injuries,number_of_alarms,primary_situation,mutual_aid,action_taken_primary,action_taken_secondary,action_taken_other,detector_alerted_occupants,property_use,area_of_fire_origin,ignition_cause,ignition_factor_primary,ignition_factor_secondary,heat_source,item_first_ignited,human_factors_associated_with_ignition,structure_type,structure_status,floor_of_fire_origin,fire_spread,no_flame_spread,number_of_floors_with_minimum_damage,number_of_floors_with_significant_damage,number_of_floors_with_heavy_damage,number_of_floors_with_extreme_damage,detectors_present,detector_type,detector_operation,detector_effectiveness,detector_failure_reason,automatic_extinguishing_system_present,automatic_extinguishing_sytem_type,automatic_extinguishing_sytem_perfomance,automatic_extinguishing_sytem_failure_reason,number_of_sprinkler_heads_operating,supervisor_district,neighborhood_district,point,data_as_of,data_loaded_at
20088065,0,200880650,1599 Lombard Street,2020-08-02,202150458,2020-08-02 06:04:37,2020-08-02 06:09:31,2020-08-02 07:22:48,San Francisco,94123.0,B04,16,3244.0,3,10,2,3,0,0,E03,100.0,50.0,0,0,0,0,1,"320 Emergency medical service incident, other",N None,86 Investigate,63 Restore fire alarm system,34 Transport person,1 Detector alerted occupants,"449 Hotel/motel, commercial",UU Undetermined,2 Unintentional,UU Undetermined,,UU Undetermined,UU Undetermined,N None,1 Enclosed building,2 In normal use,1.0,"32 Bedding; blanket, sheet, comforter",NO,1.0,0.0,0.0,0.0,1 Present,1 Smoke,2 Detector operated,"1 Detector alerted occupants, occupants responded",,N None Present,1 Wet - pipe sprinkler system,3 Fire too small to activate system,,0.0,2.0,Marina,"-122.427617, 37.800744",2020-08-02 07:22:48,2025-06-01 02:18:08
20088067,0,200880670,7th Street,2020-08-02,202150466,2020-08-02 06:11:08,2020-08-02 06:25:25,2020-08-02 06:26:32,San Francisco,94103.0,B02,1,2315.0,1,5,0,0,0,0,E03,100.0,50.0,0,0,0,0,1,622 No incident found on arrival at dispatch address,N None,86 Investigate,63 Restore fire alarm system,34 Transport person,1 Detector alerted occupants,NNN None,UU Undetermined,2 Unintentional,UU Undetermined,,UU Undetermined,UU Undetermined,N None,1 Enclosed building,2 In normal use,1.0,"32 Bedding; blanket, sheet, comforter",NO,1.0,0.0,0.0,0.0,1 Present,1 Smoke,2 Detector operated,"1 Detector alerted occupants, occupants responded",,N None Present,1 Wet - pipe sprinkler system,3 Fire too small to activate system,,0.0,6.0,South of Market,"-122.410939, 37.779212",2020-08-02 06:26:32,2025-06-01 02:18:08
20088071,0,200880710,1010 Buchanan Street,2020-08-02,202150520,2020-08-02 07:00:03,2020-08-02 07:04:04,2020-08-02 07:47:12,San Francisco,94115.0,B02,5,3425.0,3,10,0,0,0,0,E03,100.0,50.0,0,0,0,0,1,"710 Malicious, mischievous false call, other",N None,86 Investigate,63 Restore fire alarm system,34 Transport person,1 Detector alerted occupants,429 Multifamily dwelling,UU Undetermined,2 Unintentional,UU Undetermined,,UU Undetermined,UU Undetermined,N None,1 Enclosed building,2 In normal use,1.0,"32 Bedding; blanket, sheet, comforter",NO,1.0,0.0,0.0,0.0,1 Present,1 Smoke,2 Detector operated,"1 Detector alerted occupants, occupants responded",,N None Present,1 Wet - pipe sprinkler system,3 Fire too small to activate system,,0.0,5.0,Western Addition,"-122.428399, 37.779211",2020-08-02 07:47:12,2025-06-01 02:18:08
20088072,0,200880720,1028 Howard Street,2020-08-02,202150522,2020-08-02 07:01:48,2020-08-02 07:05:47,2020-08-02 07:11:19,San Francisco,94103.0,B03,1,2252.0,3,10,0,0,0,0,E03,100.0,50.0,0,0,0,0,1,"200 Overpressure rupture, explosion, overheat other",N None,86 Investigate,63 Restore fire alarm system,34 Transport person,1 Detector alerted occupants,429 Multifamily dwelling,UU Undetermined,2 Unintentional,UU Undetermined,,UU Undetermined,UU Undetermined,N None,1 Enclosed building,2 In normal use,1.0,"32 Bedding; blanket, sheet, comforter",NO,1.0,0.0,0.0,0.0,1 Present,1 Smoke,2 Detector operated,"1 Detector alerted occupants, occupants responded",,N None Present,1 Wet - pipe sprinkler system,3 Fire too small to activate system,,0.0,6.0,South of Market,"-122.407894, 37.779257",2020-08-02 07:11:19,2025-06-01 02:18:08
20088101,0,200881010,1422 27th Avenue,2020-08-02,202150772,2020-08-02 09:38:41,2020-08-02 09:43:00,2020-08-02 09:52:48,San Francisco,94122.0,B08,18,7475.0,1,4,0,0,0,0,E03,100.0,50.0,0,0,0,0,1,444 Power line down,N None,86 Investigate,63 Restore fire alarm system,34 Transport person,1 Detector alerted occupants,"962 Residential street, road or residential driveway",UU Undetermined,2 Unintentional,UU Undetermined,,UU Undetermined,UU Undetermined,N None,1 Enclosed building,2 In normal use,1.0,"32 Bedding; blanket, sheet, comforter",NO,1.0,0.0,0.0,0.0,1 Present,1 Smoke,2 Detector operated,"1 Detector alerted occupants, occupants responded",,N None Present,1 Wet - pipe sprinkler system,3 Fire too small to activate system,,0.0,4.0,Sunset/Parkside,"-122.48545, 37.760868",2020-08-02 09:52:48,2025-06-01 02:18:08
20088107,0,200881070,2425 Geary Bl,2020-08-02,202150819,2020-08-02 09:53:57,2020-08-02 09:55:14,2020-08-02 09:58:07,San Francisco,94115.0,B05,10,4261.0,3,10,0,0,0,0,E03,100.0,50.0,0,0,0,0,1,735 Alarm system sounded due to malfunction,N None,86 Investigate,63 Restore fire alarm system,34 Transport person,1 Detector alerted occupants,331 Hospital  -  medical or psychiatric,UU Undetermined,2 Unintentional,UU Undetermined,,UU Undetermined,UU Undetermined,N None,1 Enclosed building,2 In normal use,1.0,"32 Bedding; blanket, sheet, comforter",NO,1.0,0.0,0.0,0.0,1 Present,1 Smoke,2 Detector operated,"1 Detector alerted occupants, occupants responded",,N None Present,1 Wet - pipe sprinkler system,3 Fire too small to activate system,,0.0,2.0,Lone Mountain/USF,"-122.443226, 37.782308",2020-08-02 09:58:07,2025-06-01 02:18:08
20088108,0,200881080,Thrift Street,2020-08-02,202150833,2020-08-02 10:02:42,2020-08-02 10:05:56,2020-08-02 10:08:44,San Francisco,94112.0,B09,15,8465.0,1,4,0,0,0,0,E03,100.0,50.0,0,0,0,0,1,444 Power line down,N None,86 Investigate,63 Restore fire alarm system,34 Transport person,1 Detector alerted occupants,"962 Residential street, road or residential driveway",UU Undetermined,2 Unintentional,UU Undetermined,,UU Undetermined,UU Undetermined,N None,1 Enclosed building,2 In normal use,1.0,"32 Bedding; blanket, sheet, comforter",NO,1.0,0.0,0.0,0.0,1 Present,1 Smoke,2 Detector operated,"1 Detector alerted occupants, occupants responded",,N None Present,1 Wet - pipe sprinkler system,3 Fire too small to activate system,,0.0,11.0,Oceanview/Merced/Ingleside,"-122.459071, 37.717454",2020-08-02 10:08:44,2025-06-01 02:18:08
20088118,0,200881180,1080 Sutter Street,2020-08-02,202150909,2020-08-02 10:27:18,2020-08-02 10:31:06,2020-08-02 10:39:23,San Francisco,94109.0,B04,3,1557.0,3,10,0,0,0,0,E03,100.0,50.0,0,0,0,0,1,"745 Alarm system activation, no fire  -  unintentional",N None,86 Investigate,63 Restore fire alarm system,34 Transport person,1 Detector alerted occupants,429 Multifamily dwelling,UU Undetermined,2 Unintentional,UU Undetermined,,UU Undetermined,UU Undetermined,N None,1 Enclosed building,2 In normal use,1.0,"32 Bedding; blanket, sheet, comforter",NO,1.0,0.0,0.0,0.0,1 Present,1 Smoke,2 Detector operated,"1 Detector alerted occupants, occupants responded",,N None Present,1 Wet - pipe sprinkler system,3 Fire too small to activate system,,0.0,3.0,Nob Hill,"-122.418126, 37.788079",2020-08-02 10:39:23,2025-06-01 02:18:08
20088120,0,200881200,969 Buena Vista Avenue West,2020-08-02,202150925,2020-08-02 10:34:35,2020-08-02 10:39:03,2020-08-02 10:46:48,San Francisco,94117.0,B05,21,4353.0,3,10,0,0,0,0,E03,100.0,50.0,0,0,0,0,1,"745 Alarm system activation, no fire  -  unintentional",N None,63 Restore fire alarm system,63 Restore fire alarm system,34 Transport person,1 Detector alerted occupants,"460 Dormitory - type residence, other",UU Undetermined,2 Unintentional,UU Undetermined,,UU Undetermined,UU Undetermined,N None,1 Enclosed building,2 In normal use,1.0,"32 Bedding; blanket, sheet, comforter",NO,1.0,0.0,0.0,0.0,1 Present,1 Smoke,2 Detector operated,"1 Detector alerted occupants, occupants responded",,N None Present,1 Wet - pipe sprinkler system,3 Fire too small to activate system,,0.0,5.0,Haight Ashbury,"-122.443332, 37.770126",2020-08-02 10:46:48,2025-06-01 02:18:08
20088122,0,200881220,Howard Street,2020-08-02,202150930,2020-08-02 10:36:02,2020-08-02 10:38:57,2020-08-02 10:42:09,San Francisco,94103.0,B03,1,2245.0,1,4,0,0,0,0,E03,100.0,50.0,0,0,0,0,1,"600 Good intent call, other",N None,86 Investigate,63 Restore fire alarm system,34 Transport person,1 Detector alerted occupants,"000 Property Use, other",UU Undetermined,2 Unintentional,UU Undetermined,,UU Undetermined,UU Undetermined,N None,1 Enclosed building,2 In normal use,1.0,"32 Bedding; blanket, sheet, comforter",NO,1.0,0.0,0.0,0.0,1 Present,1 Smoke,2 Detector operated,"1 Detector alerted occupants, occupants responded",,N None Present,1 Wet - pipe sprinkler system,3 Fire too small to activate system,,0.0,6.0,South of Market,"-122.404934, 37.781499",2020-08-02 10:42:09,2025-06-01 02:18:08
