incident_number,exposure_number,id,address,incident_date,call_number,alarm_dttm,arrival_dttm,close_dttm,city,zipcode,battalion,station_area,box,suppression_units,suppression_personnel,ems_units,ems_personnel,other_units,other_personnel,first_unit_on_scene,estimated_property_loss,estimated_contents_loss,fire_fatalities,fire_injuries,civilian_fatalities,civilian_injuries,number_of_alarms,primary_situation,mutual_aid,action_taken_primary,action_taken_secondary,action_taken_other,detector_alerted_occupants,property_use,area_of_fire_origin,ignition_cause,ignition_factor_primary,ignition_factor_secondary,heat_source,item_first_ignited,human_factors_associated_with_ignition,structure_type,structure_status,floor_of_fire_origin,fire_spread,no_flame_spread,number_of_floors_with_minimum_damage,number_of_floors_with_significant_damage,number_of_floors_with_heavy_damage,number_of_floors_with_extreme_damage,detectors_present,detector_type,detector_operation,detector_effectiveness,detector_failure_reason,automatic_extinguishing_system_present,automatic_extinguishing_sytem_type,automatic_extinguishing_sytem_perfomance,automatic_extinguishing_sytem_failure_reason,number_of_sprinkler_heads_operating,supervisor_district,neighborhood_district,point,data_as_of,data_loaded_at
8000850,0,80008500,1 Sf Intl Airport,2008-01-03,80030088,2008-01-03 08:30:46,2008-01-03 08:30:46,2008-01-03 08:32:40,San Francisco International Airport area,94128,B09,A1,3426.0,2,5,0,0,0,0,AP,50.0,50.0,0,0,0,0,1,671  -  Hazmat release investigation w/no hazmat,,45  -  Remove hazard,86  -  Investigate,86  -  Investigate,1  -  Detector alerted occupants,171  -  Airport passenger terminal,"24  -  Cooking area, kitchen",2  -  Unintentional,53  -  Equipment unattended,12  -  Heat source too close to combustibles,"10  -  Heat from powered equipment, other","76  -  Cooking materials, inc. Edible materi",N  -  None,1  - Enclosed building,2  - In normal use,1.0,"76  - Cooking materials, inc. Edible materia",1,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded",,N  - None Present,,,,0.0,6.0,Mission,"-122.38416, 37.616901",2008-01-03 09:24:42,2025-06-01 02:18:08
8000852,0,80008520,1600 Bryant Street,2008-01-03,80030090,2008-01-03 08:31:53,2008-01-03 08:47:43,2008-01-03 09:46:26,San Francisco,94107,B02,29,3426.0,2,4,0,0,0,0,86,50.0,50.0,0,0,0,0,1,"400  -  Hazardous condition, other",,86  -  Investigate,86  -  Investigate,86  -  Investigate,1  -  Detector alerted occupants,596  -  Post office or mailing firms,"24  -  Cooking area, kitchen",2  -  Unintentional,53  -  Equipment unattended,12  -  Heat source too close to combustibles,"10  -  Heat from powered equipment, other","76  -  Cooking materials, inc. Edible materi",N  -  None,1  - Enclosed building,2  - In normal use,1.0,"76  - Cooking materials, inc. Edible materia",1,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded",,N  - None Present,,,,0.0,9.0,Mission,"-122.41106853, 37.76661903",2008-01-04 07:22:22,2025-06-01 02:18:08
8000861,0,80008610,2nd Street / Harrison Street,2008-01-03,80030107,2008-01-03 09:11:05,2008-01-03 09:11:05,2008-01-03 10:15:46,San Francisco,94107,B03,8,3426.0,1,4,0,0,0,0,B11,50.0,50.0,0,0,0,0,1,322  -  Vehicle accident with injuries,,33  -  Provide advanced life support (ALS),86  -  Investigate,86  -  Investigate,1  -  Detector alerted occupants,"960  -  Street, other","24  -  Cooking area, kitchen",2  -  Unintentional,53  -  Equipment unattended,12  -  Heat source too close to combustibles,"10  -  Heat from powered equipment, other","76  -  Cooking materials, inc. Edible materi",N  -  None,1  - Enclosed building,2  - In normal use,1.0,"76  - Cooking materials, inc. Edible materia",1,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded",,N  - None Present,,,,0.0,6.0,Financial District/South Beach,"-122.395163, 37.78431",2008-01-03 22:14:28,2025-06-01 02:18:08
8000862,0,80008620,1011 Turk Street,2008-01-03,80030108,2008-01-03 09:12:09,2008-01-03 09:22:07,2008-01-03 10:34:05,San Francisco,94102,B02,5,3426.0,1,2,0,0,0,0,B02,50.0,50.0,0,0,0,0,1,"400  -  Hazardous condition, other",,"41  -  Identify, analyze hazardous materials",86  -  Investigate,86  -  Investigate,1  -  Detector alerted occupants,"000  -  Property Use, other","24  -  Cooking area, kitchen",2  -  Unintentional,53  -  Equipment unattended,12  -  Heat source too close to combustibles,"10  -  Heat from powered equipment, other","76  -  Cooking materials, inc. Edible materi",N  -  None,1  - Enclosed building,2  - In normal use,1.0,"76  - Cooking materials, inc. Edible materia",1,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded",,N  - None Present,,,,0.0,5.0,Western Addition,"-122.42577, 37.781231",2008-01-04 07:25:02,2025-06-01 02:18:08
8000865,0,80008650,Bryant Street / 22nd Street,2008-01-03,80030112,2008-01-03 09:20:11,2008-01-03 09:24:41,2008-01-03 09:27:47,San Francisco,94110,B06,7,3426.0,2,9,0,0,0,0,T07,50.0,50.0,0,0,0,0,1,"711  -  Municipal alarm system, Street Box False",,86  -  Investigate,86  -  Investigate,86  -  Investigate,1  -  Detector alerted occupants,"960  -  Street, other","24  -  Cooking area, kitchen",2  -  Unintentional,53  -  Equipment unattended,12  -  Heat source too close to combustibles,"10  -  Heat from powered equipment, other","76  -  Cooking materials, inc. Edible materi",N  -  None,1  - Enclosed building,2  - In normal use,1.0,"76  - Cooking materials, inc. Edible materia",1,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded",,N  - None Present,,,,0.0,9.0,Mission,"-122.409436, 37.755997",2008-01-20 16:50:02,2025-06-01 02:18:08
8000873,0,80008730,450 10th Street,2008-01-03,80030132,2008-01-03 09:50:13,2008-01-03 09:56:38,2008-01-03 10:09:00,San Francisco,94107,B02,29,3426.0,3,10,0,0,0,0,E29,50.0,50.0,0,0,0,0,1,741  -  Sprinkler activation/no fire - accidental,,62  -  Restore fire protection system,86  -  Investigate,86  -  Investigate,1  -  Detector alerted occupants,"500  -  Mercantile, business, other","24  -  Cooking area, kitchen",2  -  Unintentional,53  -  Equipment unattended,12  -  Heat source too close to combustibles,"10  -  Heat from powered equipment, other","76  -  Cooking materials, inc. Edible materi",N  -  None,1  - Enclosed building,2  - In normal use,1.0,"76  - Cooking materials, inc. Edible materia",1,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded",,N  - None Present,,,,0.0,6.0,South of Market,"-122.410735, 37.770776",2008-01-03 20:57:21,2025-06-01 02:18:08
8000875,0,80008750,1895 Chestnut Street,2008-01-03,80030137,2008-01-03 10:03:36,2008-01-03 10:07:55,2008-01-03 10:21:58,San Francisco,94123,B04,16,3426.0,1,5,0,0,0,0,T16,50.0,50.0,0,0,0,0,1,"331  -  Lock - in (if lock out , use 511 )",,86  -  Investigate,86  -  Investigate,86  -  Investigate,1  -  Detector alerted occupants,"962  -  Residential street, road or residential dr","24  -  Cooking area, kitchen",2  -  Unintentional,53  -  Equipment unattended,12  -  Heat source too close to combustibles,"10  -  Heat from powered equipment, other","76  -  Cooking materials, inc. Edible materi",N  -  None,1  - Enclosed building,2  - In normal use,1.0,"76  - Cooking materials, inc. Edible materia",1,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded",,N  - None Present,,,,0.0,2.0,Marina,"-122.43434519, 37.80088018",2008-01-26 12:12:20,2025-06-01 02:18:08
8000881,0,80008810,389 The Embarcadero Sou,2008-01-03,80030143,2008-01-03 10:16:29,2008-01-03 10:17:42,2008-01-03 10:17:45,San Francisco,94105,B03,35,3426.0,1,7,0,0,0,0,FB1,50.0,50.0,0,0,0,0,1,553  -  Public service,,"00  -  Action taken, other",86  -  Investigate,86  -  Investigate,1  -  Detector alerted occupants,"941  -  Open ocean, sea or tidal waters","24  -  Cooking area, kitchen",2  -  Unintentional,53  -  Equipment unattended,12  -  Heat source too close to combustibles,"10  -  Heat from powered equipment, other","76  -  Cooking materials, inc. Edible materi",N  -  None,1  - Enclosed building,2  - In normal use,1.0,"76  - Cooking materials, inc. Edible materia",1,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded",,N  - None Present,,,,0.0,6.0,Financial District/South Beach,"-122.38847, 37.789975",2008-01-03 17:29:03,2025-06-01 02:18:08
8000897,0,80008970,216 Ewing Tr.,2008-01-03,80030167,2008-01-03 11:00:45,2008-01-03 11:06:01,2008-01-03 11:23:35,San Francisco,94115,B05,10,3426.0,1,3,0,0,0,0,E10,50.0,50.0,0,0,0,0,1,554  -  Assist invalid,,71  -  Assist physically disabled,86  -  Investigate,86  -  Investigate,1  -  Detector alerted occupants,"400  -  Residential, other","24  -  Cooking area, kitchen",2  -  Unintentional,53  -  Equipment unattended,12  -  Heat source too close to combustibles,"10  -  Heat from powered equipment, other","76  -  Cooking materials, inc. Edible materi",N  -  None,1  - Enclosed building,2  - In normal use,1.0,"76  - Cooking materials, inc. Edible materia",1,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded",,N  - None Present,,,,0.0,1.0,Lone Mountain/USF,"-122.4487367, 37.77951307",2008-01-03 11:46:25,2025-06-01 02:18:08
8000899,0,80008990,Divisadero Street / Hayes Street,2008-01-03,80030169,2008-01-03 11:04:21,2008-01-03 11:09:13,2008-01-03 11:19:40,San Francisco,94115,B05,21,3426.0,1,4,0,0,0,0,E05,50.0,50.0,0,0,0,0,1,323  -  Auto/Ped. Accident (Veh.),,32  -  Provide basic life support (BLS),86  -  Investigate,86  -  Investigate,1  -  Detector alerted occupants,"962  -  Residential street, road or residential dr","24  -  Cooking area, kitchen",2  -  Unintentional,53  -  Equipment unattended,12  -  Heat source too close to combustibles,"10  -  Heat from powered equipment, other","76  -  Cooking materials, inc. Edible materi",N  -  None,1  - Enclosed building,2  - In normal use,1.0,"76  - Cooking materials, inc. Edible materia",1,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded",,N  - None Present,,,,0.0,5.0,Hayes Valley,"-122.437799, 37.774991",2008-01-03 11:41:42,2025-06-01 02:18:08
