geolocation,industry_description,number_of_establishments_2019,total_employment_at_2019,paid_employees_at_2019,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2019,total_revenue_2019,total_expense_2019,compensation_2019,other_expense_2019,value_added_2019,gross_additions_to_tangible_fixed_assets_2019,change_in_inventories_2019,sales_from_e-commerce_2019,subsidies_2019
Philippines,Other Service Activities,10049,82708,80220,0,49486670,43393546,10298357,33095189,19934244,2345614,-87587,0,0
Philippines,Repair of computers and communications equipment,221,1585,1553,0,1341991,1206669,241647,965023,428514,9084,-9118,0,0
Philippines,Repair of personal and household goods,994,10581,10427,0,8044942,7270807,1677117,5593690,2744954,46630,43133,0,0
Philippines,"Personal services for wellness, except sports activities",5745,53124,51443,0,29704739,26070827,6179532,19891295,11916289,792179,-35283,0,0
Philippines,Laundry services,1892,9037,8881,0,4797094,4195918,1223119,2972800,2123676,367105,-5400,0,0
Philippines,Funeral and related activities,1142,8042,7595,0,5351028,4461081,920304,3540777,2596961,1130048,-83716,0,0
Philippines,"Other personal service activities, n.e.c.",54,340,320,0,246877,188243,56639,131605,123850,568,2797,0,0
National Capital Region,Other Service Activities,3674,36141,35459,0,22124664,19425597,4985677,14439920,9208369,944974,-121057,0,0
National Capital Region,Repair of computers and communications equipment,61,870,870,0,595985,545925,161866,384058,236478,3537,-12082,0,0
National Capital Region,Repair of personal and household goods,425,4022,4022,0,2611554,2355399,610507,1744891,1005700,6880,-82048,0,0
National Capital Region,"Personal services for wellness, except sports activities",2194,25383,24840,0,15222866,13291530,3430825,9860705,6508183,609454,-36668,0,0
National Capital Region,Laundry services,862,4628,4594,0,3059869,2699119,659266,2039853,1168993,322738,7144,0,0
National Capital Region,Funeral and related activities,105,1104,999,0,469178,406199,91377,314822,214076,2366,370,0,0
National Capital Region,"Other personal service activities, n.e.c.",27,133,133,0,165213,127426,31835,95590,74940,0,2228,0,0
Cordillera Administrative Region,Other Service Activities,184,1098,997,0,491140,436739,87688,349051,177933,2865,-1892,0,0
Cordillera Administrative Region,Repair of computers and communications equipment,5,22,21,0,10132,8173,2019,6155,4329,185,-119,0,0
