geolocation,industry_description,number_of_establishments_2019,total_employment_at_2019,paid_employees_at_2019,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2019,total_revenue_2019,total_expense_2019,compensation_2019,other_expense_2019,value_added_2019,gross_additions_to_tangible_fixed_assets_2019,change_in_inventories_2019,sales_from_e-commerce_transactions_2019,subsidies_2019
Zamboanga Peninsula,Beverage serving activities,40,887,873,0,132025,122124,37344,84780,51175,0,232,0,0
Northern Mindanao,Accommodation and Food Service Activities,1399,27040,26373,1089,24806138,19508771,3661667,15847104,10588458,1012965,47599,16512,0
Northern Mindanao,Short term accommodation activities,190,5782,5464,32,2368297,2251461,552672,1698789,870826,787936,6747,0,0
Northern Mindanao,Other accommodation,16,492,458,19,286181,268351,70190,198161,135432,10687,36,0,0
Northern Mindanao,Restaurants and mobile food service activities,1061,18514,18289,1038,20579753,15580110,2750150,12829960,8978477,205770,17773,16512,0
Northern Mindanao,Event catering and other food service activities,38,621,621,0,655957,632240,100886,531354,185165,8571,4984,0,0
Northern Mindanao,Beverage serving activities,93,1630,1540,0,915951,776609,187769,588840,418558,0,18059,0,0
Davao Region,Accommodation and Food Service Activities,2025,27558,26589,4483,24319120,20123198,4316187,15807011,10734624,4399946,99727,129549,0
Davao Region,Short term accommodation activities,278,7559,7407,3910,5145124,4359889,997256,3362633,2635329,182393,4238,129549,0
Davao Region,Other accommodation,35,355,313,0,316093,268013,49136,218878,125674,0,-801,0,0
Davao Region,Restaurants and mobile food service activities,1552,17530,16975,495,17481246,14312379,3068224,11244155,7414913,1673661,121421,0,0
Davao Region,Event catering and other food service activities,38,508,508,42,299569,158974,74272,84702,227839,4865,656,0,0
Davao Region,Beverage serving activities,122,1605,1386,36,1077089,1023943,127299,896644,330869,2539028,-25787,0,0
Soccsksargen,Accommodation and Food Service Activities,1128,19236,18979,3619,14933216,13822767,2198399,11624368,4114358,127930,144421,25000,0
Soccsksargen,Short term accommodation activities,195,5269,5250,183,3276413,2843436,609043,2234394,1288471,26712,143025,25000,0
Soccsksargen,Other accommodation,15,44,37,7,12190,9083,3673,5410,7671,0,4,0,0
Soccsksargen,Restaurants and mobile food service activities,834,12644,12488,3412,11112906,10516172,1480178,9035995,2613537,89280,2805,0,0
Soccsksargen,Event catering and other food service activities,43,847,794,18,221260,159549,69436,90112,137120,8500,444,0,0
Soccsksargen,Beverage serving activities,40,432,410,0,310448,294527,36070,258457,67559,3438,-1858,0,0
Caraga,Accommodation and Food Service Activities,493,8717,8246,2819,12806281,10821861,1047555,9774306,3700453,232520,13717,0,0
Caraga,Short term accommodation activities,115,2679,2679,0,2242351,2012104,375867,1636237,728432,99408,4885,0,0
Caraga,Other accommodation,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Restaurants and mobile food service activities,336,5455,5019,2499,9983155,8293968,607434,7686533,2772766,133112,6266,0,0
Caraga,Event catering and other food service activities,21,304,293,0,82764,46798,20364,26433,62232,0,-549,0,0
Caraga,Beverage serving activities,22,280,256,320,498010,468992,43890,425103,137023,0,3115,0,0
Autonomous Region in Muslim Mindanao,Accommodation and Food Service Activities,78,1252,732,0,131089,96876,40110,56766,77055,180,-2059,0,0
Autonomous Region in Muslim Mindanao,Short term accommodation activities,10,122,114,0,59902,38261,12366,25895,34817,0,771,0,0
Autonomous Region in Muslim Mindanao,Other accommodation,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Restaurants and mobile food service activities,50,975,495,0,42594,34508,19920,14588,27921,0,-2384,0,0
Autonomous Region in Muslim Mindanao,Event catering and other food service activities,3,56,52,0,17670,16397,5158,11239,8072,0,0,0,0
Autonomous Region in Muslim Mindanao,Beverage serving activities,15,100,70,0,10922,7710,2666,5044,6244,180,-445,0,0
