geolocation,industry_description,number_of_establishments_2019,total_employment_at_2019,paid_employees_at_2019,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2019,total_revenue_2019,total_expense_2019,compensation_2019,other_expense_2019,value_added_2019,gross_additions_to_tangible_fixed_assets_2019,change_in_inventories_2019,sales_from_e-commerce_transactions_2019,subsidies_2019
Cordillera Administrative Region,Combined facilities support activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,Cleaning activities,7,329,329,0,107815,93759,16282,77478,41259,0,876,0,0
Cordillera Administrative Region,Landscape care and maintenance service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,Office administrative and support activities,10,43,41,0,13131,8700,2920,5780,9542,0,-1706,0,0
Cordillera Administrative Region,Call centers and other related activities,16,10258,10256,0,8558740,8181973,5599125,2582848,6444281,86557,6,15768,0
Cordillera Administrative Region,Organization of conventions and trade shows,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,"Business support service activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Administrative and Support Service Activities,107,7666,7633,435,1324122,1163595,909714,253881,1094452,28351,24867,0,0
Ilocos Region,Renting and leasing of motor vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Renting and leasing of personal and household goods,5,16,5,0,1831,1485,347,1138,1146,555,-121,0,0
Ilocos Region,"Renting and leasing of other machinery, equipment and tangible goods, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,"Leasing of intellectual property and  similar products, except copyrighted works",0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Activities of employment placement agencies,20,271,271,0,51550,48721,31149,17572,34047,0,1,0,0
Ilocos Region,Temporary employment agency activities,9,1993,1993,0,411377,356296,331683,24613,394240,0,61,0,0
Ilocos Region,Other human resources provision,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Travel agency and tour operator activities,10,32,28,0,10799,14209,2539,11671,5431,0,0,0,0
Ilocos Region,Other reservation service and related activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Private security activities,15,4056,4053,423,507791,435731,388933,46798,472371,5340,35,0,0
Ilocos Region,Security systems service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
