by_month_incident_date,incident_category,analysis_neighborhood,count,point
2019-10-01T00:00:00.000,Robbery,Haight Ashbury,1,POINT (-122.44035770593106 37.770847433967646)
2019-08-01T00:00:00.000,Suspicious Occ,South of Market,1,POINT (-122.40928340438033 37.77965775127483)
2022-04-01T00:00:00.000,Recovered Vehicle,Bayview Hunters Point,1,POINT (-122.37895131354931 37.72530441408205)
2025-01-01T00:00:00.000,Lost Property,Presidio Heights,1,POINT (-122.44279479980469 37.78288650512695)
2020-08-01T00:00:00.000,Miscellaneous Investigation,Hayes Valley,1,POINT (-122.42076110839844 37.774295806884766)
2019-01-01T00:00:00.000,Drug Offense,South of Market,1,POINT (-122.41251373291016 37.780479431152344)
2022-09-01T00:00:00.000,Burglary,Outer Mission,1,POINT (-122.44306945800781 37.7249870300293)
2023-06-01T00:00:00.000,Larceny Theft,Lakeshore,20,POINT (-122.47603947349434 37.72694991292525)
2019-05-01T00:00:00.000,Assault,Tenderloin,1,POINT (-122.41468048095703 37.78175735473633)
2021-04-01T00:00:00.000,Offences Against The Family And Children,Nob Hill,1,POINT (-122.41738891601562 37.79097366333008)
2022-11-01T00:00:00.000,Burglary,South of Market,1,POINT (-122.40337371826172 37.77671432495117)
2022-10-01T00:00:00.000,Larceny Theft,Outer Richmond,1,POINT (-122.50682067871094 37.773406982421875)
2023-01-01T00:00:00.000,Malicious Mischief,Western Addition,1,POINT (-122.42097473144531 37.78335189819336)
2022-11-01T00:00:00.000,Fraud,Lone Mountain/USF,1,POINT (-122.44477844238281 37.77601623535156)
2020-10-01T00:00:00.000,Assault,North Beach,1,POINT (-122.410497554147 37.80696290988273)
2021-03-01T00:00:00.000,Non-Criminal,Hayes Valley,1,POINT (-122.42114842518583 37.77615876396203)
2019-08-01T00:00:00.000,Drug Offense,Twin Peaks,1,POINT (-122.44502166556514 37.748369271646446)
2024-12-01T00:00:00.000,Miscellaneous Investigation,Nob Hill,1,POINT (-122.41664123535156 37.78724670410156)
2023-07-01T00:00:00.000,Fraud,Financial District/South Beach,1,POINT (-122.40302819424984 37.78702441743788)
2020-06-01T00:00:00.000,Motor Vehicle Theft,Nob Hill,1,POINT (-122.41082000732422 37.79183578491211)
2021-11-01T00:00:00.000,Other Miscellaneous,Mission Bay,1,POINT (-122.39183807373047 37.77812576293945)
2021-03-01T00:00:00.000,Burglary,Mission,1,POINT (-122.42252634633256 37.77159510239282)
2022-10-01T00:00:00.000,Larceny Theft,Bayview Hunters Point,1,POINT (-122.38986446334408 37.73716953069777)
2023-02-01T00:00:00.000,Burglary,Sunset/Parkside,1,POINT (-122.48985290527344 37.76113510131836)
2018-09-01T00:00:00.000,Non-Criminal,Bayview Hunters Point,1,POINT (-122.404541015625 37.734344482421875)
2025-01-01T00:00:00.000,Fraud,Outer Mission,4,POINT (-122.44580841064453 37.717079162597656)
2025-03-01T00:00:00.000,Burglary,Tenderloin,1,POINT (-122.4144287109375 37.7846565246582)
2018-06-01T00:00:00.000,Sex Offense,Haight Ashbury,1,POINT (-122.44331359863281 37.770469665527344)
2023-08-01T00:00:00.000,Larceny Theft,Japantown,11,POINT (-122.42978259351794 37.78556384617361)
2022-09-01T00:00:00.000,Larceny Theft,Sunset/Parkside,1,POINT (-122.49553217235606 37.734707959315564)
2021-05-01T00:00:00.000,Lost Property,Bayview Hunters Point,1,POINT (-122.39424349422065 37.72547564939949)
2023-02-01T00:00:00.000,Warrant,Outer Mission,1,POINT (-122.43770599365234 37.729270935058594)
2022-08-01T00:00:00.000,Offences Against The Family And Children,Excelsior,1,POINT (-122.4300765991211 37.726661682128906)
2023-10-01T00:00:00.000,Other Miscellaneous,Mission,1,POINT (-122.41764545364202 37.766805241337174)
2023-05-01T00:00:00.000,Non-Criminal,Excelsior,1,POINT (-122.44837696320947 37.710372707144174)
2021-10-01T00:00:00.000,Other Offenses,Marina,1,POINT (-122.43379794514195 37.80504328668041)
2023-04-01T00:00:00.000,Assault,Marina,1,POINT (-122.44050598144531 37.8012809753418)
2022-07-01T00:00:00.000,Other Miscellaneous,Mission,1,POINT (-122.41264343261719 37.76032257080078)
2018-01-01T00:00:00.000,Larceny Theft,Financial District/South Beach,2,POINT (-122.40206909179688 37.78872299194336)
2021-09-01T00:00:00.000,Motor Vehicle Theft,South of Market,1,POINT (-122.40493334783943 37.781499507548546)
2021-03-01T00:00:00.000,Missing Person,Bayview Hunters Point,1,POINT (-122.4004267387654 37.74219719880206)
2018-05-01T00:00:00.000,Other Offenses,Tenderloin,1,POINT (-122.41752877437465 37.78331088878137)
2023-08-01T00:00:00.000,Burglary,Noe Valley,1,POINT (-122.4265941581875 37.74289733641199)
2018-01-01T00:00:00.000,Larceny Theft,Sunset/Parkside,3,POINT (-122.49715997096197 37.72976975410381)
2022-07-01T00:00:00.000,Burglary,South of Market,1,POINT (-122.41657567021807 37.77390625135662)
2019-07-01T00:00:00.000,Drug Offense,South of Market,2,POINT (-122.40991973876953 37.77755355834961)
2018-07-01T00:00:00.000,Malicious Mischief,Potrero Hill,1,POINT (-122.40183250825523 37.75712085039765)
2023-09-01T00:00:00.000,Larceny Theft,Mission Bay,2,POINT (-122.39294450404223 37.771797143988884)
2021-09-01T00:00:00.000,Burglary,Outer Richmond,1,POINT (-122.48566740357278 37.77811724721392)
2018-03-01T00:00:00.000,Larceny Theft,Tenderloin,1,POINT (-122.41233825683594 37.786834716796875)
2021-11-01T00:00:00.000,Suspicious Occ,South of Market,1,POINT (-122.41358947753906 37.774662017822266)
2025-03-01T00:00:00.000,Larceny Theft,South of Market,6,POINT (-122.40363311767578 37.77516174316406)
2020-11-01T00:00:00.000,Other Offenses,Bayview Hunters Point,1,POINT (-122.39717864990234 37.72990798950195)
2023-05-01T00:00:00.000,Non-Criminal,Chinatown,2,POINT (-122.40901437837884 37.79948981870344)
2019-04-01T00:00:00.000,Missing Person,Golden Gate Park,1,POINT (-122.45335228997452 37.768246024114525)
2018-12-01T00:00:00.000,Offences Against The Family And Children,Sunset/Parkside,1,POINT (-122.49362182617188 37.75348663330078)
2020-04-01T00:00:00.000,Other Miscellaneous,Pacific Heights,3,POINT (-122.43345642089844 37.78702163696289)
2018-01-01T00:00:00.000,Larceny Theft,Marina,3,POINT (-122.43769836425781 37.79963302612305)
2019-01-01T00:00:00.000,Larceny Theft,North Beach,6,POINT (-122.40889733794425 37.807163251424285)
2020-05-01T00:00:00.000,Other Miscellaneous,Western Addition,1,POINT (-122.42429481397211 37.78339985751909)
2023-07-01T00:00:00.000,Lost Property,Russian Hill,1,POINT (-122.42365507596732 37.80528698382421)
2018-06-01T00:00:00.000,Larceny Theft,Inner Sunset,1,POINT (-122.4527587890625 37.76544189453125)
2024-01-01T00:00:00.000,Fraud,Sunset/Parkside,1,POINT (-122.48274993896484 37.73239517211914)
2023-08-01T00:00:00.000,Assault,Tenderloin,1,POINT (-122.4119873046875 37.78095245361328)
2019-08-01T00:00:00.000,Assault,Tenderloin,1,POINT (-122.41297149658203 37.785789489746094)
2020-11-01T00:00:00.000,Larceny Theft,Sunset/Parkside,1,POINT (-122.48677042665534 37.7631368661806)
2019-11-01T00:00:00.000,Offences Against The Family And Children,Tenderloin,1,POINT (-122.4169829963755 37.78242041771279)
2021-09-01T00:00:00.000,Malicious Mischief,Nob Hill,1,POINT (-122.4188426535863 37.78982993383692)
2023-05-01T00:00:00.000,Drug Offense,Bernal Heights,1,POINT (-122.42167663574219 37.742820739746094)
2019-03-01T00:00:00.000,Miscellaneous Investigation,Nob Hill,1,POINT (-122.42176818847656 37.78705978393555)
2020-06-01T00:00:00.000,Larceny Theft,Castro/Upper Market,1,POINT (-122.42755889892578 37.76457595825195)
2019-03-01T00:00:00.000,Larceny Theft,Financial District/South Beach,6,POINT (-122.3900146484375 37.790828704833984)
2020-10-01T00:00:00.000,Larceny Theft,Haight Ashbury,1,POINT (-122.4449267385573 37.76549215364454)
2021-07-01T00:00:00.000,Miscellaneous Investigation,Pacific Heights,1,POINT (-122.43109199591473 37.7920084579946)
2022-01-01T00:00:00.000,Malicious Mischief,Tenderloin,3,POINT (-122.41632843017578 37.78572463989258)
2021-09-01T00:00:00.000,Other Miscellaneous,Financial District/South Beach,1,POINT (-122.39097101886335 37.79006979947905)
2019-10-01T00:00:00.000,Larceny Theft,Sunset/Parkside,1,POINT (-122.50125122070312 37.755001068115234)
2023-10-01T00:00:00.000,Motor Vehicle Theft,Sunset/Parkside,1,POINT (-122.50446314579118 37.7548786634233)
2021-11-01T00:00:00.000,Other Miscellaneous,North Beach,1,POINT (-122.41561889648438 37.80727767944336)
2023-11-01T00:00:00.000,Larceny Theft,Western Addition,1,POINT (-122.43359375 37.779354095458984)
2018-01-01T00:00:00.000,Larceny Theft,Tenderloin,1,POINT (-122.4169921875 37.787200927734375)
2020-10-01T00:00:00.000,Suspicious Occ,Tenderloin,1,POINT (-122.41348740024354 37.77999173926721)
2022-06-01T00:00:00.000,Fraud,Western Addition,2,POINT (-122.43415832519531 37.78215026855469)
2020-03-01T00:00:00.000,Missing Person,Inner Richmond,1,POINT (-122.46414497098554 37.779090726308574)
2025-04-01T00:00:00.000,Recovered Vehicle,Pacific Heights,1,POINT (-122.42686462402344 37.78786087036133)
2020-03-01T00:00:00.000,Non-Criminal,Financial District/South Beach,1,POINT (-122.40785252141461 37.785491559268934)
2024-07-01T00:00:00.000,Assault,Financial District/South Beach,2,POINT (-122.3922119140625 37.77927780151367)
2025-03-01T00:00:00.000,Other,Tenderloin,1,POINT (-122.41405487060547 37.78279495239258)
2018-02-01T00:00:00.000,Burglary,West of Twin Peaks,1,POINT (-122.47320302474152 37.73166927279317)
2021-05-01T00:00:00.000,Assault,Financial District/South Beach,1,POINT (-122.40796661376953 37.79026412963867)
2019-11-01T00:00:00.000,Larceny Theft,Oceanview/Merced/Ingleside,1,POINT (-122.46263331330272 37.71742120706379)
2020-01-01T00:00:00.000,Other Offenses,Bayview Hunters Point,1,POINT (-122.38897780416126 37.7160869851702)
2019-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.44660949707031 37.801788330078125)
2021-07-01T00:00:00.000,Non-Criminal,Chinatown,5,POINT (-122.40987875494628 37.7984422945084)
2023-08-01T00:00:00.000,Larceny Theft,North Beach,1,POINT (-122.40802764892578 37.80286407470703)
2019-12-01T00:00:00.000,Robbery,Chinatown,1,POINT (-122.40514373779297 37.79621124267578)
2023-03-01T00:00:00.000,Larceny Theft,Castro/Upper Market,1,POINT (-122.42804718017578 37.758087158203125)
2018-10-01T00:00:00.000,Missing Person,Nob Hill,1,POINT (-122.42176055908203 37.78754806518555)
2018-02-01T00:00:00.000,Larceny Theft,Twin Peaks,1,POINT (-122.4448472268511 37.74694537191701)
2018-04-01T00:00:00.000,Larceny Theft,Russian Hill,3,POINT (-122.41961669921875 37.80199432373047)
2024-07-01T00:00:00.000,Robbery,Tenderloin,1,POINT (-122.41714477539062 37.78144836425781)
2022-08-01T00:00:00.000,Motor Vehicle Theft,Excelsior,1,POINT (-122.42037124081826 37.72591079193979)
2023-07-01T00:00:00.000,Larceny Theft,South of Market,1,POINT (-122.3998031616211 37.781497955322266)
2022-07-01T00:00:00.000,Non-Criminal,Bayview Hunters Point,1,POINT (-122.38829040527344 37.73060607910156)
2024-01-01T00:00:00.000,Weapons Offense,Visitacion Valley,1,POINT (-122.41249676853343 37.70802018416812)
2019-09-01T00:00:00.000,Lost Property,Financial District/South Beach,2,POINT (-122.4004684855585 37.78503028396464)
2019-01-01T00:00:00.000,Motor Vehicle Theft,Presidio Heights,1,POINT (-122.44298910619567 37.783897366524386)
2021-10-01T00:00:00.000,Motor Vehicle Theft,Russian Hill,1,POINT (-122.42289378669996 37.80060119948848)
2020-05-01T00:00:00.000,Malicious Mischief,Bernal Heights,1,POINT (-122.42504699558478 37.73212994702763)
2019-06-01T00:00:00.000,Robbery,Mission,1,POINT (-122.41142437143391 37.75748490120071)
2023-11-01T00:00:00.000,Missing Person,Sunset/Parkside,1,POINT (-122.4811782836914 37.74468231201172)
2018-05-01T00:00:00.000,Larceny Theft,Tenderloin,2,POINT (-122.41613809985034 37.780614965813264)
2024-11-01T00:00:00.000,Malicious Mischief,Financial District/South Beach,1,POINT (-122.39551544189453 37.781063079833984)
2022-11-01T00:00:00.000,Malicious Mischief,Inner Sunset,2,POINT (-122.46316737008303 37.76511423890043)
2019-01-01T00:00:00.000,Malicious Mischief,Bayview Hunters Point,1,POINT (-122.40583815976386 37.74239176061754)
2023-09-01T00:00:00.000,Motor Vehicle Theft,Visitacion Valley,2,POINT (-122.41600028103292 37.71191455546749)
2019-12-01T00:00:00.000,Fraud,South of Market,1,POINT (-122.41342163085938 37.772342681884766)
2024-05-01T00:00:00.000,Motor Vehicle Theft,Financial District/South Beach,1,POINT (-122.38877868652344 37.78689956665039)
2018-10-01T00:00:00.000,Burglary,West of Twin Peaks,1,POINT (-122.43623835832562 37.73238238667054)
2022-05-01T00:00:00.000,Malicious Mischief,Western Addition,1,POINT (-122.4354248046875 37.78007888793945)
2024-12-01T00:00:00.000,Missing Person,Mission,2,POINT (-122.40670013427734 37.756832122802734)
2018-12-01T00:00:00.000,Suspicious Occ,Bayview Hunters Point,1,POINT (-122.397216796875 37.72688674926758)
2024-05-01T00:00:00.000,Malicious Mischief,North Beach,1,POINT (-122.4154281616211 37.80634307861328)
2023-07-01T00:00:00.000,Drug Offense,South of Market,23,POINT (-122.41093657493794 37.77921168445851)
2024-05-01T00:00:00.000,Non-Criminal,Mission,1,POINT (-122.42144012451172 37.772640228271484)
2020-04-01T00:00:00.000,Fraud,Oceanview/Merced/Ingleside,1,POINT (-122.470703125 37.715213775634766)
2020-07-01T00:00:00.000,Malicious Mischief,Outer Richmond,1,POINT (-122.50374603271484 37.775421142578125)
2020-11-01T00:00:00.000,Other Miscellaneous,Haight Ashbury,1,POINT (-122.45167593788523 37.7684455246981)
2022-12-01T00:00:00.000,Larceny Theft,Twin Peaks,1,POINT (-122.45466613769531 37.7461051940918)
2023-05-01T00:00:00.000,Non-Criminal,Mission,1,POINT (-122.42066192626953 37.76014709472656)
2022-04-01T00:00:00.000,Burglary,Russian Hill,1,POINT (-122.42233695100904 37.79876157820869)
2025-01-01T00:00:00.000,Non-Criminal,Chinatown,1,POINT (-122.40861511230469 37.79762649536133)
2020-10-01T00:00:00.000,Courtesy Report,South of Market,1,POINT (-122.40924544400873 37.781398133437946)
2022-11-01T00:00:00.000,Assault,Tenderloin,1,POINT (-122.41569519042969 37.78258514404297)
2024-08-01T00:00:00.000,Assault,Bayview Hunters Point,1,POINT (-122.39897155761719 37.73016357421875)
2023-05-01T00:00:00.000,Miscellaneous Investigation,Mission,1,POINT (-122.41750590202805 37.75390205124772)
2021-02-01T00:00:00.000,Larceny Theft,Russian Hill,1,POINT (-122.41247137886756 37.80003239802266)
2018-10-01T00:00:00.000,Larceny Theft,Bernal Heights,1,POINT (-122.42099140358678 37.73653551948741)
2022-11-01T00:00:00.000,Burglary,Potrero Hill,1,POINT (-122.38924822480189 37.757883662734024)
2023-04-01T00:00:00.000,Drug Offense,South of Market,7,POINT (-122.41193341005338 37.780005867994824)
2020-05-01T00:00:00.000,Malicious Mischief,Inner Sunset,1,POINT (-122.46417202379678 37.76413086896357)
2019-07-01T00:00:00.000,Recovered Vehicle,Castro/Upper Market,1,POINT (-122.43103790283203 37.765995025634766)
2018-01-01T00:00:00.000,Other Miscellaneous,Sunset/Parkside,1,POINT (-122.48651164148085 37.75940653218141)
2023-01-01T00:00:00.000,Larceny Theft,Financial District/South Beach,1,POINT (-122.40732292998459 37.79129813497031)
2024-03-01T00:00:00.000,Motor Vehicle Theft,Outer Richmond,2,POINT (-122.47737121582031 37.7823600769043)
2021-04-01T00:00:00.000,Non-Criminal,Marina,1,POINT (-122.43788945697766 37.80060874463821)
2019-07-01T00:00:00.000,Larceny Theft,South of Market,1,POINT (-122.40602111816406 37.7830924987793)
2021-01-01T00:00:00.000,Larceny Theft,Sunset/Parkside,1,POINT (-122.48118121642418 37.744681182378415)
2023-06-01T00:00:00.000,Burglary,West of Twin Peaks,1,POINT (-122.46330261230469 37.7379264831543)
2018-02-01T00:00:00.000,Drug Offense,Excelsior,1,POINT (-122.44025513581519 37.716038818883085)
2022-10-01T00:00:00.000,Recovered Vehicle,Excelsior,1,POINT (-122.42997741699219 37.71814727783203)
2023-06-01T00:00:00.000,Other Miscellaneous,Lone Mountain/USF,1,POINT (-122.44446660053207 37.77945871942826)
2022-08-01T00:00:00.000,Weapons Offense,Financial District/South Beach,1,POINT (-122.39385986328125 37.79377365112305)
2021-09-01T00:00:00.000,Larceny Theft,West of Twin Peaks,1,POINT (-122.44429779052734 37.73151779174805)
2018-01-01T00:00:00.000,Malicious Mischief,Excelsior,1,POINT (-122.4300261514751 37.722397870557415)
