by_month_incident_date,incident_category,analysis_neighborhood,count,point
2020-04-01T00:00:00.000,Larceny Theft,Inner Richmond,1,POINT (-122.46949470076126 37.778849093044656)
2020-04-01T00:00:00.000,Larceny Theft,Inner Richmond,1,POINT (-122.47029876708984 37.77507781982422)
2020-04-01T00:00:00.000,Larceny Theft,Inner Richmond,1,POINT (-122.4649429321289 37.77532196044922)
2020-04-01T00:00:00.000,Larceny Theft,Inner Richmond,1,POINT (-122.46494209192046 37.77532094545078)
2020-04-01T00:00:00.000,Larceny Theft,Inner Richmond,1,POINT (-122.46173095703125 37.77546691894531)
2020-04-01T00:00:00.000,Larceny Theft,Inner Richmond,1,POINT (-122.46401060251718 37.77723477802328)
2020-04-01T00:00:00.000,Larceny Theft,Inner Richmond,1,POINT (-122.46842956542969 37.77889633178711)
2020-04-01T00:00:00.000,Larceny Theft,Inner Richmond,1,POINT (-122.46307618146837 37.779138611039535)
2020-04-01T00:00:00.000,Larceny Theft,Inner Richmond,1,POINT (-122.46414184570312 37.779090881347656)
2020-04-01T00:00:00.000,Larceny Theft,Inner Richmond,1,POINT (-122.45986037452863 37.77928262880662)
2020-04-01T00:00:00.000,Larceny Theft,Inner Richmond,1,POINT (-122.45999908447266 37.781211853027344)
2020-04-01T00:00:00.000,Larceny Theft,Inner Richmond,1,POINT (-122.46040344238281 37.786865234375)
2020-04-01T00:00:00.000,Larceny Theft,Inner Richmond,1,POINT (-122.45899963378906 37.78318786621094)
2020-04-01T00:00:00.000,Larceny Theft,Inner Richmond,1,POINT (-122.46656036376953 37.7828483581543)
2020-04-01T00:00:00.000,Larceny Theft,Inner Richmond,1,POINT (-122.46870422363281 37.78274917602539)
2020-04-01T00:00:00.000,Larceny Theft,Inner Richmond,1,POINT (-122.4678955078125 37.78653335571289)
2020-04-01T00:00:00.000,Larceny Theft,Inner Richmond,1,POINT (-122.46136866552524 37.78540313360881)
2020-04-01T00:00:00.000,Larceny Theft,Inner Richmond,1,POINT (-122.46361541748047 37.786720275878906)
2020-04-01T00:00:00.000,Larceny Theft,Inner Sunset,1,POINT (-122.4673775156677 37.74902807928449)
2020-04-01T00:00:00.000,Larceny Theft,Inner Sunset,2,POINT (-122.47501373291016 37.74869155883789)
2020-04-01T00:00:00.000,Larceny Theft,Inner Sunset,1,POINT (-122.475016947949 37.74869229492989)
2020-04-01T00:00:00.000,Larceny Theft,Inner Sunset,1,POINT (-122.47187805175781 37.750701904296875)
2020-04-01T00:00:00.000,Larceny Theft,Inner Sunset,1,POINT (-122.47212219238281 37.754390716552734)
2020-04-01T00:00:00.000,Larceny Theft,Inner Sunset,1,POINT (-122.47212431738326 37.754388831155254)
2020-04-01T00:00:00.000,Larceny Theft,Inner Sunset,1,POINT (-122.47369776869175 37.75810032335121)
2020-04-01T00:00:00.000,Larceny Theft,Inner Sunset,1,POINT (-122.47166442871094 37.76380157470703)
2020-04-01T00:00:00.000,Larceny Theft,Inner Sunset,1,POINT (-122.44634246826172 37.76041030883789)
2020-04-01T00:00:00.000,Larceny Theft,Inner Sunset,1,POINT (-122.45440402369178 37.7652329257751)
2020-04-01T00:00:00.000,Larceny Theft,Inner Sunset,1,POINT (-122.4567590086166 37.764932460539306)
2020-04-01T00:00:00.000,Larceny Theft,Inner Sunset,1,POINT (-122.45494842529297 37.763179779052734)
2020-04-01T00:00:00.000,Larceny Theft,Inner Sunset,1,POINT (-122.45494608222147 37.76317870043202)
2020-04-01T00:00:00.000,Larceny Theft,Inner Sunset,1,POINT (-122.45771818958592 37.76481006765861)
2020-04-01T00:00:00.000,Larceny Theft,Inner Sunset,1,POINT (-122.46511840820312 37.76222229003906)
2020-04-01T00:00:00.000,Larceny Theft,Inner Sunset,1,POINT (-122.46297200199032 37.76231576837908)
2020-04-01T00:00:00.000,Larceny Theft,Inner Sunset,1,POINT (-122.46819305419922 37.760215759277344)
2020-04-01T00:00:00.000,Larceny Theft,Inner Sunset,1,POINT (-122.46498105549051 37.76035845968295)
2020-04-01T00:00:00.000,Larceny Theft,Inner Sunset,1,POINT (-122.4659199870716 37.75844459294221)
2020-04-01T00:00:00.000,Larceny Theft,Inner Sunset,1,POINT (-122.46322631835938 37.75856399536133)
2020-04-01T00:00:00.000,Larceny Theft,Inner Sunset,1,POINT (-122.46378326416016 37.75853729248047)
2020-04-01T00:00:00.000,Larceny Theft,Inner Sunset,1,POINT (-122.45956420898438 37.75593185424805)
2020-04-01T00:00:00.000,Larceny Theft,Inner Sunset,1,POINT (-122.46793164038708 37.756486203842776)
2020-04-01T00:00:00.000,Larceny Theft,Inner Sunset,1,POINT (-122.46704883433065 37.751203845121296)
2020-04-01T00:00:00.000,Larceny Theft,Inner Sunset,1,POINT (-122.45775604248047 37.75362777709961)
2020-04-01T00:00:00.000,Larceny Theft,Japantown,1,POINT (-122.43637084960938 37.78473663330078)
2020-04-01T00:00:00.000,Larceny Theft,Japantown,1,POINT (-122.43473052978516 37.784942626953125)
2020-04-01T00:00:00.000,Larceny Theft,Japantown,1,POINT (-122.4347299934904 37.784944005025956)
2020-04-01T00:00:00.000,Larceny Theft,Japantown,1,POINT (-122.43120574951172 37.784568786621094)
2020-04-01T00:00:00.000,Larceny Theft,Japantown,1,POINT (-122.42824149689217 37.786246576578144)
2020-04-01T00:00:00.000,Larceny Theft,Japantown,1,POINT (-122.42666625976562 37.78692626953125)
2020-04-01T00:00:00.000,Larceny Theft,Japantown,1,POINT (-122.42485842366148 37.78619642719614)
2020-04-01T00:00:00.000,Larceny Theft,Japantown,1,POINT (-122.43154907226562 37.78630447387695)
2020-04-01T00:00:00.000,Larceny Theft,Japantown,1,POINT (-122.42978259351794 37.78556384617361)
2020-04-01T00:00:00.000,Larceny Theft,Japantown,1,POINT (-122.43655729799448 37.78566778316536)
2020-04-01T00:00:00.000,Larceny Theft,Japantown,1,POINT (-122.44134521484375 37.78410720825195)
2020-04-01T00:00:00.000,Larceny Theft,Japantown,1,POINT (-122.43948364257812 37.78330993652344)
2020-04-01T00:00:00.000,Larceny Theft,Japantown,1,POINT (-122.43948038238113 37.78330848665904)
2020-04-01T00:00:00.000,Larceny Theft,Lakeshore,3,POINT (-122.5002212524414 37.718955993652344)
2020-04-01T00:00:00.000,Larceny Theft,Lakeshore,1,POINT (-122.4983570184546 37.71369412498646)
2020-04-01T00:00:00.000,Larceny Theft,Lakeshore,1,POINT (-122.48320770263672 37.71758270263672)
2020-04-01T00:00:00.000,Larceny Theft,Lakeshore,1,POINT (-122.48154283574766 37.71753059977352)
2020-04-01T00:00:00.000,Larceny Theft,Lakeshore,1,POINT (-122.47732977808556 37.718290142433545)
2020-04-01T00:00:00.000,Larceny Theft,Lakeshore,1,POINT (-122.47731018066406 37.717628479003906)
2020-04-01T00:00:00.000,Larceny Theft,Lakeshore,1,POINT (-122.4791854866057 37.716375222088374)
2020-04-01T00:00:00.000,Larceny Theft,Lakeshore,3,POINT (-122.47299095912123 37.71501138834774)
2020-04-01T00:00:00.000,Larceny Theft,Lakeshore,1,POINT (-122.47444642932042 37.71589586796954)
2020-04-01T00:00:00.000,Larceny Theft,Lakeshore,1,POINT (-122.47412109375 37.71827697753906)
2020-04-01T00:00:00.000,Larceny Theft,Lakeshore,1,POINT (-122.47379302978516 37.71708297729492)
2020-04-01T00:00:00.000,Larceny Theft,Lakeshore,1,POINT (-122.47171020507812 37.714229583740234)
2020-04-01T00:00:00.000,Larceny Theft,Lakeshore,4,POINT (-122.47313690185547 37.71367263793945)
2020-04-01T00:00:00.000,Larceny Theft,Lakeshore,1,POINT (-122.47313961779678 37.71367198578531)
2020-04-01T00:00:00.000,Larceny Theft,Lakeshore,1,POINT (-122.47869873046875 37.72821044921875)
2020-04-01T00:00:00.000,Larceny Theft,Lakeshore,1,POINT (-122.47603947349434 37.72694991292525)
2020-04-01T00:00:00.000,Larceny Theft,Lakeshore,1,POINT (-122.48135375976562 37.72039794921875)
2020-04-01T00:00:00.000,Larceny Theft,Lakeshore,1,POINT (-122.4814224243164 37.71905517578125)
2020-04-01T00:00:00.000,Larceny Theft,Lakeshore,1,POINT (-122.48302284569624 37.72120583892469)
2020-04-01T00:00:00.000,Larceny Theft,Lincoln Park,1,POINT (-122.49344634621305 37.78162723776503)
2020-04-01T00:00:00.000,Larceny Theft,Lincoln Park,1,POINT (-122.50201199241751 37.78122703591243)
2020-04-01T00:00:00.000,Larceny Theft,Lone Mountain/USF,2,POINT (-122.45873260498047 37.779335021972656)
