by_month_incident_date,incident_category,analysis_neighborhood,count,point
2022-11-01T00:00:00.000,Lost Property,Bayview Hunters Point,1,POINT (-122.3834228515625 37.735801696777344)
2020-05-01T00:00:00.000,Assault,South of Market,1,POINT (-122.40725467595034 37.78211941829001)
2021-03-01T00:00:00.000,Lost Property,Tenderloin,2,POINT (-122.41278212939851 37.7848662445387)
2023-04-01T00:00:00.000,Non-Criminal,North Beach,1,POINT (-122.40343572658638 37.80518490076636)
2021-11-01T00:00:00.000,Burglary,Mission,1,POINT (-122.42225815617911 37.76875414311542)
2022-10-01T00:00:00.000,Motor Vehicle Theft,Visitacion Valley,1,POINT (-122.40060424804688 37.71511459350586)
2021-09-01T00:00:00.000,Other Miscellaneous,North Beach,1,POINT (-122.40714263916016 37.806427001953125)
2021-12-01T00:00:00.000,Larceny Theft,Nob Hill,1,POINT (-122.41118648097648 37.793642556558446)
2023-07-01T00:00:00.000,Other Miscellaneous,Bernal Heights,2,POINT (-122.42578887939453 37.73427963256836)
2018-10-01T00:00:00.000,Malicious Mischief,Western Addition,1,POINT (-122.424687041478 37.785334621209216)
2018-04-01T00:00:00.000,Suspicious Occ,Visitacion Valley,1,POINT (-122.41876220703125 37.71193313598633)
2019-01-01T00:00:00.000,Other Miscellaneous,South of Market,2,POINT (-122.40725467595034 37.78211941829001)
2023-06-01T00:00:00.000,Larceny Theft,Bernal Heights,1,POINT (-122.42236646065211 37.741760487793414)
2020-08-01T00:00:00.000,Courtesy Report,Golden Gate Park,1,POINT (-122.45335228997452 37.768246024114525)
2022-05-01T00:00:00.000,Non-Criminal,Marina,1,POINT (-122.43675994873047 37.79501724243164)
2023-08-01T00:00:00.000,Recovered Vehicle,Tenderloin,1,POINT (-122.41499328613281 37.787452697753906)
2020-03-01T00:00:00.000,Non-Criminal,Nob Hill,2,POINT (-122.4170150756836 37.78910827636719)
2020-12-01T00:00:00.000,Motor Vehicle Theft,Noe Valley,1,POINT (-122.42647785315032 37.753359551834194)
2020-02-01T00:00:00.000,Larceny Theft,North Beach,1,POINT (-122.40695663340361 37.805494467998535)
2024-01-01T00:00:00.000,Larceny Theft,Bayview Hunters Point,2,POINT (-122.3791732788086 37.728233337402344)
2023-08-01T00:00:00.000,Disorderly Conduct,Outer Mission,1,POINT (-122.44930866812773 37.7099462024738)
2023-09-01T00:00:00.000,Malicious Mischief,Excelsior,2,POINT (-122.44025513581519 37.716038818883085)
2023-02-01T00:00:00.000,Lost Property,Bayview Hunters Point,1,POINT (-122.38977083774661 37.73522488201082)
2023-10-01T00:00:00.000,Malicious Mischief,Castro/Upper Market,1,POINT (-122.4400108925689 37.760584928879645)
2023-10-01T00:00:00.000,Malicious Mischief,Bernal Heights,1,POINT (-122.41916531577438 37.73953344114055)
2022-08-01T00:00:00.000,Lost Property,Castro/Upper Market,1,POINT (-122.42685829108402 37.769042388642006)
2024-11-01T00:00:00.000,Traffic Violation Arrest,West of Twin Peaks,2,POINT (-122.47167205810547 37.72163009643555)
2019-12-01T00:00:00.000,Larceny Theft,Lakeshore,8,POINT (-122.50022095522831 37.71895555784868)
2020-04-01T00:00:00.000,Larceny Theft,Marina,1,POINT (-122.42360129831425 37.79669105830072)
2018-04-01T00:00:00.000,Assault,Financial District/South Beach,1,POINT (-122.4019734281221 37.804072249404626)
2021-12-01T00:00:00.000,Assault,Mission,1,POINT (-122.42159271240234 37.75204849243164)
2023-10-01T00:00:00.000,Larceny Theft,Mission,4,POINT (-122.42057800292969 37.76499557495117)
2022-05-01T00:00:00.000,Motor Vehicle Theft,Financial District/South Beach,2,POINT (-122.40479506275997 37.784908299430455)
2023-05-01T00:00:00.000,Motor Vehicle Theft,Visitacion Valley,1,POINT (-122.40616607666016 37.718265533447266)
2022-06-01T00:00:00.000,Fraud,Excelsior,1,POINT (-122.45088195800781 37.70941162109375)
2021-10-01T00:00:00.000,Larceny Theft,Golden Gate Park,2,POINT (-122.4664306640625 37.766475677490234)
2022-04-01T00:00:00.000,Burglary,Oceanview/Merced/Ingleside,1,POINT (-122.47073364257812 37.7178840637207)
2023-01-01T00:00:00.000,Larceny Theft,North Beach,11,POINT (-122.41561643757444 37.80727586975037)
2018-11-01T00:00:00.000,Larceny Theft,Tenderloin,3,POINT (-122.42119598388672 37.784751892089844)
2019-09-01T00:00:00.000,Burglary,Financial District/South Beach,1,POINT (-122.39117965917615 37.78745518601511)
2022-09-01T00:00:00.000,Assault,Bernal Heights,1,POINT (-122.42196876280964 37.74237539724614)
2020-05-01T00:00:00.000,Burglary,Portola,1,POINT (-122.40470886230469 37.730316162109375)
2022-07-01T00:00:00.000,Traffic Collision,Bayview Hunters Point,1,POINT (-122.38847589500467 37.74110763100082)
2019-10-01T00:00:00.000,Other Miscellaneous,Golden Gate Park,1,POINT (-122.45948611950966 37.77416693305064)
2023-09-01T00:00:00.000,Malicious Mischief,Bayview Hunters Point,1,POINT (-122.38714331320446 37.74129736560071)
2020-03-01T00:00:00.000,Stolen Property,Sunset/Parkside,1,POINT (-122.47956085205078 37.752235412597656)
2018-01-01T00:00:00.000,Larceny Theft,South of Market,1,POINT (-122.41217011243195 37.77419965470602)
2025-01-01T00:00:00.000,Malicious Mischief,Outer Richmond,1,POINT (-122.48245239257812 37.778263092041016)
2021-04-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.4192249331554 37.76831934824594)
2018-02-01T00:00:00.000,Assault,Mission,1,POINT (-122.41641235351562 37.75396728515625)
2022-09-01T00:00:00.000,Motor Vehicle Theft,Mission,1,POINT (-122.41048431396484 37.76560592651367)
2023-11-01T00:00:00.000,Assault,Nob Hill,1,POINT (-122.41410827636719 37.79141616821289)
2019-04-01T00:00:00.000,Larceny Theft,Financial District/South Beach,1,POINT (-122.40348815917969 37.7879638671875)
2024-04-01T00:00:00.000,Other Miscellaneous,Nob Hill,1,POINT (-122.40892028808594 37.79081344604492)
2021-04-01T00:00:00.000,Other Miscellaneous,Oceanview/Merced/Ingleside,1,POINT (-122.46707153320312 37.71242141723633)
2023-12-01T00:00:00.000,Larceny Theft,West of Twin Peaks,1,POINT (-122.44090270996094 37.73310470581055)
2022-12-01T00:00:00.000,Other Miscellaneous,North Beach,1,POINT (-122.41360416993442 37.805618478961165)
2024-09-01T00:00:00.000,Malicious Mischief,Mission,1,POINT (-122.40533447265625 37.7530632019043)
2023-12-01T00:00:00.000,Other Miscellaneous,North Beach,1,POINT (-122.41397500878728 37.80748251193778)
2024-11-01T00:00:00.000,Assault,Bayview Hunters Point,1,POINT (-122.39164733886719 37.73628616333008)
2022-07-01T00:00:00.000,Other Miscellaneous,Financial District/South Beach,1,POINT (-122.39106458549364 37.780182449409146)
2023-08-01T00:00:00.000,Larceny Theft,Russian Hill,9,POINT (-122.42219543457031 37.806434631347656)
2018-02-01T00:00:00.000,Burglary,Inner Richmond,1,POINT (-122.46870422363281 37.78274917602539)
2024-08-01T00:00:00.000,Vandalism,Mission,1,POINT (-122.40834045410156 37.754451751708984)
2021-06-01T00:00:00.000,Burglary,Castro/Upper Market,1,POINT (-122.43658826795966 37.76900080136138)
2022-03-01T00:00:00.000,Burglary,Haight Ashbury,1,POINT (-122.45294952392578 37.76637268066406)
2018-04-01T00:00:00.000,Lost Property,Financial District/South Beach,1,POINT (-122.3931813328012 37.79323049132005)
