by_month_incident_date,incident_category,analysis_neighborhood,count,point
2022-10-01T00:00:00.000,Burglary,Lincoln Park,2,POINT (-122.49344634621305 37.78162723776503)
2021-02-01T00:00:00.000,Burglary,Inner Sunset,2,POINT (-122.4672531424321 37.762127977892575)
2020-02-01T00:00:00.000,Larceny Theft,Tenderloin,2,POINT (-122.41461944580078 37.78558349609375)
2022-07-01T00:00:00.000,Assault,Financial District/South Beach,1,POINT (-122.401123046875 37.793060302734375)
2020-06-01T00:00:00.000,Larceny Theft,Tenderloin,1,POINT (-122.41927343381671 37.78356778488696)
2019-09-01T00:00:00.000,Stolen Property,Western Addition,1,POINT (-122.42100836115098 37.783824117317494)
2024-11-01T00:00:00.000,Missing Person,Sunset/Parkside,3,POINT (-122.4811782836914 37.74468231201172)
2018-03-01T00:00:00.000,Other Miscellaneous,Mission,1,POINT (-122.41586279405455 37.748212149468735)
2022-09-01T00:00:00.000,Other Offenses,Hayes Valley,1,POINT (-122.42551205721274 37.772734311063964)
2021-09-01T00:00:00.000,Other Miscellaneous,Bayview Hunters Point,1,POINT (-122.39241790771484 37.72916030883789)
2023-01-01T00:00:00.000,Disorderly Conduct,Financial District/South Beach,1,POINT (-122.4067711451779 37.788499477941336)
2018-05-01T00:00:00.000,Larceny Theft,Nob Hill,1,POINT (-122.40786743164062 37.79027557373047)
2020-08-01T00:00:00.000,Larceny Theft,Western Addition,1,POINT (-122.42139434814453 37.78568649291992)
2019-02-01T00:00:00.000,Assault,Mission,3,POINT (-122.41950988769531 37.763427734375)
2021-11-01T00:00:00.000,Larceny Theft,Haight Ashbury,2,POINT (-122.44693756103516 37.7700080871582)
2021-08-01T00:00:00.000,Warrant,Mission,1,POINT (-122.4185791015625 37.76511764526367)
2025-03-01T00:00:00.000,Larceny Theft,Western Addition,1,POINT (-122.43456268310547 37.78415298461914)
2023-05-01T00:00:00.000,Burglary,Mission,1,POINT (-122.42318100123339 37.755169793091)
2022-08-01T00:00:00.000,Missing Person,Outer Mission,1,POINT (-122.44088745117188 37.71828842163086)
2018-01-01T00:00:00.000,Fraud,Pacific Heights,2,POINT (-122.43585205078125 37.79050064086914)
2019-02-01T00:00:00.000,Larceny Theft,Mission,1,POINT (-122.42028045654297 37.74812698364258)
2019-09-01T00:00:00.000,Missing Person,Outer Richmond,1,POINT (-122.49732208251953 37.77571487426758)
2020-02-01T00:00:00.000,Larceny Theft,Financial District/South Beach,2,POINT (-122.39579264200438 37.78709954244846)
2021-01-01T00:00:00.000,Burglary,Pacific Heights,1,POINT (-122.43567657470703 37.78963088989258)
2021-08-01T00:00:00.000,Non-Criminal,Mission,1,POINT (-122.42135541826262 37.759372452792256)
2019-09-01T00:00:00.000,Motor Vehicle Theft,Inner Richmond,1,POINT (-122.4676284790039 37.78280258178711)
2023-11-01T00:00:00.000,Motor Vehicle Theft,Bayview Hunters Point,1,POINT (-122.39126842523832 37.73985319897475)
2023-07-01T00:00:00.000,Motor Vehicle Theft,Inner Sunset,1,POINT (-122.47681389310883 37.759833935745874)
2020-08-01T00:00:00.000,Non-Criminal,Chinatown,1,POINT (-122.40584572784157 37.79522323427029)
2019-09-01T00:00:00.000,Other Miscellaneous,Bayview Hunters Point,1,POINT (-122.38500213623047 37.733070373535156)
2023-12-01T00:00:00.000,Warrant,West of Twin Peaks,3,POINT (-122.45226885712407 37.745173811149314)
2020-04-01T00:00:00.000,Recovered Vehicle,Bayview Hunters Point,1,POINT (-122.3950424194336 37.74193572998047)
2020-08-01T00:00:00.000,Assault,Bernal Heights,1,POINT (-122.4113579190517 37.74426625970861)
2019-01-01T00:00:00.000,Assault,Mission,2,POINT (-122.41748809814453 37.76518249511719)
