"incident_number","exposure_number","id","address","incident_date","call_number","alarm_dttm","arrival_dttm","close_dttm","city","zipcode","battalion","station_area","box","suppression_units","suppression_personnel","ems_units","ems_personnel","other_units","other_personnel","first_unit_on_scene","estimated_property_loss","estimated_contents_loss","fire_fatalities","fire_injuries","civilian_fatalities","civilian_injuries","number_of_alarms","primary_situation","mutual_aid","action_taken_primary","action_taken_secondary","action_taken_other","detector_alerted_occupants","property_use","area_of_fire_origin","ignition_cause","ignition_factor_primary","ignition_factor_secondary","heat_source","item_first_ignited","human_factors_associated_with_ignition","structure_type","structure_status","floor_of_fire_origin","fire_spread","no_flame_spread","number_of_floors_with_minimum_damage","number_of_floors_with_significant_damage","number_of_floors_with_heavy_damage","number_of_floors_with_extreme_damage","detectors_present","detector_type","detector_operation","detector_effectiveness","detector_failure_reason","automatic_extinguishing_system_present","automatic_extinguishing_sytem_type","automatic_extinguishing_sytem_perfomance","automatic_extinguishing_sytem_failure_reason","number_of_sprinkler_heads_operating","supervisor_district","neighborhood_district","point","data_as_of","data_loaded_at"
"04048946","0","040489460","25 Sanchez St.","2004-06-23T00:00:00.000","041750264","2004-06-23T16:44:30.000","2004-06-23T16:46:25.000","2004-06-23T16:53:29.000","SF","94114","B05","06",,"1","4","0","0","0","0","E06","0","0","0","0","0","0","1","600 - Good intent call, other","None","86 - Investigate",,,,"429 - Multifamily dwellings",,,,,,,,,,,,,,,,,,,,,,,,,,,"8","Castro/Upper Market","POINT (-122.431386 37.768864)","2004-06-23T17:12:17.000","2025-06-14T02:21:17.000"
"04048948","0","040489480","8th St. / Minna St.","2004-06-23T00:00:00.000","041750267","2004-06-23T16:52:01.000","2004-06-23T16:54:55.000","2004-06-23T16:59:25.000","SF","94103","B02","01",,"3","11","0","0","0","0","B02","0","0","0","0","0","0","1","150 - Outside rubbish fire, other","None","86 - Investigate",,,,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,"6","South of Market","POINT (-122.412621 37.777026)","2004-06-24T09:52:36.000","2025-06-14T02:21:17.000"
"04048949","0","040489490","1177 Quesada Av.","2004-06-23T00:00:00.000","041750268","2004-06-23T16:55:31.000","2004-06-23T16:58:24.000","2004-06-23T17:28:39.000","SF","94124","B10","17",,"2","5","0","0","0","0","E17","0","0","0","0","0","0","1","400 - Hazardous condition, other","None","86 - Investigate",,,,"500 - Mercantile, business, other",,,,,,,,,,,,,,,,,,,,,,,,,,,"10","Bayview Hunters Point","POINT (-122.3827063 37.72750237)","2004-06-23T17:44:52.000","2025-06-14T02:21:17.000"
"04048954","0","040489540","9th Av. / Mesa Av.","2004-06-23T00:00:00.000","041750273","2004-06-23T17:06:21.000","2004-06-23T17:10:31.000","2004-06-23T17:10:35.000","SF","94122","B08","39",,"1","4","0","0","0","0","T12","0","0","0","0","0","0","1","711 - Municipal alarm system, Street Box False","None","86 - Investigate",,,,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,"7","West of Twin Peaks","POINT (-122.46513 37.74805034)","2004-07-29T21:21:08.000","2025-06-14T02:21:17.000"
"04048956","0","040489560","Scott St. / Waller St.","2004-06-23T00:00:00.000","041750275","2004-06-23T17:14:53.000","2004-06-23T17:18:44.000","2004-06-23T17:19:23.000","SF","94117","B05","21",,"1","4","0","0","0","0","E21","0","0","0","0","0","0","1","911 - Citizen complaint","None","86 - Investigate",,,,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,"5","Haight Ashbury","POINT (-122.435185 37.770548)","2004-06-23T17:33:53.000","2025-06-14T02:21:17.000"
"04048959","0","040489590","1271 20th Av.","2004-06-23T00:00:00.000","041750281","2004-06-23T17:31:11.000","2004-06-23T17:34:35.000","2004-06-23T17:46:02.000","SF","94122","B08","22",,"3","10","0","0","0","0","E22","500","0","0","0","0","0","1","112 - Fires in struct. other than in a bldg.","None","11 - Extinguish",,,,"419 - 1 or 2 family dwelling","72 - Exterior balcony, unenclosed porch","2 - Unintentional","00 - Other factor contributed to ignition",,"61 - Cigarette","00 - Item First Ignited, Other","N - None","6 -Open platform",,"0",,,"0","0","0","0",,,,,,,,,,"0","4","Sunset/Parkside","POINT (-122.478318 37.764078)","2004-06-26T06:18:22.000","2025-06-14T02:21:17.000"
"04048962","0","040489620","Athens St. / France Av.","2004-06-23T00:00:00.000","041750285","2004-06-23T17:44:27.000","2004-06-23T17:46:40.000","2004-06-23T17:47:13.000","SF","94112","B09","43",,"2","9","0","0","0","0","E43","0","0","0","0","0","0","1","711 - Municipal alarm system, Street Box False","None","86 - Investigate",,,,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,"11","Excelsior","POINT (-122.431954 37.716976)","2004-06-23T17:47:54.000","2025-06-14T02:21:17.000"
"04048966","0","040489660","425 7th St.","2004-06-23T00:00:00.000","041750290","2004-06-23T18:04:10.000","2004-06-23T18:08:09.000","2004-06-23T18:12:36.000","SF","94105","B03","08",,"3","10","0","0","0","0","T08","0","0","0","0","0","0","1","740 - Unintentional alarm, other","None","86 - Investigate",,,,"599 - Business office",,,,,,,,,,,,,,,,,,,,,,,,,,,"6","South of Market","POINT (-122.405847 37.775231)","2004-06-23T21:49:09.000","2025-06-14T02:21:17.000"
"04048968","0","040489680","955 Bush St.","2004-06-23T00:00:00.000","041750293","2004-06-23T18:18:56.000","2004-06-23T18:23:52.000","2004-06-23T18:28:11.000","SF","94109","B01","41",,"1","4","0","0","0","0","E41","0","0","0","0","0","0","1","500 - Service Call, other","None","00 - Action taken, other",,,,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,"3","Nob Hill","POINT (-122.41289273 37.78934902)","2004-06-23T18:38:44.000","2025-06-14T02:21:17.000"
"04048969","0","040489690","12th Av. / Lincoln Wy.","2004-06-23T00:00:00.000","041750294","2004-06-23T18:19:27.000","2004-06-23T18:21:52.000","2004-06-23T19:03:42.000","SF","94122","B08","22",,"3","10","0","0","0","0","E22","0","0","0","0","0","0","1","745 - Alarm system sounded/no fire-accidental","None","00 - Action taken, other",,,,"429 - Multifamily dwellings",,,,,,,,,,,,,,,,,,,,,,,,,,,"7","Inner Sunset","POINT (-122.469653 37.765781)","2004-06-26T06:42:45.000","2025-06-14T02:21:17.000"
"04048970","0","040489700","381 Bush St.","2004-06-23T00:00:00.000","041750296","2004-06-23T18:25:04.000","2004-06-23T19:31:24.000","2004-06-23T21:22:18.000","SF","94104","B01","13",,"2","6","0","0","0","0","T13","0","0","0","0","0","0","1","522 - Water or steam leak","None","64 - Shut down system",,,,"599 - Business office",,,,,,,,,,,,,,,,,,,,,,,,,,,"3","Financial District/South Beach","POINT (-122.403495 37.790759)","2004-06-29T09:07:03.000","2025-06-14T02:21:17.000"
"04048971","0","040489710","1101 California St.","2004-06-23T00:00:00.000","041750297","2004-06-23T18:27:10.000","2004-06-23T18:30:14.000","2004-06-23T18:32:05.000","SF","94109","B01","41",,"1","4","0","0","0","0","E02","0","0","0","0","0","0","1","700 - False alarm or false call, other","None","86 - Investigate",,,,"429 - Multifamily dwellings",,,,,,,,,,,,,,,,,,,,,,,,,,,"3","Nob Hill","POINT (-122.412535 37.79155)","2004-07-02T07:16:58.000","2025-06-14T02:21:17.000"
"04048972","0","040489720","1251 Exposition Dr.","2004-06-23T00:00:00.000","041750298","2004-06-23T18:31:12.000","2004-06-23T18:34:17.000","2004-06-23T19:29:15.000","TI","94130","B03","48",,"12","41","1","2","0","0","E48","500","200","0","0","0","0","1","111 - Building fire","None","12 - Salvage & overhaul","86 - Investigate",,,"419 - 1 or 2 family dwelling","21 - Bedroom-<5 persons; inc. jail or pris","1 - Intentional",,,"65 - Cigarette lighter","31 - Mattress, pillow",,"1 -Enclosed building","2 -In normal use","2","31 -Mattress, pillow","2","1","0","0","0","U -Undetermined",,,,,"N -None Present",,,,"0","6","Treasure Island","POINT (-122.37163144 37.8293525)","2004-06-24T10:21:20.000","2025-06-14T02:21:17.000"
"04048973","0","040489730","6th St. / Howard St.","2004-06-23T00:00:00.000","041750299","2004-06-23T18:33:21.000","2004-06-23T18:35:45.000","2004-06-23T18:36:09.000","SF","94105","B03","01",,"2","9","0","0","0","0","T01","0","0","0","0","0","0","1","711 - Municipal alarm system, Street Box False","None","86 - Investigate",,,,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,"6","South of Market","POINT (-122.407163 37.779738)","2004-06-24T05:14:30.000","2025-06-14T02:21:17.000"
"04048974","0","040489740","Divisadero St. / Ellis St.","2004-06-23T00:00:00.000","041750300","2004-06-23T18:33:34.000","2004-06-23T18:36:09.000","2004-06-23T18:36:51.000","SF","94102","B05","05",,"2","9","0","0","0","0","E05","0","0","0","0","0","0","1","711 - Municipal alarm system, Street Box False","None","86 - Investigate",,,,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,"5","Western Addition","POINT (-122.439116 37.781521)","2004-06-23T19:03:42.000","2025-06-14T02:21:17.000"
"04048976","0","040489760","1618 Union St.","2004-06-23T00:00:00.000","041750302","2004-06-23T18:35:24.000","2004-06-23T18:38:30.000","2004-06-23T18:50:12.000","SF","94123","B04","16",,"3","10","0","0","0","0","E16","0","0","0","0","0","0","1","251 - Excess heat, scorth burns with no ign.","None","86 - Investigate",,,,"429 - Multifamily dwellings",,,,,,,,,,,,,,,,,,,,,,,,,,,"2","Marina","POINT (-122.42608039 37.79850645)","2004-06-24T10:26:48.000","2025-06-14T02:21:17.000"
"04048977","0","040489770","1150 Scott St.","2004-06-23T00:00:00.000","041750303","2004-06-23T18:41:00.000","2004-06-23T18:43:23.000","2004-06-23T19:04:57.000","SF","94102","B05","05",,"3","11","0","0","0","0","T05","250000","50000","0","0","0","0","1","111 - Building fire","None","86 - Investigate",,,,"429 - Multifamily dwellings","26 - Laundry area, wash house (laundry)","2 - Unintentional","10 - Misuse of material or product, other",,"54 - Fireworks","92 - Magazine, newspaper, writing paper","N - None","1 -Enclosed building","2 -In normal use","1",,"1","1","0","0","0","1 -Present","1 -Smoke","2 -Detector operated","1 -Alerted occupants, occupants responded",,"N -None Present",,,,"0","5","Western Addition","POINT (-122.437085 37.780353)","2004-06-24T10:09:16.000","2025-06-14T02:21:17.000"
"04048979","0","040489790","1501 Lincoln Wy.","2004-06-23T00:00:00.000","041750305","2004-06-23T18:57:53.000","2004-06-23T19:02:49.000","2004-06-23T19:22:55.000","SF","94122","B08","22",,"3","10","0","0","0","0","E40","0","0","0","0","0","0","1","745 - Alarm system sounded/no fire-accidental","None","00 - Action taken, other",,,,"429 - Multifamily dwellings",,,,,,,,,,,,,,,,,,,,,,,,,,,"7","Golden Gate Park","POINT (-122.4751534 37.76559665)","2004-06-26T06:56:17.000","2025-06-14T02:21:17.000"
"04048981","0","040489810","1750 Cesar Chavez St.","2004-06-23T00:00:00.000","041750307","2004-06-23T19:04:38.000","2004-06-23T19:08:11.000","2004-06-23T19:12:10.000","SF","94107","B10","09",,"2","9","0","0","0","0","E09","0","0","0","0","0","0","1","740 - Unintentional alarm, other","None","86 - Investigate",,,,"599 - Business office",,,,,,,,,,,,,,,,,,,,,,,,,,,"10","Bayview Hunters Point","POINT (-122.394795 37.749901)","2004-06-23T19:33:09.000","2025-06-14T02:21:17.000"
"04048985","0","040489850","1811 Leavenworth St.","2004-06-23T00:00:00.000","041750312","2004-06-23T19:18:30.000","2004-06-23T19:20:58.000","2004-06-23T19:41:35.000","SF","94109","B01","41",,"8","29","0","0","0","0","E41","0","0","0","0","0","0","1","210 - Steam Rupture, steam, other","None","86 - Investigate",,,,"429 - Multifamily dwellings",,,,,,,,,,,,,,,,,,,,,,,,,,,"3","Russian Hill","POINT (-122.41736191 37.79771993)","2004-06-24T10:31:20.000","2025-06-14T02:21:17.000"
"04048989","0","040489890","1825 Mission St.","2004-06-23T00:00:00.000","041750316","2004-06-23T19:23:07.000","2004-06-23T19:36:30.000","2004-06-23T21:07:42.000","SF","94110","B02","36",,"1","4","0","0","0","0","RC3","0","0","0","0","0","0","1","550 - Public service assistance, other","None","71 - Assist physically disabled",,,,"429 - Multifamily dwellings",,,,,,,,,,,,,,,,,,,,,,,,,,,"9","Mission","POINT (-122.419857 37.767879)","2004-06-30T12:45:49.000","2025-06-14T02:21:17.000"
