geolocation,industry_description,number_of_establishments_2019,total_employment_at_2019,paid_employees_at_2019,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2019,total_revenue_2019,total_expense_2019,compensation_2019,other_expense_2019,value_added_2019,gross_additions_to_tangible_fixed_assets_2019,change_in_inventories_2019,sales_from_e-commerce_transactions_2019,subsidies_2019
Philippines,Transportation and Storage,3057,227723,226462,26692,747154718,704890429,86881119,618009310,256067604,68919209,576912,81104533,12407670
Philippines,Transport via railways,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,Transport via buses,246,24938,24622,1252,19579775,18194746,4459250,13735496,8085433,4095807,141513,0,0
Philippines,Other land transport,884,30304,30150,10405,39732068,32906516,6043968,26862548,16766152,6264959,-5753,0,0
Philippines,Sea and coastal water transport,158,19007,18747,221,45010298,43123756,5249663,37874093,14989248,3246975,-48904,0,0
Philippines,Inland water transport,36,952,951,0,762195,672466,146358,526108,345810,52799,-10315,0,0
Philippines,Passenger air transport,29,17516,17516,38,375013642,382153916,29686566,352467350,93202706,40146236,1244201,80958283,0
Philippines,Freight air transport,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,Warehousing and storage,221,17721,17651,9626,22698028,18384056,4319223,14064833,11945391,1974817,-8408,0,0
Philippines,Support activities for transportation,1367,96881,96425,3269,212930391,170111107,30653915,139457192,106774826,10465190,-737145,146250,297655
Philippines,Courier activities,110,17459,17453,1546,26934900,24865479,5312438,19553041,8906877,1908729,-33,0,0
National Capital Region,Transportation and Storage,1671,137082,136599,19314,605058095,585682499,67114032,518568467,196845749,51587431,973337,81036534,12110015
National Capital Region,Transport via railways,0,0,0,0,0,0,0,0,0,0,0,0,0
National Capital Region,Transport via buses,75,6058,5952,11,2335973,2255531,968206,1287325,1237258,262589,92555,0,0
National Capital Region,Other land transport,347,11593,11588,8141,16407627,13247464,3238359,10009106,8137866,775260,9530,0,0
National Capital Region,Sea and coastal water transport,69,7797,7794,155,18611800,17704805,2641428,15063377,6584682,2257158,60752,0,0
National Capital Region,Inland water transport,3,186,186,0,378417,328705,55157,273548,194535,37781,-10201,0,0
