per_month_incident_date,incident_category,analysis_neighborhood,count,geolocation_x_axis,geolocation_y_axis
2021-03-01,Non-Criminal,Financial District/South Beach,1,-122.39117965917615,37.78745518601511
2020-01-01,Suspicious Occ,Glen Park,1,-122.43135070800781,37.73661804199219
2023-10-01,Other Miscellaneous,Hayes Valley,1,-122.42240905761719,37.774085998535156
2023-07-01,Fraud,Castro/Upper Market,1,-122.44470747008518,37.758825463103
2020-02-01,Fraud,Western Addition,1,-122.43023681640625,37.779781341552734
2022-12-01,Larceny Theft,Portola,1,-122.40558624267578,37.72977828979492
2023-09-01,Malicious Mischief,Bernal Heights,1,-122.42202758789062,37.73313903808594
2018-12-01,Warrant,Potrero Hill,1,-122.39859008789062,37.753684997558594
2022-03-01,Larceny Theft,Potrero Hill,3,-122.39372979676084,37.76402134194153
2022-03-01,Malicious Mischief,Marina,1,-122.43220520019531,37.797508239746094
2024-05-01,Motor Vehicle Theft,Bernal Heights,1,-122.41777038574219,37.740562438964844
2019-10-01,Motor Vehicle Theft,South of Market,2,-122.41040149389688,37.77878537156561
2018-01-01,Other Miscellaneous,Castro/Upper Market,1,-122.42843121132712,37.762087690546814
2022-12-01,Larceny Theft,Nob Hill,2,-122.42068738428432,37.79057825823802
2020-11-01,Malicious Mischief,Bayview Hunters Point,1,-122.39677429199219,37.71751022338867
2018-04-01,Assault,Mission Bay,1,-122.39274978789828,37.778851716626704
2019-02-01,Other,Hayes Valley,1,-122.42645223923668,37.77738819387254
2022-09-01,Larceny Theft,Tenderloin,2,-122.41151428222656,37.78694152832031
2021-06-01,Lost Property,Pacific Heights,1,-122.43181610107422,37.7872314453125
2023-01-01,Lost Property,Tenderloin,1,-122.41095161908784,37.78414101130419
2022-09-01,Fraud,Potrero Hill,1,-122.39515115482789,37.75835219956658
2022-12-01,Larceny Theft,Western Addition,2,-122.43079788213421,37.782569887796356
2024-10-01,Vandalism,Pacific Heights,1,-122.42999267578125,37.79489517211914
2021-02-01,Assault,Bayview Hunters Point,2,-122.39124298095703,37.73322296142578
2019-01-01,Miscellaneous Investigation,Twin Peaks,1,-122.45162398822991,37.7455342365164
2020-05-01,Larceny Theft,Potrero Hill,1,-122.40095977345608,37.75813208747921
2018-02-01,Fraud,Russian Hill,1,-122.4241714477539,37.79948425292969
2021-02-01,Non-Criminal,Chinatown,1,-122.40604523680477,37.79519828225881
2022-07-01,Miscellaneous Investigation,Lone Mountain/USF,1,-122.44256591796875,37.7734260559082
2024-09-01,Motor Vehicle Theft,South of Market,1,-122.39794158935547,37.782997131347656
2022-03-01,Motor Vehicle Theft,South of Market,1,-122.40115971954746,37.782024266168385
2022-11-01,Larceny Theft,Noe Valley,1,-122.44337463378906,37.74589920043945
2021-05-01,Recovered Vehicle,Excelsior,1,-122.43617646639477,37.714209482735754
2020-06-01,Recovered Vehicle,Lakeshore,1,-122.47438049316406,37.717506408691406
2018-06-01,Fraud,Tenderloin,1,-122.42121645936334,37.7852326274979
