per_month_incident_date,incident_category,analysis_neighborhood,count,geolocation_x_axis,geolocation_y_axis
2019-02-01,Robbery,Potrero Hill,2,-122.3880011217841,37.75538988423265
2018-02-01,Motor Vehicle Theft,Presidio Heights,1,-122.45230102539062,37.789306640625
2024-07-01,Weapons Carrying Etc,Excelsior,1,-122.44767761230469,37.70907211303711
2024-07-01,Larceny Theft,Western Addition,1,-122.42330932617188,37.786869049072266
2023-06-01,Larceny Theft,South of Market,1,-122.40894317626953,37.775875091552734
2021-11-01,Larceny Theft,Oceanview/Merced/Ingleside,1,-122.46790313720703,37.709598541259766
2023-07-01,Weapons Offense,Potrero Hill,1,-122.40095977345608,37.75813208747921
2019-11-01,Other Miscellaneous,Hayes Valley,1,-122.43779874819879,37.77499194694682
2019-06-01,Assault,Bernal Heights,1,-122.40730859616633,37.746262332711446
2021-10-01,Other Miscellaneous,West of Twin Peaks,1,-122.46582794189453,37.74089050292969
2020-01-01,Sex Offense,Haight Ashbury,1,-122.44782257080078,37.76607131958008
2018-10-01,Other Miscellaneous,North Beach,1,-122.41505432128906,37.804481506347656
2021-04-01,Larceny Theft,South of Market,3,-122.40486145019531,37.78400802612305
2020-11-01,Motor Vehicle Theft,Mission,1,-122.42081451416016,37.75370407104492
2019-02-01,Malicious Mischief,Bayview Hunters Point,1,-122.38883209228516,37.73942184448242
2018-01-01,Lost Property,South of Market,1,-122.41093657493794,37.77921168445851
2020-11-01,Embezzlement,Mission,1,-122.41072845458984,37.7681770324707
2024-07-01,Burglary,Lakeshore,1,-122.50202941894531,37.73551559448242
2021-10-01,Assault,Mission,1,-122.40788202951215,37.74840499951465
2021-09-01,Motor Vehicle Theft,Twin Peaks,1,-122.44354757820349,37.75179935533094
2022-10-01,Other Miscellaneous,Portola,1,-122.40558631007222,37.727114662013896
2021-09-01,Assault,Mission,1,-122.41944373685448,37.76271286580887
2021-01-01,Offences Against The Family And Children,Bayview Hunters Point,1,-122.39124298095703,37.73322296142578
2020-10-01,Malicious Mischief,Tenderloin,1,-122.41296966814406,37.78578958358186
2020-06-01,Assault,Excelsior,1,-122.44101956350755,37.716459544514585
2021-02-01,Larceny Theft,Russian Hill,1,-122.41905032879346,37.80302146855491
2018-04-01,Suspicious Occ,Russian Hill,1,-122.42436218261719,37.8004150390625
2024-06-01,Warrant,Tenderloin,1,-122.4107666015625,37.7832145690918
2018-10-01,Assault,Excelsior,1,-122.42335239558257,37.72783247523369
2018-02-01,Missing Person,West of Twin Peaks,1,-122.44660186767578,37.73307800292969
2023-03-01,Larceny Theft,Pacific Heights,1,-122.4444808959961,37.79120635986328
2023-08-01,Weapons Offense,Noe Valley,1,-122.4317169330973,37.74982977810765
2018-11-01,Robbery,Bayview Hunters Point,1,-122.39041900634766,37.735591888427734
2020-12-01,Larceny Theft,Hayes Valley,2,-122.43282972923807,37.77562608768549
2021-10-01,Robbery,Mission,1,-122.41048431396484,37.76560592651367
2019-02-01,Larceny Theft,South of Market,2,-122.40406799316406,37.77727127075195
2022-04-01,Non-Criminal,North Beach,1,-122.40386301890015,37.798222970428206
2021-06-01,Larceny Theft,Golden Gate Park,2,-122.46067810058594,37.76744842529297
2018-05-01,Assault,Financial District/South Beach,1,-122.40785252141461,37.785491559268934
2021-06-01,Larceny Theft,Financial District/South Beach,3,-122.40733704162238,37.784560141211806
2024-11-01,Other,Castro/Upper Market,1,-122.4264907836914,37.76577377319336
2020-02-01,Larceny Theft,Financial District/South Beach,1,-122.40479506275997,37.784908299430455
2025-01-01,Robbery,Tenderloin,1,-122.42119598388672,37.784751892089844
2021-04-01,Burglary,Marina,2,-122.43131132204577,37.80144493435495
2019-08-01,Other Miscellaneous,Financial District/South Beach,1,-122.40433292406829,37.79072193376572
2018-07-01,Disorderly Conduct,Hayes Valley,2,-122.42645263671875,37.77738952636719
2021-08-01,Robbery,South of Market,1,-122.41093657493794,37.77921168445851
2023-09-01,Disorderly Conduct,Tenderloin,3,-122.41348740024354,37.77999173926721
2020-03-01,Recovered Vehicle,Tenderloin,1,-122.41588592529297,37.78351593017578
2019-04-01,Non-Criminal,Nob Hill,1,-122.41005693097291,37.78808218625765
2019-03-01,Burglary,Russian Hill,1,-122.42200682265661,37.80549664761133
2022-07-01,Motor Vehicle Theft,West of Twin Peaks,1,-122.45396423339844,37.74186325073242
2024-03-01,Lost Property,Western Addition,1,-122.43214416503906,37.780494689941406
2023-06-01,Other Offenses,Outer Richmond,1,-122.51004028320312,37.773258209228516
2021-10-01,Other Miscellaneous,Portola,1,-122.40917238542387,37.73196396353088
2020-02-01,Offences Against The Family And Children,Tenderloin,1,-122.41094970703125,37.784141540527344
2024-01-01,Burglary,Inner Sunset,1,-122.45440673828125,37.76523208618164
2022-12-01,Recovered Vehicle,Mission,2,-122.4180289209908,37.770876469287494
2019-09-01,Larceny Theft,Pacific Heights,7,-122.43383965518827,37.7889062829483
2018-07-01,Assault,Financial District/South Beach,1,-122.4067711451779,37.788499477941336
2019-01-01,Malicious Mischief,Financial District/South Beach,4,-122.39833314914345,37.79709205264024
2019-01-01,Malicious Mischief,Chinatown,1,-122.40919494628906,37.79389572143555
2022-08-01,Assault,Nob Hill,1,-122.41075554756274,37.79153086852616
2024-06-01,Assault,Mission,1,-122.41802978515625,37.773475646972656
2020-12-01,Non-Criminal,Outer Mission,1,-122.44104766845703,37.72334289550781
2022-11-01,Fraud,Mission,2,-122.41890102956305,37.75703540085026
2020-08-01,Recovered Vehicle,Potrero Hill,1,-122.39361254467057,37.76275552480951
2023-08-01,Larceny Theft,Outer Richmond,1,-122.50788879394531,37.77335739135742
2022-08-01,Suspicious Occ,Visitacion Valley,1,-122.41633605957031,37.71116256713867
2023-05-01,Warrant,Visitacion Valley,1,-122.42224083209325,37.71131669257075
2019-09-01,Arson,Bayview Hunters Point,1,-122.40081024169922,37.7386474609375
2021-08-01,Robbery,Bayview Hunters Point,1,-122.38568115234375,37.72723388671875
2019-11-01,Robbery,Bayview Hunters Point,1,-122.39034271240234,37.73460006713867
2022-10-01,Assault,Russian Hill,2,-122.42176818847656,37.79594421386719
2018-05-01,Case Closure,Financial District/South Beach,2,-122.39579264200438,37.78709954244846
2020-05-01,Larceny Theft,Potrero Hill,1,-122.4024429321289,37.76350402832031
2023-07-01,Drug Offense,Tenderloin,1,-122.41550518013352,37.7816542606277
2019-04-01,Other Offenses,Bayview Hunters Point,2,-122.38897780416126,37.7160869851702
2022-12-01,Larceny Theft,Financial District/South Beach,3,-122.40822672700406,37.78735926098589
2018-04-01,Larceny Theft,Western Addition,1,-122.42330825256187,37.7868683661603
2023-09-01,Other Offenses,Bayview Hunters Point,1,-122.38847589500467,37.74110763100082
2022-08-01,Assault,South of Market,1,-122.4099349975586,37.77841567993164
2021-10-01,Fraud,South of Market,1,-122.4089467458297,37.77587344423178
2023-04-01,Lost Property,South of Market,1,-122.41215515136719,37.77666091918945
2020-04-01,Larceny Theft,Nob Hill,1,-122.4139175415039,37.790462493896484
2023-01-01,Motor Vehicle Theft,North Beach,1,-122.41213989257812,37.806758880615234
2019-06-01,Traffic Violation Arrest,Financial District/South Beach,1,-122.40458331824809,37.78673056551673
2020-12-01,Larceny Theft,West of Twin Peaks,1,-122.44066619873047,37.72991943359375
2019-07-01,Vandalism,Western Addition,1,-122.42350006103516,37.787803649902344
2023-11-01,Other Miscellaneous,Marina,1,-122.44691011930168,37.80328399631487
2019-08-01,Assault,Mission,2,-122.41748809814453,37.76518249511719
2021-09-01,Larceny Theft,Castro/Upper Market,1,-122.43561553955078,37.756080627441406
2018-12-01,Robbery,Tenderloin,1,-122.41443019938555,37.78465714011983
2018-04-01,Assault,Inner Sunset,1,-122.45578106672758,37.76407006891491
2024-03-01,Disorderly Conduct,Financial District/South Beach,1,-122.3987808227539,37.793357849121094
2020-03-01,Larceny Theft,Haight Ashbury,1,-122.45186614990234,37.769378662109375
2019-08-01,Larceny Theft,Financial District/South Beach,3,-122.4027099609375,37.783260345458984
2021-04-01,Offences Against The Family And Children,Sunset/Parkside,2,-122.50378547957988,37.76051913928337
2025-01-01,Malicious Mischief,Bayview Hunters Point,1,-122.39897155761719,37.73016357421875
2022-07-01,Larceny Theft,Golden Gate Park,1,-122.45525360107422,37.774688720703125
2021-09-01,Suspicious Occ,Mission,1,-122.41499328613281,37.770896911621094
2021-06-01,Larceny Theft,Japantown,1,-122.43155202553075,37.786303961936724
2018-04-01,Fraud,Pacific Heights,2,-122.43731856945608,37.7894216306171
2024-01-01,Larceny Theft,North Beach,1,-122.41397857666016,37.8074836730957
2020-05-01,Burglary,Bayview Hunters Point,1,-122.38986206054688,37.7371711730957
2019-02-01,Suspicious Occ,Portola,1,-122.40303802490234,37.72102355957031
2020-08-01,Other Miscellaneous,Pacific Heights,1,-122.44484314563256,37.793014514792446
2020-08-01,Larceny Theft,Financial District/South Beach,1,-122.401123046875,37.793060302734375
2021-05-01,Fraud,Inner Sunset,1,-122.45476531982422,37.756900787353516
2024-01-01,Robbery,Excelsior,2,-122.44101956350755,37.716459544514585
2022-05-01,Malicious Mischief,Chinatown,1,-122.40514297852731,37.796210953409165
2018-07-01,Larceny Theft,Bayview Hunters Point,1,-122.38500153981812,37.73307082057338
2018-01-01,Traffic Violation Arrest,South of Market,1,-122.4137181543595,37.77543698128962
2018-11-01,Other,Inner Richmond,1,-122.4646934621052,37.78667043735242
2018-07-01,Warrant,Mission,2,-122.42121124267578,37.7681999206543
2020-11-01,Larceny Theft,Western Addition,1,-122.44058931920651,37.78037272095248
2021-10-01,Larceny Theft,Mission,1,-122.41096496582031,37.76042556762695
2019-12-01,Traffic Violation Arrest,Haight Ashbury,1,-122.45014564169442,37.76672907343087
2019-06-01,Warrant,Financial District/South Beach,1,-122.39658591411781,37.79458821565897
2023-02-01,Larceny Theft,Bayview Hunters Point,1,-122.38885511785887,37.72998041447379
2022-08-01,Other,Oceanview/Merced/Ingleside,1,-122.46356201171875,37.71989059448242
2024-02-01,Fraud,Lakeshore,1,-122.4759292602539,37.731101989746094
2020-08-01,Malicious Mischief,Haight Ashbury,1,-122.44534499148274,37.77021017395845
2023-05-01,Larceny Theft,Tenderloin,2,-122.416259765625,37.785377502441406
2023-11-01,Larceny Theft,Bayview Hunters Point,1,-122.39986419677734,37.73029327392578
2023-03-01,Burglary,Mission,2,-122.41859436035156,37.75383758544922
2018-02-01,Larceny Theft,Mission,2,-122.42314596595548,37.76982082445955
2022-03-01,Drug Offense,Tenderloin,8,-122.41607173623363,37.784448840613585
2023-08-01,Missing Person,Bayview Hunters Point,1,-122.38867281318191,37.72704414579369
