,,,,,,,,,,,,,,"Summary Statistics for Administrative and support service activities Establishments by Region and Industry Group: Philippines, 2021 by Region, Industry description, Year and Data Items"
Region,Industry description,2021 Number  of  Establishments,2021 Total Employment as of 15 November,2021 Paid Employees as of 15 November,2021 Workers on Sub-Contract Agreement or Under Manpower Agencies/Contractors as of 15 November,2021 Total Revenue,2021 Total Expense,2021 Compensation,2021 Other Expense,2021 Value Added,2021 Gross Additions To Tangible Fixed Assets,2021 Change  in Inventories,2021 Sales from E-Commerce,2021 Subsidies
..National Capital Region,..Security systems service activities,41,631,631,2,911645,930904,216554,714349,252511,6257,2551,-,-
..National Capital Region,..Investigation activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..National Capital Region,..Combined facilities support activities,5,2051,2051,146,522830,521654,373944,147710,399097,7472,2547,-,-
..National Capital Region,..Cleaning activities,81,9994,9994,2046,5491167,5041222,2314155,2727067,2975101,62943,81615,-,-
..National Capital Region,..Landscape care and maintenance service activities,8,333,333,299,481669,428716,78746,349971,157771,22720,134,-,-
..National Capital Region,..Office administrative and support activities,95,2494,2494,7,2386195,2266579,1325890,940689,1587524,2338,3033,-,-
..National Capital Region,..Call centers and other related activities,727,464899,464842,8993,422503422,374479363,220871762,153607601,298493878,12656926,85407,9953069,695248
..National Capital Region,..Organization of conventions and trade shows,16,212,212,40,165638,155390,44420,110970,65724,0,2007,1554,-
..National Capital Region,"..Business support service activities, n.e.c.",173,9397,9397,284,9601482,8977864,2316964,6660901,3393627,93886,137,-,-
..Cordillera Administrative Region,Administrative and support service activities,55,11013,10990,9,5597094,5218101,3773162,1444940,4588647,467225,3565,12497,-
..Cordillera Administrative Region,..Renting and leasing of motor vehicles,,,,,,,,,,,,,
..Cordillera Administrative Region,..Renting and leasing of personal and household goods,s,s,s,s,s,s,s,s,s,s,s,s,s
..Cordillera Administrative Region,"..Renting and leasing of other machinery, equipment and tangible goods, n.e.c.",,,,,,,,,,,,,
..Cordillera Administrative Region,"..Leasing of intellectual property and similar products, except copyrighted works",,,,,,,,,,,,,
..Cordillera Administrative Region,..Activities of employment placement agencies,s,s,s,s,s,s,s,s,s,s,s,s,s
..Cordillera Administrative Region,..Temporary employment agency activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Cordillera Administrative Region,..Other human resources provision,,,,,,,,,,,,,
..Cordillera Administrative Region,..Travel agency and tour operator activities,12,51,37,0,10376,9842,5297,4544,6595,1515,32,-,-
..Cordillera Administrative Region,..Other reservation service and related activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Cordillera Administrative Region,..Private security activities,8,1467,1461,-,49031,45258,38962,6295,45946,41,1530,-,-
..Cordillera Administrative Region,..Security systems service activities,,,,,,,,,,,,,
..Cordillera Administrative Region,..Investigation activities,,,,,,,,,,,,,
..Cordillera Administrative Region,..Combined facilities support activities,,,,,,,,,,,,,
..Cordillera Administrative Region,..Cleaning activities,4,117,117,0,30369,26751,12256,14495,17224,0,1721,-,-
..Cordillera Administrative Region,..Landscape care and maintenance service activities,,,,,,,,,,,,,
..Cordillera Administrative Region,..Office administrative and support activities,3,87,87,-,77479,69974,57951,12023,68570,66,122,-,-
..Cordillera Administrative Region,..Call centers and other related activities,15,8945,8943,5,5266856,4907147,3575985,1331162,4358018,465604,400,12497,0
..Cordillera Administrative Region,..Organization of conventions and trade shows,,,,,,,,,,,,,
..Cordillera Administrative Region,"..Business support service activities, n.e.c.",3,322,322,-,156040,152087,79617,72470,88510,-,5,-,-
..Ilocos Region,Administrative and support service activities,79,10138,10128,989,2348782,2016530,1605815,410716,2096224,75821,1345,9199,0
..Ilocos Region,..Renting and leasing of motor vehicles,,,,,,,,,,,,,
..Ilocos Region,..Renting and leasing of personal and household goods,6,13,10,-,667,1091,317,775,95,-,13,-,-
..Ilocos Region,"..Renting and leasing of other machinery, equipment and tangible goods, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s
..Ilocos Region,"..Leasing of intellectual property and similar products, except copyrighted works",,,,,,,,,,,,,
