,,,,,,,,,,,,,,"Summary Statistics for Accommodation and food service activities Establishments by Region and Industry Group: Philippines, 2021 by Geolocation, Industry Description, Year and Data Items"
Geolocation,Industry Description,2021 Number  of  Establishments,2021 Total Employees a/,2021 Paid Employees a/,2021 Workers on Sub-Contract Agreement or Under Manpower Agencies/Contractors a/,2021 Total Revenue,2021 Total Expense,2021 Compensation,2021 Other Expense,2021 Value Added,2021 Gross Additions To Tangible Fixed Assets,2021 Change  in Inventories,2021 Sales from E-Commerce,2021 Subsidies
..Northern Mindanao,..Event catering and other food service activities,21,219,208,-,65592,71453,20580,50873,15783,13140,42,-,-
..Northern Mindanao,..Beverage serving activities,105,591,578,-,415533,238031,60914,177117,272318,11704,..,-,-
..Davao Region,Accommodation and food service activities,1373,13871,13615,1953,19122563,15609906,2198570,13411336,6752302,3325,..,10316,-
..Davao Region,..Short term accommodation activities,111,1923,1919,72,2992181,2373606,579225,1794381,1490285,194,4259,-,-
..Davao Region,..Other accommodation,20,139,127,36,108476,92582,30608,61974,58957,237,83,-,-
..Davao Region,..Restaurants and mobile food service activities,1120,10963,10747,1392,14599852,12212192,1510374,10701818,4620137,2894,..,5547,-
..Davao Region,..Event catering and other food service activities,23,174,165,-,95761,71239,13087,58152,39202,-,804,-,-
..Davao Region,..Beverage serving activities,99,672,657,453,1326293,860287,65276,795011,543722,-,7494,4769,-
..SOCCSKSARGEN,Accommodation and food service activities,961,7253,6945,2231,7971693,7291768,955714,6336054,2282349,766999,2470,17014,-
..SOCCSKSARGEN,..Short term accommodation activities,105,1690,1676,1175,1522406,1369513,209471,1160042,780919,761492,8678,13640,-
..SOCCSKSARGEN,..Other accommodation,5,16,5,-,917,878,416,462,764,-,-,-,-
..SOCCSKSARGEN,..Restaurants and mobile food service activities,746,5021,4750,1056,6093965,5632053,690132,4941921,1377738,5144,..,417,-
..SOCCSKSARGEN,..Event catering and other food service activities,27,191,179,-,132415,103287,13413,89875,44704,100,..,-,-
..SOCCSKSARGEN,..Beverage serving activities,78,334,334,-,221989,186037,42283,143754,78223,264,4668,2958,-
..Caraga,Accommodation and food service activities,583,4720,4525,10166,5748804,4604046,607794,3996253,2142102,614371,..,150,-
..Caraga,..Short term accommodation activities,81,1092,1082,-,554076,341485,121276,220208,345713,-,1054,-,-
..Caraga,..Other accommodation,3,19,19,-,23666,18752,2297,16455,8302,-,-,-,-
..Caraga,..Restaurants and mobile food service activities,459,3141,3048,10166,4597887,3763004,428252,3334752,1624989,613791,..,150,-
..Caraga,..Event catering and other food service activities,14,284,193,-,458206,383261,37212,346048,119855,-,..,-,-
..Caraga,..Beverage serving activities,25,184,184,-,114969,97544,18756,78789,43243,580,1213,-,-
..Bangsamoro Autonomous Region in Muslim Mindanao,Accommodation and food service activities,117,1391,1322,15,478422,355487,104868,250619,236000,30732,1262,2340,-
..Bangsamoro Autonomous Region in Muslim Mindanao,..Short term accommodation activities,16,228,222,-,35281,31268,20184,11084,30299,-,..,-,-
..Bangsamoro Autonomous Region in Muslim Mindanao,..Other accommodation,,,,,,,,,,,,,
..Bangsamoro Autonomous Region in Muslim Mindanao,..Restaurants and mobile food service activities,84,998,958,8,408746,299774,75277,224497,183076,23195,5102,2340,-
..Bangsamoro Autonomous Region in Muslim Mindanao,..Event catering and other food service activities,6,65,56,-,15573,11834,3719,8115,9105,2254,80,-,-
..Bangsamoro Autonomous Region in Muslim Mindanao,..Beverage serving activities,11,101,86,7,18823,12611,5689,6922,13520,5283,..,-,-
