"Summary Statistics for Education Establishments by Geolocation, Industry Description, Year and Data Items"

"Geolocation","Industry Description","2021 Number of Establishments","2021 Total Employment a/","2021 Paid Employees a/","2021 Workers on Sub-Contract Agreement  or Under Manpower Agencies/Contractors a/","2021 Total Revenue","2021 Total Expense","2021 Compensation","2021 Other Expense","2021 Value Added","2021 Gross Additions to Tangible Fixed Assets","2021 Change in Inventories","2021 Sales from E-commerce Transactions","2021 Subsidies"
"PHILIPPINES","Education",9506,286225,282859,7874,145246780,128630073,67896931,60733142,102174520,8872320,-70419,74119,5456060
"PHILIPPINES","..Pre-primary/pre-school education",1418,14794,14245,73,3884540,3471636,1821304,1650332,2620078,233370,-7165,-,44777
"PHILIPPINES","..Primary/elementary education",2140,31163,30453,335,9092381,8405985,4547054,3858931,6200262,665325,-19073,-,178006
"PHILIPPINES","..Secondary/High School Education",2795,81643,80551,1576,35733210,31706765,17364800,14341965,25935443,1264038,-8214,-,2784412
"PHILIPPINES","..Higher education",1803,141252,140387,5657,87217392,76306955,40854998,35451956,62945201,6595839,6298,-,2221969
"PHILIPPINES","..Other education services",1331,16972,16826,230,8977910,8435122,3228969,5206152,4340869,108308,-42146,74119,226897
"PHILIPPINES","..Educational support services",19,401,398,4,341347,303610,79806,223804,132668,5440,-118,-,-
"..National Capital Region","Education",1646,65143,64715,1979,53109588,46441243,22315559,24125684,34660010,3050867,14002,47681,571551
"..National Capital Region","..Pre-primary/pre-school education",302,4534,4436,29,1654481,1435751,666677,769074,1019515,3523,4069,-,-
"..National Capital Region","..Primary/elementary education",302,6495,6413,103,2943405,2651607,1381319,1270288,1925588,132093,-3283,-,-
"..National Capital Region","..Secondary/High School Education",298,13883,13817,444,11864667,10253203,4943660,5309543,7938125,250761,-7280,-,24772
"..National Capital Region","..Higher education",294,32912,32747,1287,31521544,27191055,13583670,13607386,21626641,2599762,19708,-,359352
"..National Capital Region","..Other education services",447,7062,7047,111,4923630,4727081,1679865,3047216,2057702,64728,867,47681,187428
"..National Capital Region","..Educational support services",4,256,256,4,201860,182546,60369,122177,92438,-,-79,-,-
"..Cordillera Administrative Region","Education",236,5979,5899,94,2543875,2329307,1228139,1101168,1665454,89967,-1364,-,169389
"..Cordillera Administrative Region","..Pre-primary/pre-school education",25,217,207,4,56263,54531,25504,29027,36024,57,496,-,275
"..Cordillera Administrative Region","..Primary/elementary education",50,552,536,-,151072,132703,84165,48538,112626,407,99,-,-
"..Cordillera Administrative Region","..Secondary/High School Education",83,1841,1838,5,659698,636892,271943,364949,386989,32268,-805,-,149834
"..Cordillera Administrative Region","..Higher education",40,2838,2788,85,1559186,1386373,777574,608799,1057647,56195,-1387,-,19280
"..Cordillera Administrative Region","..Other education services",38,531,531,-,117655,118809,68953,49857,72168,1040,233,-,-
"..Cordillera Administrative Region","..Educational support services",c,c,c,c,c,c,c,c,c,c,c,c,c
"..Ilocos Region","Education",440,11664,11563,155,3463751,3142587,1722881,1419706,2418151,311276,5460,-,226617
"..Ilocos Region","..Pre-primary/pre-school education",33,401,401,-,48214,46419,32267,14151,38013,-,12,-,6966
"..Ilocos Region","..Primary/elementary education",141,2265,2229,53,352039,349843,208968,140875,253917,477,3442,-,2301
"..Ilocos Region","..Secondary/High School Education",127,3156,3142,33,913971,786736,500444,286292,667172,194,674,-,197766
"..Ilocos Region","..Higher education",96,5513,5462,69,2092574,1903708,962576,941132,1438871,309105,-972,-,5184
"..Ilocos Region","..Other education services",43,329,329,-,56954,55881,18626,37255,20178,1500,2303,-,14400
