geolocation,industry_description,number_of_establishments_2021,total_employees_at_2021,paid_employees_at_2021,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2021,total_revenue_2021,total_expense_2021,compensation_2021,other_expense_2021,value_added_2021,gross_additions_to_tangible_fixed_assets_2021,change_in_inventories_2021,sales_from_e-commerce_2021,subsidies_2021
Western Visayas,Accommodation and food service activities,1966,19636,19105,799,19672938,18119676,2352959,15766718,5424441,118673,82867,119407,0
Western Visayas,Short term accommodation activities,218,5369,5184,398,2300153,2744462,653293,2091169,873874,73936,14590,109434,0
Western Visayas,Other accommodation,26,62,53,0,43983,32075,6354,25722,39829,0,0,0,0
Western Visayas,Restaurants and mobile food service activities,1532,13271,12959,399,16501530,14644551,1560396,13084155,4192678,26376,64744,9973,0
Western Visayas,Event catering and other food service activities,14,112,86,2,89231,63864,15671,48193,39814,0,174,0,0
Western Visayas,Beverage serving activities,176,823,823,0,738042,634724,117245,517478,278245,18361,3359,0,0
Central Visayas,Accommodation and food service activities,3307,32933,32472,4886,33880190,32679740,5251903,27427837,9364541,936536,46601,737425,0
Central Visayas,Short term accommodation activities,430,9156,8921,1358,6205975,7125152,1208354,5916798,1777099,396935,33320,512476,0
Central Visayas,Other accommodation,37,140,140,37,182577,140872,28399,112473,92674,1850,0,0,0
Central Visayas,Restaurants and mobile food service activities,2460,21058,20855,2903,25097346,23584831,3623971,19960860,6461284,356396,0,224648,0
Central Visayas,Event catering and other food service activities,27,612,608,0,737980,511160,141747,369413,390514,151609,4588,0,0
Central Visayas,Beverage serving activities,352,1968,1949,588,1656312,1317725,249433,1068292,642970,29747,56597,301,0
Eastern Visayas,Accommodation and food service activities,824,6071,5765,82,5065036,4646165,524403,4121761,1194202,482225,0,0,0
Eastern Visayas,Short term accommodation activities,91,1119,1078,12,345875,315888,61591,254297,133032,500,0,0,0
Eastern Visayas,Other accommodation,24,113,72,0,265699,211608,19857,191751,81706,96834,0,0,0
Eastern Visayas,Restaurants and mobile food service activities,618,4351,4203,70,4177381,3894163,413237,3480926,885828,378742,2339,0,0
Eastern Visayas,Event catering and other food service activities,18,161,117,0,183406,156009,8342,147667,42119,4107,0,0,0
Eastern Visayas,Beverage serving activities,72,328,295,0,92675,68497,21376,47121,51517,2042,257,0,0
Zamboanga Peninsula,Accommodation and food service activities,899,8355,8285,1615,13918768,12641852,1743072,10898780,3465549,219823,4285,73720,0
Zamboanga Peninsula,Short term accommodation activities,133,2150,2124,0,1761340,1473934,364612,1109322,715010,0,0,0,0
Zamboanga Peninsula,Other accommodation,19,37,37,0,67537,53409,6278,47131,22332,0,0,0,0
Zamboanga Peninsula,Restaurants and mobile food service activities,690,5621,5595,1612,11925566,10977135,1326364,9650771,2641152,219823,3594,73720,0
Zamboanga Peninsula,Event catering and other food service activities,9,91,83,3,57128,54616,8612,46004,17727,0,568,0,0
Zamboanga Peninsula,Beverage serving activities,48,457,447,0,107197,82758,37206,45552,69328,0,435,0,0
Northern Mindanao,Accommodation and food service activities,1225,10165,9800,1387,11405970,9905635,1509571,8396064,4387263,4293854,0,156191,0
Northern Mindanao,Short term accommodation activities,155,1902,1902,244,1855848,2112537,360518,1752019,1063294,4086586,0,31754,0
Northern Mindanao,Other accommodation,12,64,53,0,72603,48689,11213,37476,37411,198,0,0,0
Northern Mindanao,Restaurants and mobile food service activities,933,7391,7061,1143,8996393,7434925,1056346,6378579,2998457,182227,0,124437,0
Northern Mindanao,Event catering and other food service activities,21,219,208,0,65592,71453,20580,50873,15783,13140,42,0,0
Northern Mindanao,Beverage serving activities,105,591,578,0,415533,238031,60914,177117,272318,11704,0,0,0
Davao Region,Accommodation and food service activities,1373,13871,13615,1953,19122563,15609906,2198570,13411336,6752302,3325,0,10316,0
Davao Region,Short term accommodation activities,111,1923,1919,72,2992181,2373606,579225,1794381,1490285,194,4259,0,0
Davao Region,Other accommodation,20,139,127,36,108476,92582,30608,61974,58957,237,83,0,0
Davao Region,Restaurants and mobile food service activities,1120,10963,10747,1392,14599852,12212192,1510374,10701818,4620137,2894,0,5547,0
Davao Region,Event catering and other food service activities,23,174,165,0,95761,71239,13087,58152,39202,0,804,0,0
Davao Region,Beverage serving activities,99,672,657,453,1326293,860287,65276,795011,543722,0,7494,4769,0
Soccsksargen,Accommodation and food service activities,961,7253,6945,2231,7971693,7291768,955714,6336054,2282349,766999,2470,17014,0
Soccsksargen,Short term accommodation activities,105,1690,1676,1175,1522406,1369513,209471,1160042,780919,761492,8678,13640,0
Soccsksargen,Other accommodation,5,16,5,0,917,878,416,462,764,0,0,0,0
Soccsksargen,Restaurants and mobile food service activities,746,5021,4750,1056,6093965,5632053,690132,4941921,1377738,5144,0,417,0
Soccsksargen,Event catering and other food service activities,27,191,179,0,132415,103287,13413,89875,44704,100,0,0,0
Soccsksargen,Beverage serving activities,78,334,334,0,221989,186037,42283,143754,78223,264,4668,2958,0
Caraga,Accommodation and food service activities,583,4720,4525,10166,5748804,4604046,607794,3996253,2142102,614371,0,150,0
Caraga,Short term accommodation activities,81,1092,1082,0,554076,341485,121276,220208,345713,0,1054,0,0
Caraga,Other accommodation,3,19,19,0,23666,18752,2297,16455,8302,0,0,0,0
Caraga,Restaurants and mobile food service activities,459,3141,3048,10166,4597887,3763004,428252,3334752,1624989,613791,0,150,0
Caraga,Event catering and other food service activities,14,284,193,0,458206,383261,37212,346048,119855,0,0,0,0
Caraga,Beverage serving activities,25,184,184,0,114969,97544,18756,78789,43243,580,1213,0,0
Bangsamoro Autonomous Region in Muslim Mindanao,Accommodation and food service activities,117,1391,1322,15,478422,355487,104868,250619,236000,30732,1262,2340,0
Bangsamoro Autonomous Region in Muslim Mindanao,Short term accommodation activities,16,228,222,0,35281,31268,20184,11084,30299,0,0,0,0
Bangsamoro Autonomous Region in Muslim Mindanao,Other accommodation,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangsamoro Autonomous Region in Muslim Mindanao,Restaurants and mobile food service activities,84,998,958,8,408746,299774,75277,224497,183076,23195,5102,2340,0
Bangsamoro Autonomous Region in Muslim Mindanao,Event catering and other food service activities,6,65,56,0,15573,11834,3719,8115,9105,2254,80,0,0
Bangsamoro Autonomous Region in Muslim Mindanao,Beverage serving activities,11,101,86,7,18823,12611,5689,6922,13520,5283,0,0,0
